,k,metric,weights,valeur
0,1,manhattan,uniform,0.8359568484237921
1,1,manhattan,distance,0.8359568484237921
2,1,manhattan,weights_sqr,0.8359568484237921
3,1,manhattan,weights_sqr4,0.8359568484237921
4,1,manhattan,weights_sqr8,0.8359568484237921
5,1,pond_PCA,uniform,0.8184947319816983
6,1,pond_PCA,distance,0.8184947319816983
7,1,pond_PCA,weights_sqr,0.8184947319816983
8,1,pond_PCA,weights_sqr4,0.8184947319816983
9,1,pond_PCA,weights_sqr8,0.8184947319816983
10,2,manhattan,uniform,0.8460731226126013
11,2,manhattan,distance,0.8359568484237921
12,2,manhattan,weights_sqr,0.8359568484237921
13,2,manhattan,weights_sqr4,0.8359568484237921
14,2,manhattan,weights_sqr8,0.8359568484237921
15,2,pond_PCA,uniform,0.8389371615665533
16,2,pond_PCA,distance,0.8184947319816983
17,2,pond_PCA,weights_sqr,0.8184947319816983
18,2,pond_PCA,weights_sqr4,0.8184947319816983
19,2,pond_PCA,weights_sqr8,0.8184947319816983
20,3,manhattan,uniform,0.8525794400369391
21,3,manhattan,distance,0.8532090836586492
22,3,manhattan,weights_sqr,0.8547202283507535
23,3,manhattan,weights_sqr4,0.8525794400369391
24,3,manhattan,weights_sqr8,0.8460731226126013
25,3,pond_PCA,uniform,0.8410359736389204
26,3,pond_PCA,distance,0.8417075935020778
27,3,pond_PCA,weights_sqr,0.840616211224447
28,3,pond_PCA,weights_sqr4,0.8344876799731352
29,3,pond_PCA,weights_sqr8,0.8277714813415606
30,4,manhattan,uniform,0.8536288460731226
31,4,manhattan,distance,0.8555177769382529
32,4,manhattan,weights_sqr,0.855895563111279
33,4,manhattan,weights_sqr4,0.8552239432481216
34,4,manhattan,weights_sqr8,0.850606556688914
35,4,pond_PCA,uniform,0.8465348612685221
36,4,pond_PCA,distance,0.8425051420895773
37,4,pond_PCA,weights_sqr,0.8418335222264198
38,4,pond_PCA,weights_sqr4,0.8381815892205012
39,4,pond_PCA,weights_sqr8,0.8311715568987953
40,5,manhattan,uniform,0.8588339000125929
41,5,manhattan,distance,0.8599252822902237
42,5,manhattan,weights_sqr,0.8615623557066701
43,5,manhattan,weights_sqr4,0.8600512110145657
44,5,manhattan,weights_sqr8,0.8532510599000965
45,5,pond_PCA,uniform,0.85035469924023
