,k,metric,weights,valeur
0,1,manhattan,uniform,0.782730974268564
1,1,manhattan,distance,0.782730974268564
2,1,manhattan,weights_sqr,0.782730974268564
3,1,manhattan,weights_sqr4,0.782730974268564
4,1,manhattan,weights_sqr8,0.782730974268564
5,1,nan_euclidean,uniform,0.7826050455442219
6,1,nan_euclidean,distance,0.7826050455442219
7,1,nan_euclidean,weights_sqr,0.7826050455442219
8,1,nan_euclidean,weights_sqr4,0.7826050455442219
9,1,nan_euclidean,weights_sqr8,0.7826050455442219
10,1,minkowski,uniform,0.7826050455442219
11,1,minkowski,distance,0.7826050455442219
12,1,minkowski,weights_sqr,0.7826050455442219
13,1,minkowski,weights_sqr4,0.7826050455442219
14,1,minkowski,weights_sqr8,0.7826050455442219
15,1,chebyshev,uniform,0.7499475296981908
16,1,chebyshev,distance,0.7499475296981908
17,1,chebyshev,weights_sqr,0.7499475296981908
18,1,chebyshev,weights_sqr4,0.7499475296981908
19,1,chebyshev,weights_sqr8,0.7499475296981908
20,1,cosine,uniform,0.7822692356126433
21,1,cosine,distance,0.7822692356126433
22,1,cosine,weights_sqr,0.7822692356126433
23,1,cosine,weights_sqr4,0.7822692356126433
24,1,cosine,weights_sqr8,0.7822692356126433
25,1,euclidean,uniform,0.7826050455442219
26,1,euclidean,distance,0.7826050455442219
27,1,euclidean,weights_sqr,0.7826050455442219
28,1,euclidean,weights_sqr4,0.7826050455442219
29,1,euclidean,weights_sqr8,0.7826050455442219
30,2,manhattan,uniform,0.83520127607774
31,2,manhattan,distance,0.782730974268564
32,2,manhattan,weights_sqr,0.782730974268564
33,2,manhattan,weights_sqr4,0.782730974268564
34,2,manhattan,weights_sqr8,0.782730974268564
35,2,nan_euclidean,uniform,0.8346555849389246
36,2,nan_euclidean,distance,0.7826050455442219
37,2,nan_euclidean,weights_sqr,0.7826050455442219
38,2,nan_euclidean,weights_sqr4,0.7826050455442219
39,2,nan_euclidean,weights_sqr8,0.7826050455442219
40,2,minkowski,uniform,0.8346555849389246
41,2,minkowski,distance,0.7826050455442219
42,2,minkowski,weights_sqr,0.7826050455442219
43,2,minkowski,weights_sqr4,0.7826050455442219
44,2,minkowski,weights_sqr8,0.7826050455442219
45,2,chebyshev,uniform,0.825840574234983
46,2,chebyshev,distance,0.7499475296981908
47,2,chebyshev,weights_sqr,0.7499475296981908
48,2,chebyshev,weights_sqr4,0.7499475296981908
49,2,chebyshev,weights_sqr8,0.7499475296981908
50,2,cosine,uniform,0.837174159425765
51,2,cosine,distance,0.7822692356126433
52,2,cosine,weights_sqr,0.7822692356126433
53,2,cosine,weights_sqr4,0.7822692356126433
54,2,cosine,weights_sqr8,0.7822692356126433
55,2,euclidean,uniform,0.8346555849389246
56,2,euclidean,distance,0.7826050455442219
57,2,euclidean,weights_sqr,0.7826050455442219
58,2,euclidean,weights_sqr4,0.7826050455442219
59,2,euclidean,weights_sqr8,0.7826050455442219
60,3,manhattan,uniform,0.7830248079586953
61,3,manhattan,distance,0.784452000167905
62,3,manhattan,weights_sqr,0.7958275616001343
63,3,manhattan,weights_sqr4,0.7972127775678965
64,3,manhattan,weights_sqr8,0.7905385551777694
65,3,nan_euclidean,uniform,0.7727826050455442
66,3,nan_euclidean,distance,0.775720941946858
67,3,nan_euclidean,weights_sqr,0.7917558661797423
68,3,nan_euclidean,weights_sqr4,0.7986819460185535
69,3,nan_euclidean,weights_sqr8,0.7944003693909247
70,3,minkowski,uniform,0.7727826050455442
71,3,minkowski,distance,0.775720941946858
72,3,minkowski,weights_sqr,0.7917558661797423
73,3,minkowski,weights_sqr4,0.7986819460185535
74,3,minkowski,weights_sqr8,0.7944003693909247
75,3,chebyshev,uniform,0.7562019896738446
76,3,chebyshev,distance,0.7596860177139739
77,3,chebyshev,weights_sqr,0.7720690089409394
78,3,chebyshev,weights_sqr4,0.7725307475968601
79,3,chebyshev,weights_sqr8,0.760567518784368
80,3,cosine,uniform,0.7698442681442303
81,3,cosine,distance,0.786550812240272
82,3,cosine,weights_sqr,0.7971708013264492
83,3,cosine,weights_sqr4,0.794190488183688
84,3,cosine,weights_sqr8,0.7868866221718507
85,3,euclidean,uniform,0.7727826050455442
86,3,euclidean,distance,0.775720941946858
87,3,euclidean,weights_sqr,0.7917558661797423
88,3,euclidean,weights_sqr4,0.7986819460185535
89,3,euclidean,weights_sqr8,0.7944003693909247
90,4,manhattan,uniform,0.8271418377198506
91,4,manhattan,distance,0.8077488141711792
92,4,manhattan,weights_sqr,0.8072870755152584
93,4,manhattan,weights_sqr4,0.8041808336481552
94,4,manhattan,weights_sqr8,0.7934768920790832
95,4,nan_euclidean,uniform,0.8180749695672249
96,4,nan_euclidean,distance,0.8009906392981573
97,4,nan_euclidean,weights_sqr,0.8021659740586828
98,4,nan_euclidean,weights_sqr4,0.8046005960626286
99,4,nan_euclidean,weights_sqr8,0.7971708013264492
100,4,minkowski,uniform,0.8180749695672249
101,4,minkowski,distance,0.8009906392981573
102,4,minkowski,weights_sqr,0.8021659740586828
103,4,minkowski,weights_sqr4,0.8046005960626286
104,4,minkowski,weights_sqr8,0.7971708013264492
105,4,chebyshev,uniform,0.8038030474751291
106,4,chebyshev,distance,0.7737060823573857
107,4,chebyshev,weights_sqr,0.7760147756369895
108,4,chebyshev,weights_sqr4,0.7746295596692272
109,4,chebyshev,weights_sqr8,0.7637157368929186
110,4,cosine,uniform,0.8137933929395962
111,4,cosine,distance,0.7954497754271083
112,4,cosine,weights_sqr,0.7996893758132897
113,4,cosine,weights_sqr4,0.796037442807371
114,4,cosine,weights_sqr8,0.7876841707593502
115,4,euclidean,uniform,0.8180749695672249
116,4,euclidean,distance,0.8009906392981573
117,4,euclidean,weights_sqr,0.8021659740586828
118,4,euclidean,weights_sqr4,0.8046005960626286
119,4,euclidean,weights_sqr8,0.7971708013264492
120,5,manhattan,uniform,0.7758048944297528
121,5,manhattan,distance,0.7800444948159342
122,5,manhattan,weights_sqr,0.7976745162238174
123,5,manhattan,weights_sqr4,0.8046845485455232
124,5,manhattan,weights_sqr8,0.7930991059060571
125,5,nan_euclidean,uniform,0.743818998446879
126,5,nan_euclidean,distance,0.7596020652310792
127,5,nan_euclidean,weights_sqr,0.7895731016244806
128,5,nan_euclidean,weights_sqr4,0.8040129286823657
129,5,nan_euclidean,weights_sqr8,0.7977164924652647
130,5,minkowski,uniform,0.743818998446879
131,5,minkowski,distance,0.7596020652310792
132,5,minkowski,weights_sqr,0.7895731016244806
133,5,minkowski,weights_sqr4,0.8040129286823657
134,5,minkowski,weights_sqr8,0.7977164924652647
135,5,chebyshev,uniform,0.7185073248541326
136,5,chebyshev,distance,0.7475968601771398
137,5,chebyshev,weights_sqr,0.7758888469126475
138,5,chebyshev,weights_sqr4,0.7780716114679092
139,5,chebyshev,weights_sqr8,0.7648071191705494
140,5,cosine,uniform,0.7328631994291231
141,5,cosine,distance,0.7840322377534316
142,5,cosine,weights_sqr,0.8000671619863158
143,5,cosine,weights_sqr4,0.7973806825336859
144,5,cosine,weights_sqr8,0.788271838139613
145,5,euclidean,uniform,0.743818998446879
146,5,euclidean,distance,0.7596020652310792
147,5,euclidean,weights_sqr,0.7895731016244806
148,5,euclidean,weights_sqr4,0.8040129286823657
149,5,euclidean,weights_sqr8,0.7977164924652647
150,6,manhattan,uniform,0.8265541703395878
151,6,manhattan,distance,0.8047685010284179
152,6,manhattan,weights_sqr,0.8069092893422323
153,6,manhattan,weights_sqr4,0.8064895269277589
154,6,manhattan,weights_sqr8,0.7939806069764513
155,6,nan_euclidean,uniform,0.8123662007303866
156,6,nan_euclidean,distance,0.7946942030810561
157,6,nan_euclidean,weights_sqr,0.799857280779079
158,6,nan_euclidean,weights_sqr4,0.8065734794106536
159,6,nan_euclidean,weights_sqr8,0.7980523023968434
160,6,minkowski,uniform,0.8123662007303866
161,6,minkowski,distance,0.7946942030810561
162,6,minkowski,weights_sqr,0.799857280779079
163,6,minkowski,weights_sqr4,0.8065734794106536
164,6,minkowski,weights_sqr8,0.7980523023968434
165,6,chebyshev,uniform,0.7925114385257944
166,6,chebyshev,distance,0.7629181883054191
167,6,chebyshev,weights_sqr,0.7763925618100155
168,6,chebyshev,weights_sqr4,0.7802963522646182
169,6,chebyshev,weights_sqr8,0.7656046677580489
170,6,cosine,uniform,0.8060277882718382
171,6,cosine,distance,0.7928052722159258
172,6,cosine,weights_sqr,0.8021659740586828
173,6,cosine,weights_sqr4,0.7976325399823699
174,6,cosine,weights_sqr8,0.788271838139613
175,6,euclidean,uniform,0.8123662007303866
176,6,euclidean,distance,0.7946942030810561
177,6,euclidean,weights_sqr,0.799857280779079
178,6,euclidean,weights_sqr4,0.8065734794106536
179,6,euclidean,weights_sqr8,0.7980523023968434
180,7,manhattan,uniform,0.750829030768585
181,7,manhattan,distance,0.7733282961843596
182,7,manhattan,weights_sqr,0.7987658985014482
183,7,manhattan,weights_sqr4,0.8067833606178902
184,7,manhattan,weights_sqr8,0.793560844561978
185,7,nan_euclidean,uniform,0.6778743231331067
186,7,nan_euclidean,distance,0.7526340091508207
187,7,nan_euclidean,weights_sqr,0.7915879612139529
188,7,nan_euclidean,weights_sqr4,0.806867313100785
189,7,nan_euclidean,weights_sqr8,0.7988918272257902
190,7,minkowski,uniform,0.6778743231331067
191,7,minkowski,distance,0.7526340091508207
192,7,minkowski,weights_sqr,0.7915879612139529
193,7,minkowski,weights_sqr4,0.806867313100785
194,7,minkowski,weights_sqr8,0.7988918272257902
195,7,chebyshev,uniform,0.6539478655081225
196,7,chebyshev,distance,0.7373966335054359
197,7,chebyshev,weights_sqr,0.7724048188725181
198,7,chebyshev,weights_sqr4,0.781261805817907
199,7,chebyshev,weights_sqr8,0.7656886202409436
200,7,cosine,uniform,0.6667506191495614
201,7,cosine,distance,0.7826050455442219
202,7,cosine,weights_sqr,0.8006128531251312
203,7,cosine,weights_sqr4,0.797758468706712
204,7,cosine,weights_sqr8,0.7883557906225077
205,7,euclidean,uniform,0.6778743231331067
206,7,euclidean,distance,0.7526340091508207
207,7,euclidean,weights_sqr,0.7915879612139529
208,7,euclidean,weights_sqr4,0.806867313100785
209,7,euclidean,weights_sqr8,0.7988918272257902
210,8,manhattan,uniform,0.8199639004323553
211,8,manhattan,distance,0.797758468706712
212,8,manhattan,weights_sqr,0.8038450237165764
213,8,manhattan,weights_sqr4,0.8064895269277589
214,8,manhattan,weights_sqr8,0.793938630735004
215,8,nan_euclidean,uniform,0.7737900348402804
216,8,nan_euclidean,distance,0.7601897326113419
217,8,nan_euclidean,weights_sqr,0.7925114385257944
218,8,nan_euclidean,weights_sqr4,0.8074549804810477
219,8,nan_euclidean,weights_sqr8,0.7979683499139487
220,8,minkowski,uniform,0.7737900348402804
221,8,minkowski,distance,0.7601897326113419
222,8,minkowski,weights_sqr,0.7925114385257944
223,8,minkowski,weights_sqr4,0.8074549804810477
224,8,minkowski,weights_sqr8,0.7979683499139487
225,8,chebyshev,uniform,0.732233555807413
226,8,chebyshev,distance,0.7285816228014943
227,8,chebyshev,weights_sqr,0.7667380262771272
228,8,chebyshev,weights_sqr4,0.7805482097133023
229,8,chebyshev,weights_sqr8,0.7654367627922596
230,8,cosine,uniform,0.766108382655417
231,8,cosine,distance,0.7860890735843512
232,8,cosine,weights_sqr,0.8014943541955253
233,8,cosine,weights_sqr4,0.7974226587751333
234,8,cosine,weights_sqr8,0.788523695588297
235,8,euclidean,uniform,0.7737900348402804
236,8,euclidean,distance,0.7601897326113419
237,8,euclidean,weights_sqr,0.7925114385257944
238,8,euclidean,weights_sqr4,0.8074549804810477
