,k,metric,weights,valeur
0,1,manhattan,uniform,0.8184947319816983
1,1,manhattan,distance,0.8184947319816983
2,1,manhattan,weights_sqr,0.8184947319816983
3,1,manhattan,weights_sqr4,0.8184947319816983
4,1,manhattan,weights_sqr8,0.8184947319816983
5,1,nan_euclidean,uniform,0.8141711791126223
6,1,nan_euclidean,distance,0.8141711791126223
7,1,nan_euclidean,weights_sqr,0.8141711791126223
8,1,nan_euclidean,weights_sqr4,0.8141711791126223
9,1,nan_euclidean,weights_sqr8,0.8141711791126223
10,1,minkowski,uniform,0.8141711791126223
11,1,minkowski,distance,0.8141711791126223
12,1,minkowski,weights_sqr,0.8141711791126223
13,1,minkowski,weights_sqr4,0.8141711791126223
14,1,minkowski,weights_sqr8,0.8141711791126223
15,1,chebyshev,uniform,0.8095118163119674
16,1,chebyshev,distance,0.8095118163119674
17,1,chebyshev,weights_sqr,0.8095118163119674
18,1,chebyshev,weights_sqr4,0.8095118163119674
19,1,chebyshev,weights_sqr8,0.8095118163119674
20,1,cosine,uniform,0.8144650128027536
21,1,cosine,distance,0.8144650128027536
22,1,cosine,weights_sqr,0.8144650128027536
23,1,cosine,weights_sqr4,0.8144650128027536
24,1,cosine,weights_sqr8,0.8144650128027536
25,1,euclidean,uniform,0.8141711791126223
26,1,euclidean,distance,0.8141711791126223
27,1,euclidean,weights_sqr,0.8141711791126223
28,1,euclidean,weights_sqr4,0.8141711791126223
29,1,euclidean,weights_sqr8,0.8141711791126223
30,2,manhattan,uniform,0.8389371615665533
31,2,manhattan,distance,0.8184947319816983
32,2,manhattan,weights_sqr,0.8184947319816983
33,2,manhattan,weights_sqr4,0.8184947319816983
34,2,manhattan,weights_sqr8,0.8184947319816983
35,2,nan_euclidean,uniform,0.835075347353398
36,2,nan_euclidean,distance,0.8141711791126223
37,2,nan_euclidean,weights_sqr,0.8141711791126223
38,2,nan_euclidean,weights_sqr4,0.8141711791126223
39,2,nan_euclidean,weights_sqr8,0.8141711791126223
40,2,minkowski,uniform,0.835075347353398
41,2,minkowski,distance,0.8141711791126223
42,2,minkowski,weights_sqr,0.8141711791126223
43,2,minkowski,weights_sqr4,0.8141711791126223
44,2,minkowski,weights_sqr8,0.8141711791126223
45,2,chebyshev,uniform,0.833732107627083
46,2,chebyshev,distance,0.8095118163119674
47,2,chebyshev,weights_sqr,0.8095118163119674
48,2,chebyshev,weights_sqr4,0.8095118163119674
49,2,chebyshev,weights_sqr8,0.8095118163119674
50,2,cosine,uniform,0.8349913948705033
51,2,cosine,distance,0.8144650128027536
52,2,cosine,weights_sqr,0.8144650128027536
53,2,cosine,weights_sqr4,0.8144650128027536
54,2,cosine,weights_sqr8,0.8144650128027536
55,2,euclidean,uniform,0.835075347353398
56,2,euclidean,distance,0.8141711791126223
57,2,euclidean,weights_sqr,0.8141711791126223
58,2,euclidean,weights_sqr4,0.8141711791126223
59,2,euclidean,weights_sqr8,0.8141711791126223
60,3,manhattan,uniform,0.8410359736389204
61,3,manhattan,distance,0.8417075935020778
62,3,manhattan,weights_sqr,0.840616211224447
63,3,manhattan,weights_sqr4,0.8344876799731352
64,3,manhattan,weights_sqr8,0.8277714813415606
65,3,nan_euclidean,uniform,0.837300088150107
66,3,nan_euclidean,distance,0.8377618268060278
67,3,nan_euclidean,weights_sqr,0.8363766108382655
68,3,nan_euclidean,weights_sqr4,0.8300801746211645
69,3,nan_euclidean,weights_sqr8,0.8236578096797212
70,3,minkowski,uniform,0.837300088150107
71,3,minkowski,distance,0.8377618268060278
72,3,minkowski,weights_sqr,0.8363766108382655
73,3,minkowski,weights_sqr4,0.8300801746211645
74,3,minkowski,weights_sqr8,0.8236578096797212
75,3,chebyshev,uniform,0.835075347353398
76,3,chebyshev,distance,0.83520127607774
77,3,chebyshev,weights_sqr,0.8322629391764261
78,3,chebyshev,weights_sqr4,0.8246232632330102
79,3,chebyshev,weights_sqr8,0.8179070646014356
80,3,cosine,uniform,0.8373420643915543
81,3,cosine,distance,0.8354111572849767
82,3,cosine,weights_sqr,0.8290307685849809
83,3,cosine,weights_sqr4,0.8216009738488016
84,3,cosine,weights_sqr8,0.8176552071527515
85,3,euclidean,uniform,0.837300088150107
86,3,euclidean,distance,0.8377618268060278
87,3,euclidean,weights_sqr,0.8363766108382655
88,3,euclidean,weights_sqr4,0.8300801746211645
89,3,euclidean,weights_sqr8,0.8236578096797212
90,4,manhattan,uniform,0.8465348612685221
91,4,manhattan,distance,0.8425051420895773
92,4,manhattan,weights_sqr,0.8418335222264198
93,4,manhattan,weights_sqr4,0.8381815892205012
94,4,manhattan,weights_sqr8,0.8311715568987953
95,4,nan_euclidean,uniform,0.8451076690593124
96,4,nan_euclidean,distance,0.8399026151198422
97,4,nan_euclidean,weights_sqr,0.8400285438441842
98,4,nan_euclidean,weights_sqr4,0.8335642026612937
99,4,nan_euclidean,weights_sqr8,0.8257985979935356
100,4,minkowski,uniform,0.8451076690593124
101,4,minkowski,distance,0.8399026151198422
102,4,minkowski,weights_sqr,0.8400285438441842
103,4,minkowski,weights_sqr4,0.8335642026612937
104,4,minkowski,weights_sqr8,0.8257985979935356
105,4,chebyshev,uniform,0.8435545481257608
106,4,chebyshev,distance,0.8364605633211603
107,4,chebyshev,weights_sqr,0.835075347353398
108,4,chebyshev,weights_sqr4,0.8291986735507703
109,4,chebyshev,weights_sqr8,0.8200898291566973
110,4,cosine,uniform,0.844436049196155
111,4,cosine,distance,0.8385593753935273
112,4,cosine,weights_sqr,0.8330604877639256
113,4,cosine,weights_sqr4,0.8247911681987995
114,4,cosine,weights_sqr8,0.8192083280863032
115,4,euclidean,uniform,0.8451076690593124
116,4,euclidean,distance,0.8399026151198422
117,4,euclidean,weights_sqr,0.8400285438441842
118,4,euclidean,weights_sqr4,0.8335642026612937
119,4,euclidean,weights_sqr8,0.8257985979935356
120,5,manhattan,uniform,0.85035469924023
121,5,manhattan,distance,0.8514460815178609
122,5,manhattan,weights_sqr,0.8500608655500986
123,5,manhattan,weights_sqr4,0.8430088569869454
124,5,manhattan,weights_sqr8,0.8343197750073459
125,5,nan_euclidean,uniform,0.8468706712001007
126,5,nan_euclidean,distance,0.8474163623389162
127,5,nan_euclidean,weights_sqr,0.8458632414053646
128,5,nan_euclidean,weights_sqr4,0.8383075179448433
129,5,nan_euclidean,weights_sqr8,0.8281492675145867
130,5,minkowski,uniform,0.8468706712001007
131,5,minkowski,distance,0.8474163623389162
132,5,minkowski,weights_sqr,0.8458632414053646
133,5,minkowski,weights_sqr4,0.8383075179448433
134,5,minkowski,weights_sqr8,0.8281492675145867
135,5,chebyshev,uniform,0.8457373126810226
136,5,chebyshev,distance,0.8463249800612853
137,5,chebyshev,weights_sqr,0.8421693321579986
138,5,chebyshev,weights_sqr4,0.8332283927297149
139,5,chebyshev,weights_sqr8,0.8228602610922218
140,5,cosine,uniform,0.8469965999244428
141,5,cosine,distance,0.8456113839566806
142,5,cosine,weights_sqr,0.8380976367376065
143,5,cosine,weights_sqr4,0.8266800990639298
144,5,cosine,weights_sqr8,0.8194182092935398
145,5,euclidean,uniform,0.8468706712001007
146,5,euclidean,distance,0.8474163623389162
147,5,euclidean,weights_sqr,0.8458632414053646
148,5,euclidean,weights_sqr4,0.8383075179448433
149,5,euclidean,weights_sqr8,0.8281492675145867
150,6,manhattan,uniform,0.852075725139571
151,6,manhattan,distance,0.8510682953448349
152,6,manhattan,weights_sqr,0.8508584141375981
153,6,manhattan,weights_sqr4,0.8448558116106284
154,6,manhattan,weights_sqr8,0.8352852285606347
155,6,nan_euclidean,uniform,0.8490534357553625
156,6,nan_euclidean,distance,0.8477521722704949
157,6,nan_euclidean,weights_sqr,0.8477941485119422
158,6,nan_euclidean,weights_sqr4,0.8412878310876044
159,6,nan_euclidean,weights_sqr8,0.8298702934139277
160,6,minkowski,uniform,0.8490534357553625
161,6,minkowski,distance,0.8477521722704949
162,6,minkowski,weights_sqr,0.8477941485119422
163,6,minkowski,weights_sqr4,0.8412878310876044
164,6,minkowski,weights_sqr8,0.8298702934139277
165,6,chebyshev,uniform,0.8488015783066785
166,6,chebyshev,distance,0.846157075095496
167,6,chebyshev,weights_sqr,0.8445200016790496
168,6,chebyshev,weights_sqr4,0.8362506821139235
169,6,chebyshev,weights_sqr8,0.8239936196113
170,6,cosine,uniform,0.8495571506527305
171,6,cosine,distance,0.848759602065231
172,6,cosine,weights_sqr,0.8414977122948412
173,6,cosine,weights_sqr4,0.8288628636191916
174,6,cosine,weights_sqr8,0.8198379717080133
175,6,euclidean,uniform,0.8490534357553625
176,6,euclidean,distance,0.8477521722704949
177,6,euclidean,weights_sqr,0.8477941485119422
178,6,euclidean,weights_sqr4,0.8412878310876044
179,6,euclidean,weights_sqr8,0.8298702934139277
180,7,manhattan,uniform,0.8525374637954918
181,7,manhattan,distance,0.8538387272803594
182,7,manhattan,weights_sqr,0.8534189648658859
183,7,manhattan,weights_sqr4,0.8474583385803636
184,7,manhattan,weights_sqr8,0.8366284682869496
185,7,nan_euclidean,uniform,0.8512781765520715
186,7,nan_euclidean,distance,0.852201653863913
187,7,nan_euclidean,weights_sqr,0.8508584141375981
188,7,nan_euclidean,weights_sqr4,0.8430088569869454
189,7,nan_euclidean,weights_sqr8,0.8309196994501112
190,7,minkowski,uniform,0.8512781765520715
191,7,minkowski,distance,0.852201653863913
192,7,minkowski,weights_sqr,0.8508584141375981
193,7,minkowski,weights_sqr4,0.8430088569869454
194,7,minkowski,weights_sqr8,0.8309196994501112
195,7,chebyshev,uniform,0.849850984342862
196,7,chebyshev,distance,0.8501867942744407
197,7,chebyshev,weights_sqr,0.848129958443521
198,7,chebyshev,weights_sqr4,0.8388112328422113
199,7,chebyshev,weights_sqr8,0.8250850018889309
200,7,cosine,uniform,0.8502707467573354
201,7,cosine,distance,0.8500608655500986
202,7,cosine,weights_sqr,0.8433026906770767
203,7,cosine,weights_sqr4,0.8304159845527431
204,7,cosine,weights_sqr8,0.82004785291525
205,7,euclidean,uniform,0.8512781765520715
206,7,euclidean,distance,0.852201653863913
207,7,euclidean,weights_sqr,0.8508584141375981
208,7,euclidean,weights_sqr4,0.8430088569869454
209,7,euclidean,weights_sqr8,0.8309196994501112
210,8,manhattan,uniform,0.853796751038912
211,8,manhattan,distance,0.8544683709020694
212,8,manhattan,weights_sqr,0.8550140620408848
213,8,manhattan,weights_sqr4,0.8492633169625992
214,8,manhattan,weights_sqr8,0.8373420643915543
215,8,nan_euclidean,uniform,0.8518238676908869
216,8,nan_euclidean,distance,0.8524115350711498
217,8,nan_euclidean,weights_sqr,0.8519917726566764
218,8,nan_euclidean,weights_sqr4,0.8452755740251018
219,8,nan_euclidean,weights_sqr8,0.8319691054862948
220,8,minkowski,uniform,0.8518238676908869
221,8,minkowski,distance,0.8524115350711498
222,8,minkowski,weights_sqr,0.8519917726566764
