,k,metric,weights,valeur
0,2,l1,uniform,0.8482139109264156
1,2,l1,distance,0.8414137598119464
2,2,l2,uniform,0.8452755740251018
3,2,l2,distance,0.8357469672165554
4,2,manhattan,uniform,0.8482139109264156
5,2,manhattan,distance,0.8414137598119464
6,2,nan_euclidean,uniform,0.8452755740251018
7,2,nan_euclidean,distance,0.8357469672165554
8,2,minkowski,uniform,0.8452755740251018
9,2,minkowski,distance,0.8357469672165554
10,2,chebyshev,uniform,0.8345296562145825
11,2,chebyshev,distance,0.8194601855349872
12,2,cityblock,uniform,0.8482139109264156
13,2,cityblock,distance,0.8414137598119464
14,2,cosine,uniform,0.844561977920497
15,2,cosine,distance,0.831759224279058
16,2,euclidean,uniform,0.8452755740251018
17,2,euclidean,distance,0.8357469672165554
18,3,l1,uniform,0.8589178524954876
19,3,l1,distance,0.8600512110145657
20,3,l2,uniform,0.8535448935902279
21,3,l2,distance,0.8546782521093061
22,3,manhattan,uniform,0.8589178524954876
23,3,manhattan,distance,0.8600512110145657
24,3,nan_euclidean,uniform,0.8535448935902279
25,3,nan_euclidean,distance,0.8546782521093061
26,3,minkowski,uniform,0.8535448935902279
27,3,minkowski,distance,0.8546782521093061
28,3,chebyshev,uniform,0.8402804012928682
29,3,chebyshev,distance,0.840868068673131
30,3,cityblock,uniform,0.8589178524954876
31,3,cityblock,distance,0.8600512110145657
32,3,cosine,uniform,0.8524535113125971
33,3,cosine,distance,0.8539646560047013
34,3,euclidean,uniform,0.8535448935902279
35,3,euclidean,distance,0.8546782521093061
36,4,l1,uniform,0.8550980145237795
37,4,l1,distance,0.8615623557066701
38,4,l2,uniform,0.8527473450027284
39,4,l2,distance,0.8558535868698317
40,4,manhattan,uniform,0.8550980145237795
41,4,manhattan,distance,0.8615623557066701
42,4,nan_euclidean,uniform,0.8527473450027284
43,4,nan_euclidean,distance,0.8558535868698317
44,4,minkowski,uniform,0.8527473450027284
45,4,minkowski,distance,0.8558535868698317
46,4,chebyshev,uniform,0.8457373126810226
47,4,chebyshev,distance,0.842840952021156
