,k,metric,weights,valeur
0,1,manhattan,weights_sqr,0.8414137598119464
1,1,manhattan,weights_sqr4,0.8414137598119464
2,1,manhattan,weights_sqr8,0.8414137598119464
3,2,manhattan,weights_sqr,0.8414137598119464
4,2,manhattan,weights_sqr4,0.8414137598119464
5,2,manhattan,weights_sqr8,0.8414137598119464
6,3,manhattan,weights_sqr,0.8624438567770641
7,3,manhattan,weights_sqr4,0.8593795911514083
8,3,manhattan,weights_sqr8,0.8522856063468077
9,4,manhattan,weights_sqr,0.8624438567770641
10,4,manhattan,weights_sqr4,0.8615623557066701
11,4,manhattan,weights_sqr8,0.8550140620408848
12,5,manhattan,weights_sqr,0.8664735759560089
13,5,manhattan,weights_sqr4,0.8652982411954834
14,5,manhattan,weights_sqr8,0.8584561138395668
15,6,manhattan,weights_sqr,0.8670192670948244
16,6,manhattan,weights_sqr4,0.867481005750745
17,6,manhattan,weights_sqr8,0.8600931872560131
18,7,manhattan,weights_sqr,0.8670612433362717
19,7,manhattan,weights_sqr4,0.8681526256139025
20,7,manhattan,weights_sqr8,0.8618142131553541
21,8,manhattan,weights_sqr,0.8686563405112706
22,8,manhattan,weights_sqr4,0.8696217940645594
23,8,manhattan,weights_sqr8,0.8630735003987743
24,9,manhattan,weights_sqr,0.8668933383704823
25,9,manhattan,weights_sqr4,0.8699156277546909
26,9,manhattan,weights_sqr8,0.8634093103303531
27,10,manhattan,weights_sqr,0.8678587919237711
28,10,manhattan,weights_sqr4,0.8694538890987701
29,10,manhattan,weights_sqr8,0.8639969777106158
30,11,manhattan,weights_sqr,0.8678587919237711
31,11,manhattan,weights_sqr4,0.8697477227889014
32,11,manhattan,weights_sqr8,0.8642488351592998
33,12,manhattan,weights_sqr,0.8678168156823238
34,12,manhattan,weights_sqr4,0.8705032951349536
35,12,manhattan,weights_sqr8,0.8642908114007471
36,13,manhattan,weights_sqr,0.8681106493724552
37,13,manhattan,weights_sqr4,0.8700415564790329
38,13,manhattan,weights_sqr8,0.8651723124711413
39,14,manhattan,weights_sqr,0.8661377660244302
40,14,manhattan,weights_sqr4,0.8709650337908743
41,14,manhattan,weights_sqr8,0.865634051127062
42,15,manhattan,weights_sqr,0.8677748394408764
43,15,manhattan,weights_sqr4,0.8704613188935063
44,15,manhattan,weights_sqr8,0.8654241699198254
45,16,manhattan,weights_sqr,0.866725433404693
46,16,manhattan,weights_sqr4,0.8711749149981111
47,16,manhattan,weights_sqr8,0.8655500986441674
48,17,manhattan,weights_sqr,0.866851362129035
49,17,manhattan,weights_sqr4,0.8711329387566638
50,17,manhattan,weights_sqr8,0.8660538135415355
51,18,manhattan,weights_sqr,0.8670192670948244
52,18,manhattan,weights_sqr4,0.8707551525836377
53,18,manhattan,weights_sqr8,0.8658019560928515
54,19,manhattan,weights_sqr,0.8671451958191664
55,19,manhattan,weights_sqr4,0.870671200100743
56,19,manhattan,weights_sqr8,0.8665155521974562
57,20,manhattan,weights_sqr,0.867103219577719
58,20,manhattan,weights_sqr4,0.8708810813079797
59,20,manhattan,weights_sqr8,0.8663896234731142
