,k,metric,weights,tp,tn,fp,fn,acc,pre,rec,f1s,spe
0,1,manhattan,uniform,2893,16344,2246,2340,0.8074969567224951,0.5629499902704806,0.5528377603669024,0.5578480524489009,0.879182356105433
1,1,manhattan,distance,2893,16344,2246,2340,0.8074969567224951,0.5629499902704806,0.5528377603669024,0.5578480524489009,0.879182356105433
2,1,manhattan,weights_sqr,2893,16344,2246,2340,0.8074969567224951,0.5629499902704806,0.5528377603669024,0.5578480524489009,0.879182356105433
3,1,manhattan,weights_sqr4,2893,16344,2246,2340,0.8074969567224951,0.5629499902704806,0.5528377603669024,0.5578480524489009,0.879182356105433
4,1,manhattan,weights_sqr8,2893,16344,2246,2340,0.8074969567224951,0.5629499902704806,0.5528377603669024,0.5578480524489009,0.879182356105433
5,1,pond_PCA,uniform,2908,16364,2226,2325,0.808966125173152,0.5664199454616283,0.555704184979935,0.561010899971062,0.8802582033351264
6,1,pond_PCA,distance,2908,16364,2226,2325,0.808966125173152,0.5664199454616283,0.555704184979935,0.561010899971062,0.8802582033351264
7,1,pond_PCA,weights_sqr,2908,16364,2226,2325,0.808966125173152,0.5664199454616283,0.555704184979935,0.561010899971062,0.8802582033351264
8,1,pond_PCA,weights_sqr4,2908,16364,2226,2325,0.808966125173152,0.5664199454616283,0.555704184979935,0.561010899971062,0.8802582033351264
9,1,pond_PCA,weights_sqr8,2908,16364,2226,2325,0.808966125173152,0.5664199454616283,0.555704184979935,0.561010899971062,0.8802582033351264
10,2,manhattan,uniform,2041,17868,722,3192,0.8357049909751081,0.7386898298950416,0.3900248423466463,0.5105052526263132,0.9611619150080688
11,2,manhattan,distance,2893,16344,2246,2340,0.8074969567224951,0.5629499902704806,0.5528377603669024,0.5578480524489009,0.879182356105433
12,2,manhattan,weights_sqr,2893,16344,2246,2340,0.8074969567224951,0.5629499902704806,0.5528377603669024,0.5578480524489009,0.879182356105433
13,2,manhattan,weights_sqr4,2893,16344,2246,2340,0.8074969567224951,0.5629499902704806,0.5528377603669024,0.5578480524489009,0.879182356105433
14,2,manhattan,weights_sqr8,2893,16344,2246,2340,0.8074969567224951,0.5629499902704806,0.5528377603669024,0.5578480524489009,0.879182356105433
15,2,pond_PCA,uniform,2016,17829,761,3217,0.8330185115224783,0.7259632697155204,0.3852474679915918,0.503370786516854,0.9590640129101667
16,2,pond_PCA,distance,2908,16364,2226,2325,0.808966125173152,0.5664199454616283,0.555704184979935,0.561010899971062,0.8802582033351264
17,2,pond_PCA,weights_sqr,2908,16364,2226,2325,0.808966125173152,0.5664199454616283,0.555704184979935,0.561010899971062,0.8802582033351264
18,2,pond_PCA,weights_sqr4,2908,16364,2226,2325,0.808966125173152,0.5664199454616283,0.555704184979935,0.561010899971062,0.8802582033351264
19,2,pond_PCA,weights_sqr8,2908,16364,2226,2325,0.808966125173152,0.5664199454616283,0.555704184979935,0.561010899971062,0.8802582033351264
20,3,manhattan,uniform,2833,17055,1535,2400,0.8348234899047139,0.6485805860805861,0.5413720619147716,0.5901468597021143,0.9174287251210328
21,3,manhattan,distance,2832,17045,1545,2401,0.8343617512487932,0.6470185058259081,0.5411809669405695,0.5893860561914673,0.9168908015061861
