,k,metric,weights,tp,tn,fp,fn,acc,pre,rec,f1s,spe
0,1,manhattan,uniform,4015,13822,4768,1218,0.7487302186962179,0.4571330980302858,0.7672463214217466,0.5729166666666666,0.7435180204410974
1,1,manhattan,distance,4015,13822,4768,1218,0.7487302186962179,0.4571330980302858,0.7672463214217466,0.5729166666666666,0.7435180204410974
2,1,manhattan,weights_sqr,4015,13822,4768,1218,0.7487302186962179,0.4571330980302858,0.7672463214217466,0.5729166666666666,0.7435180204410974
3,1,manhattan,weights_sqr4,4015,13822,4768,1218,0.7487302186962179,0.4571330980302858,0.7672463214217466,0.5729166666666666,0.7435180204410974
4,1,manhattan,weights_sqr8,4015,13822,4768,1218,0.7487302186962179,0.4571330980302858,0.7672463214217466,0.5729166666666666,0.7435180204410974
5,1,nan_euclidean,uniform,4032,13863,4727,1201,0.7511648407001638,0.460326521292385,0.7704949359831836,0.5763293310463121,0.7457235072619688
6,1,nan_euclidean,distance,4032,13863,4727,1201,0.7511648407001638,0.460326521292385,0.7704949359831836,0.5763293310463121,0.7457235072619688
7,1,nan_euclidean,weights_sqr,4032,13863,4727,1201,0.7511648407001638,0.460326521292385,0.7704949359831836,0.5763293310463121,0.7457235072619688
8,1,nan_euclidean,weights_sqr4,4032,13863,4727,1201,0.7511648407001638,0.460326521292385,0.7704949359831836,0.5763293310463121,0.7457235072619688
9,1,nan_euclidean,weights_sqr8,4032,13863,4727,1201,0.7511648407001638,0.460326521292385,0.7704949359831836,0.5763293310463121,0.7457235072619688
10,1,minkowski,uniform,4032,13863,4727,1201,0.7511648407001638,0.460326521292385,0.7704949359831836,0.5763293310463121,0.7457235072619688
11,1,minkowski,distance,4032,13863,4727,1201,0.7511648407001638,0.460326521292385,0.7704949359831836,0.5763293310463121,0.7457235072619688
12,1,minkowski,weights_sqr,4032,13863,4727,1201,0.7511648407001638,0.460326521292385,0.7704949359831836,0.5763293310463121,0.7457235072619688
13,1,minkowski,weights_sqr4,4032,13863,4727,1201,0.7511648407001638,0.460326521292385,0.7704949359831836,0.5763293310463121,0.7457235072619688
14,1,minkowski,weights_sqr8,4032,13863,4727,1201,0.7511648407001638,0.460326521292385,0.7704949359831836,0.5763293310463121,0.7457235072619688
15,1,chebyshev,uniform,4009,13186,5404,1224,0.7217814716870251,0.4259003505789865,0.7660997515765335,0.5474532295507306,0.7093060785368478
16,1,chebyshev,distance,4009,13186,5404,1224,0.7217814716870251,0.4259003505789865,0.7660997515765335,0.5474532295507306,0.7093060785368478
17,1,chebyshev,weights_sqr,4009,13186,5404,1224,0.7217814716870251,0.4259003505789865,0.7660997515765335,0.5474532295507306,0.7093060785368478
18,1,chebyshev,weights_sqr4,4009,13186,5404,1224,0.7217814716870251,0.4259003505789865,0.7660997515765335,0.5474532295507306,0.7093060785368478
19,1,chebyshev,weights_sqr8,4009,13186,5404,1224,0.7217814716870251,0.4259003505789865,0.7660997515765335,0.5474532295507306,0.7093060785368478
20,1,cosine,uniform,4043,13918,4672,1190,0.7539352726356882,0.46391279403327595,0.7725969806994076,0.5797246917120734,0.7486820871436256
21,1,cosine,distance,4043,13918,4672,1190,0.7539352726356882,0.46391279403327595,0.7725969806994076,0.5797246917120734,0.7486820871436256
22,1,cosine,weights_sqr,4043,13918,4672,1190,0.7539352726356882,0.46391279403327595,0.7725969806994076,0.5797246917120734,0.7486820871436256
23,1,cosine,weights_sqr4,4043,13918,4672,1190,0.7539352726356882,0.46391279403327595,0.7725969806994076,0.5797246917120734,0.7486820871436256
24,1,cosine,weights_sqr8,4043,13918,4672,1190,0.7539352726356882,0.46391279403327595,0.7725969806994076,0.5797246917120734,0.7486820871436256
25,1,euclidean,uniform,4032,13863,4727,1201,0.7511648407001638,0.460326521292385,0.7704949359831836,0.5763293310463121,0.7457235072619688
26,1,euclidean,distance,4032,13863,4727,1201,0.7511648407001638,0.460326521292385,0.7704949359831836,0.5763293310463121,0.7457235072619688
27,1,euclidean,weights_sqr,4032,13863,4727,1201,0.7511648407001638,0.460326521292385,0.7704949359831836,0.5763293310463121,0.7457235072619688
28,1,euclidean,weights_sqr4,4032,13863,4727,1201,0.7511648407001638,0.460326521292385,0.7704949359831836,0.5763293310463121,0.7457235072619688
