,k,metric,weights,tp,tn,fp,fn,acc,pre,rec,f1s,spe
0,1,manhattan,uniform,3015,16484,2106,2218,0.8184947319816983,0.5887521968365553,0.5761513472195682,0.5823836198570601,0.8867132867132868
1,1,manhattan,distance,3015,16484,2106,2218,0.8184947319816983,0.5887521968365553,0.5761513472195682,0.5823836198570601,0.8867132867132868
2,1,manhattan,weights_sqr,3015,16484,2106,2218,0.8184947319816983,0.5887521968365553,0.5761513472195682,0.5823836198570601,0.8867132867132868
3,1,manhattan,weights_sqr4,3015,16484,2106,2218,0.8184947319816983,0.5887521968365553,0.5761513472195682,0.5823836198570601,0.8867132867132868
4,1,manhattan,weights_sqr8,3015,16484,2106,2218,0.8184947319816983,0.5887521968365553,0.5761513472195682,0.5823836198570601,0.8867132867132868
5,1,nan_euclidean,uniform,2968,16428,2162,2265,0.8141711791126223,0.5785575048732944,0.5671698834320658,0.5728071021904854,0.8837009144701452
6,1,nan_euclidean,distance,2968,16428,2162,2265,0.8141711791126223,0.5785575048732944,0.5671698834320658,0.5728071021904854,0.8837009144701452
7,1,nan_euclidean,weights_sqr,2968,16428,2162,2265,0.8141711791126223,0.5785575048732944,0.5671698834320658,0.5728071021904854,0.8837009144701452
8,1,nan_euclidean,weights_sqr4,2968,16428,2162,2265,0.8141711791126223,0.5785575048732944,0.5671698834320658,0.5728071021904854,0.8837009144701452
9,1,nan_euclidean,weights_sqr8,2968,16428,2162,2265,0.8141711791126223,0.5785575048732944,0.5671698834320658,0.5728071021904854,0.8837009144701452
10,1,minkowski,uniform,2968,16428,2162,2265,0.8141711791126223,0.5785575048732944,0.5671698834320658,0.5728071021904854,0.8837009144701452
11,1,minkowski,distance,2968,16428,2162,2265,0.8141711791126223,0.5785575048732944,0.5671698834320658,0.5728071021904854,0.8837009144701452
12,1,minkowski,weights_sqr,2968,16428,2162,2265,0.8141711791126223,0.5785575048732944,0.5671698834320658,0.5728071021904854,0.8837009144701452
13,1,minkowski,weights_sqr4,2968,16428,2162,2265,0.8141711791126223,0.5785575048732944,0.5671698834320658,0.5728071021904854,0.8837009144701452
14,1,minkowski,weights_sqr8,2968,16428,2162,2265,0.8141711791126223,0.5785575048732944,0.5671698834320658,0.5728071021904854,0.8837009144701452
15,1,chebyshev,uniform,2919,16366,2224,2314,0.8095118163119674,0.5675675675675675,0.557806229696159,0.5626445643793369,0.8803657880580957
16,1,chebyshev,distance,2919,16366,2224,2314,0.8095118163119674,0.5675675675675675,0.557806229696159,0.5626445643793369,0.8803657880580957
17,1,chebyshev,weights_sqr,2919,16366,2224,2314,0.8095118163119674,0.5675675675675675,0.557806229696159,0.5626445643793369,0.8803657880580957
18,1,chebyshev,weights_sqr4,2919,16366,2224,2314,0.8095118163119674,0.5675675675675675,0.557806229696159,0.5626445643793369,0.8803657880580957
19,1,chebyshev,weights_sqr8,2919,16366,2224,2314,0.8095118163119674,0.5675675675675675,0.557806229696159,0.5626445643793369,0.8803657880580957
20,1,cosine,uniform,2971,16432,2158,2262,0.8144650128027536,0.5792552154416065,0.5677431683546723,0.5734414205751786,0.8839160839160839
21,1,cosine,distance,2971,16432,2158,2262,0.8144650128027536,0.5792552154416065,0.5677431683546723,0.5734414205751786,0.8839160839160839
22,1,cosine,weights_sqr,2971,16432,2158,2262,0.8144650128027536,0.5792552154416065,0.5677431683546723,0.5734414205751786,0.8839160839160839
23,1,cosine,weights_sqr4,2971,16432,2158,2262,0.8144650128027536,0.5792552154416065,0.5677431683546723,0.5734414205751786,0.8839160839160839
24,1,cosine,weights_sqr8,2971,16432,2158,2262,0.8144650128027536,0.5792552154416065,0.5677431683546723,0.5734414205751786,0.8839160839160839
25,1,euclidean,uniform,2968,16428,2162,2265,0.8141711791126223,0.5785575048732944,0.5671698834320658,0.5728071021904854,0.8837009144701452
26,1,euclidean,distance,2968,16428,2162,2265,0.8141711791126223,0.5785575048732944,0.5671698834320658,0.5728071021904854,0.8837009144701452
27,1,euclidean,weights_sqr,2968,16428,2162,2265,0.8141711791126223,0.5785575048732944,0.5671698834320658,0.5728071021904854,0.8837009144701452
28,1,euclidean,weights_sqr4,2968,16428,2162,2265,0.8141711791126223,0.5785575048732944,0.5671698834320658,0.5728071021904854,0.8837009144701452
29,1,euclidean,weights_sqr8,2968,16428,2162,2265,0.8141711791126223,0.5785575048732944,0.5671698834320658,0.5728071021904854,0.8837009144701452
30,2,manhattan,uniform,2089,17897,693,3144,0.8389371615665533,0.7508986340762042,0.39919740110835084,0.521272613849033,0.9627218934911242
31,2,manhattan,distance,3015,16484,2106,2218,0.8184947319816983,0.5887521968365553,0.5761513472195682,0.5823836198570601,0.8867132867132868
32,2,manhattan,weights_sqr,3015,16484,2106,2218,0.8184947319816983,0.5887521968365553,0.5761513472195682,0.5823836198570601,0.8867132867132868
33,2,manhattan,weights_sqr4,3015,16484,2106,2218,0.8184947319816983,0.5887521968365553,0.5761513472195682,0.5823836198570601,0.8867132867132868
34,2,manhattan,weights_sqr8,3015,16484,2106,2218,0.8184947319816983,0.5887521968365553,0.5761513472195682,0.5823836198570601,0.8867132867132868
35,2,nan_euclidean,uniform,2044,17850,740,3189,0.835075347353398,0.7341954022988506,0.3905981272692528,0.5099164275913682,0.9601936525013448
36,2,nan_euclidean,distance,2968,16428,2162,2265,0.8141711791126223,0.5785575048732944,0.5671698834320658,0.5728071021904854,0.8837009144701452
37,2,nan_euclidean,weights_sqr,2968,16428,2162,2265,0.8141711791126223,0.5785575048732944,0.5671698834320658,0.5728071021904854,0.8837009144701452
38,2,nan_euclidean,weights_sqr4,2968,16428,2162,2265,0.8141711791126223,0.5785575048732944,0.5671698834320658,0.5728071021904854,0.8837009144701452
39,2,nan_euclidean,weights_sqr8,2968,16428,2162,2265,0.8141711791126223,0.5785575048732944,0.5671698834320658,0.5728071021904854,0.8837009144701452
40,2,minkowski,uniform,2044,17850,740,3189,0.835075347353398,0.7341954022988506,0.3905981272692528,0.5099164275913682,0.9601936525013448
