,k,metric,weights,tp,tn,fp,fn,acc,pre,rec,f1s,spe
0,1,manhattan,uniform,2953,16641,1949,2280,0.8224824749191957,0.6024071807425541,0.5643034588190331,0.5827331031080415,0.8951586874663797
1,1,manhattan,distance,2953,16641,1949,2280,0.8224824749191957,0.6024071807425541,0.5643034588190331,0.5827331031080415,0.8951586874663797
2,1,manhattan,weights_sqr,2953,16641,1949,2280,0.8224824749191957,0.6024071807425541,0.5643034588190331,0.5827331031080415,0.8951586874663797
3,1,manhattan,weights_sqr4,2953,16641,1949,2280,0.8224824749191957,0.6024071807425541,0.5643034588190331,0.5827331031080415,0.8951586874663797
4,1,manhattan,weights_sqr8,2953,16641,1949,2280,0.8224824749191957,0.6024071807425541,0.5643034588190331,0.5827331031080415,0.8951586874663797
5,1,nan_euclidean,uniform,2893,16445,2145,2340,0.8117365571086765,0.574235807860262,0.5528377603669024,0.5633336578716776,0.8846153846153846
6,1,nan_euclidean,distance,2893,16445,2145,2340,0.8117365571086765,0.574235807860262,0.5528377603669024,0.5633336578716776,0.8846153846153846
7,1,nan_euclidean,weights_sqr,2893,16445,2145,2340,0.8117365571086765,0.574235807860262,0.5528377603669024,0.5633336578716776,0.8846153846153846
8,1,nan_euclidean,weights_sqr4,2893,16445,2145,2340,0.8117365571086765,0.574235807860262,0.5528377603669024,0.5633336578716776,0.8846153846153846
9,1,nan_euclidean,weights_sqr8,2893,16445,2145,2340,0.8117365571086765,0.574235807860262,0.5528377603669024,0.5633336578716776,0.8846153846153846
10,1,minkowski,uniform,2893,16445,2145,2340,0.8117365571086765,0.574235807860262,0.5528377603669024,0.5633336578716776,0.8846153846153846
11,1,minkowski,distance,2893,16445,2145,2340,0.8117365571086765,0.574235807860262,0.5528377603669024,0.5633336578716776,0.8846153846153846
12,1,minkowski,weights_sqr,2893,16445,2145,2340,0.8117365571086765,0.574235807860262,0.5528377603669024,0.5633336578716776,0.8846153846153846
13,1,minkowski,weights_sqr4,2893,16445,2145,2340,0.8117365571086765,0.574235807860262,0.5528377603669024,0.5633336578716776,0.8846153846153846
14,1,minkowski,weights_sqr8,2893,16445,2145,2340,0.8117365571086765,0.574235807860262,0.5528377603669024,0.5633336578716776,0.8846153846153846
15,1,chebyshev,uniform,2756,16278,2312,2477,0.7989757797086848,0.5438042620363063,0.5266577489012039,0.5350936802252209,0.8756320602474449
16,1,chebyshev,distance,2756,16278,2312,2477,0.7989757797086848,0.5438042620363063,0.5266577489012039,0.5350936802252209,0.8756320602474449
17,1,chebyshev,weights_sqr,2756,16278,2312,2477,0.7989757797086848,0.5438042620363063,0.5266577489012039,0.5350936802252209,0.8756320602474449
18,1,chebyshev,weights_sqr4,2756,16278,2312,2477,0.7989757797086848,0.5438042620363063,0.5266577489012039,0.5350936802252209,0.8756320602474449
19,1,chebyshev,weights_sqr8,2756,16278,2312,2477,0.7989757797086848,0.5438042620363063,0.5266577489012039,0.5350936802252209,0.8756320602474449
20,1,cosine,uniform,2867,16355,2235,2366,0.806867313100785,0.5619364954919639,0.5478692910376457,0.5548137397194001,0.8797740720817644
21,1,cosine,distance,2867,16355,2235,2366,0.806867313100785,0.5619364954919639,0.5478692910376457,0.5548137397194001,0.8797740720817644
22,1,cosine,weights_sqr,2867,16355,2235,2366,0.806867313100785,0.5619364954919639,0.5478692910376457,0.5548137397194001,0.8797740720817644
23,1,cosine,weights_sqr4,2867,16355,2235,2366,0.806867313100785,0.5619364954919639,0.5478692910376457,0.5548137397194001,0.8797740720817644
24,1,cosine,weights_sqr8,2867,16355,2235,2366,0.806867313100785,0.5619364954919639,0.5478692910376457,0.5548137397194001,0.8797740720817644
25,1,euclidean,uniform,2893,16445,2145,2340,0.8117365571086765,0.574235807860262,0.5528377603669024,0.5633336578716776,0.8846153846153846
26,1,euclidean,distance,2893,16445,2145,2340,0.8117365571086765,0.574235807860262,0.5528377603669024,0.5633336578716776,0.8846153846153846
27,1,euclidean,weights_sqr,2893,16445,2145,2340,0.8117365571086765,0.574235807860262,0.5528377603669024,0.5633336578716776,0.8846153846153846
28,1,euclidean,weights_sqr4,2893,16445,2145,2340,0.8117365571086765,0.574235807860262,0.5528377603669024,0.5633336578716776,0.8846153846153846
29,1,euclidean,weights_sqr8,2893,16445,2145,2340,0.8117365571086765,0.574235807860262,0.5528377603669024,0.5633336578716776,0.8846153846153846
