,k,metric,weights,tp,tn,fp,fn,acc,pre,rec,f1s,spe
0,2,l1,uniform,2143,18064,526,3090,0.8482139109264156,0.8029224428624954,0.4095165297152685,0.5423943305492281,0.971705217859064
1,2,l1,distance,3225,16820,1770,2008,0.8414137598119464,0.6456456456456456,0.6162812918020256,0.6306218224481814,0.9047875201721356
2,2,l2,uniform,2143,17994,596,3090,0.8452755740251018,0.7824023366192041,0.4095165297152685,0.5376317109884596,0.9679397525551372
3,2,l2,distance,3147,16763,1827,2086,0.8357469672165554,0.6326899879372738,0.6013758838142557,0.616635642206329,0.9017213555675094
4,2,manhattan,uniform,2143,18064,526,3090,0.8482139109264156,0.8029224428624954,0.4095165297152685,0.5423943305492281,0.971705217859064
5,2,manhattan,distance,3225,16820,1770,2008,0.8414137598119464,0.6456456456456456,0.6162812918020256,0.6306218224481814,0.9047875201721356
6,2,nan_euclidean,uniform,2143,17994,596,3090,0.8452755740251018,0.7824023366192041,0.4095165297152685,0.5376317109884596,0.9679397525551372
7,2,nan_euclidean,distance,3147,16763,1827,2086,0.8357469672165554,0.6326899879372738,0.6013758838142557,0.616635642206329,0.9017213555675094
8,2,minkowski,uniform,2143,17994,596,3090,0.8452755740251018,0.7824023366192041,0.4095165297152685,0.5376317109884596,0.9679397525551372
9,2,minkowski,distance,3147,16763,1827,2086,0.8357469672165554,0.6326899879372738,0.6013758838142557,0.616635642206329,0.9017213555675094
10,2,chebyshev,uniform,1940,17941,649,3293,0.8345296562145825,0.7493240633449209,0.37072424995222625,0.496036819227819,0.9650887573964497
11,2,chebyshev,distance,2867,16655,1935,2366,0.8194601855349872,0.5970428987921699,0.5478692910376457,0.5714000996512206,0.8959117805271651
12,2,cityblock,uniform,2143,18064,526,3090,0.8482139109264156,0.8029224428624954,0.4095165297152685,0.5423943305492281,0.971705217859064
13,2,cityblock,distance,3225,16820,1770,2008,0.8414137598119464,0.6456456456456456,0.6162812918020256,0.6306218224481814,0.9047875201721356
14,2,cosine,uniform,2137,17983,607,3096,0.844561977920497,0.7787900874635568,0.4083699598700554,0.5357903973925034,0.9673480365788059
15,2,cosine,distance,3106,16709,1881,2127,0.831759224279058,0.6228193302586725,0.5935409898719664,0.6078277886497064,0.8988165680473372
16,2,euclidean,uniform,2143,17994,596,3090,0.8452755740251018,0.7824023366192041,0.4095165297152685,0.5376317109884596,0.9679397525551372
17,2,euclidean,distance,3147,16763,1827,2086,0.8357469672165554,0.6326899879372738,0.6013758838142557,0.616635642206329,0.9017213555675094
18,3,l1,uniform,3010,17452,1138,2223,0.8589178524954876,0.7256509161041466,0.5751958723485572,0.6417226308495896,0.9387842926304465
19,3,l1,distance,3032,17457,1133,2201,0.8600512110145657,0.7279711884753901,0.5793999617810052,0.6452436688657162,0.9390532544378698
20,3,l2,uniform,2989,17345,1245,2244,0.8535448935902279,0.7059518186112423,0.5711828778903115,0.6314566388507447,0.9330285099515869
21,3,l2,distance,3010,17351,1239,2223,0.8546782521093061,0.7084019769357496,0.5751958723485572,0.6348871546087322,0.9333512641204949
22,3,manhattan,uniform,3010,17452,1138,2223,0.8589178524954876,0.7256509161041466,0.5751958723485572,0.6417226308495896,0.9387842926304465
23,3,manhattan,distance,3032,17457,1133,2201,0.8600512110145657,0.7279711884753901,0.5793999617810052,0.6452436688657162,0.9390532544378698
24,3,nan_euclidean,uniform,2989,17345,1245,2244,0.8535448935902279,0.7059518186112423,0.5711828778903115,0.6314566388507447,0.9330285099515869
25,3,nan_euclidean,distance,3010,17351,1239,2223,0.8546782521093061,0.7084019769357496,0.5751958723485572,0.6348871546087322,0.9333512641204949
26,3,minkowski,uniform,2989,17345,1245,2244,0.8535448935902279,0.7059518186112423,0.5711828778903115,0.6314566388507447,0.9330285099515869
27,3,minkowski,distance,3010,17351,1239,2223,0.8546782521093061,0.7084019769357496,0.5751958723485572,0.6348871546087322,0.9333512641204949
28,3,chebyshev,uniform,2786,17232,1358,2447,0.8402804012928682,0.6722972972972973,0.5323905981272693,0.594219899754719,0.9269499731038192
29,3,chebyshev,distance,2796,17236,1354,2437,0.840868068673131,0.6737349397590362,0.5343015478692911,0.5959714377064904,0.9271651425497579
30,3,cityblock,uniform,3010,17452,1138,2223,0.8589178524954876,0.7256509161041466,0.5751958723485572,0.6417226308495896,0.9387842926304465
31,3,cityblock,distance,3032,17457,1133,2201,0.8600512110145657,0.7279711884753901,0.5793999617810052,0.6452436688657162,0.9390532544378698
32,3,cosine,uniform,2988,17320,1270,2245,0.8524535113125971,0.7017379051197745,0.5709917829161093,0.6296491412917501,0.9316837009144702
33,3,cosine,distance,3041,17303,1287,2192,0.8539646560047013,0.702634011090573,0.5811198165488247,0.636125928250183,0.9307692307692308
34,3,euclidean,uniform,2989,17345,1245,2244,0.8535448935902279,0.7059518186112423,0.5711828778903115,0.6314566388507447,0.9330285099515869
35,3,euclidean,distance,3010,17351,1239,2223,0.8546782521093061,0.7084019769357496,0.5751958723485572,0.6348871546087322,0.9333512641204949
36,4,l1,uniform,2354,18017,573,2879,0.8550980145237795,0.8042364195421934,0.44983756927192814,0.5769607843137255,0.9691769768692846
37,4,l1,distance,3064,17461,1129,2169,0.8615623557066701,0.7307417123777725,0.5855150009554748,0.6501166984935286,0.9392684238838085
