,k,metric,weights,tp,tn,fp,fn,acc,pre,rec,f1s,spe
0,1,manhattan,weights_sqr,3225,16820,1770,2008,0.8414137598119464,0.6456456456456456,0.6162812918020256,0.6306218224481814,0.9047875201721356
1,1,manhattan,weights_sqr4,3225,16820,1770,2008,0.8414137598119464,0.6456456456456456,0.6162812918020256,0.6306218224481814,0.9047875201721356
2,1,manhattan,weights_sqr8,3225,16820,1770,2008,0.8414137598119464,0.6456456456456456,0.6162812918020256,0.6306218224481814,0.9047875201721356
3,2,manhattan,weights_sqr,3225,16820,1770,2008,0.8414137598119464,0.6456456456456456,0.6162812918020256,0.6306218224481814,0.9047875201721356
4,2,manhattan,weights_sqr4,3225,16820,1770,2008,0.8414137598119464,0.6456456456456456,0.6162812918020256,0.6306218224481814,0.9047875201721356
5,2,manhattan,weights_sqr8,3225,16820,1770,2008,0.8414137598119464,0.6456456456456456,0.6162812918020256,0.6306218224481814,0.9047875201721356
6,3,manhattan,weights_sqr,3109,17437,1153,2124,0.8624438567770641,0.7294697325199437,0.5941142747945729,0.6548709847288047,0.9379774072081765
7,3,manhattan,weights_sqr4,3143,17330,1260,2090,0.8593795911514083,0.7138314785373608,0.600611503917447,0.6523453715234537,0.9322216245293168
8,3,manhattan,weights_sqr8,3181,17123,1467,2052,0.8522856063468077,0.6843803786574871,0.6078731129371298,0.6438619572917721,0.9210866057019903
9,4,manhattan,weights_sqr,3100,17446,1144,2133,0.8624438567770641,0.7304429783223374,0.5923944200267532,0.6542154690302838,0.9384615384615385
10,4,manhattan,weights_sqr4,3146,17379,1211,2087,0.8615623557066701,0.7220564608675695,0.6011847888400536,0.6561001042752869,0.9348574502420657
11,4,manhattan,weights_sqr8,3171,17198,1392,2062,0.8550140620408848,0.6949375410913873,0.605962163195108,0.6474071049407922,0.9251210328133405
12,5,manhattan,weights_sqr,2995,17647,943,2238,0.8664735759560089,0.760538344337227,0.5723294477355245,0.6531457856286118,0.949273803119957
13,5,manhattan,weights_sqr4,3084,17530,1060,2149,0.8652982411954834,0.7442084942084942,0.5893369004395185,0.6577796736696172,0.9429800968262507
14,5,manhattan,weights_sqr8,3155,17296,1294,2078,0.8584561138395668,0.7091481231737469,0.6029046436078731,0.6517248502375542,0.930392684238838
15,6,manhattan,weights_sqr,2977,17678,912,2256,0.8670192670948244,0.7654924145024428,0.5688897381998853,0.6527077395308046,0.9509413663259817
16,6,manhattan,weights_sqr4,3076,17590,1000,2157,0.867481005750745,0.7546614327772326,0.587808140645901,0.660865828767859,0.9462076385153309
17,6,manhattan,weights_sqr8,3127,17363,1227,2106,0.8600931872560131,0.7181901699586587,0.5975539843302121,0.6523417127359967,0.9339967724583109
18,7,manhattan,weights_sqr,2914,17742,848,2319,0.8670612433362717,0.7745879851143009,0.5568507548251481,0.6479155086158976,0.9543840774610005
19,7,manhattan,weights_sqr4,3046,17636,954,2187,0.8681526256139025,0.7615,0.5820752914198356,0.6598072132567961,0.9486820871436256
20,7,manhattan,weights_sqr8,3134,17397,1193,2099,0.8618142131553541,0.7242893459671828,0.5988916491496273,0.6556485355648535,0.9358257127487897
21,8,manhattan,weights_sqr,2913,17781,809,2320,0.8686563405112706,0.7826437399247717,0.5566596598509459,0.6505862646566164,0.9564819795589027
22,8,manhattan,weights_sqr4,3036,17681,909,2197,0.8696217940645594,0.7695817490494297,0.5801643416778138,0.6615820440183046,0.9511027434104358
23,8,manhattan,weights_sqr8,3124,17437,1153,2109,0.8630735003987743,0.7304185176525602,0.5969806994076056,0.6569926393270242,0.9379774072081765
24,9,manhattan,weights_sqr,2821,17831,759,2412,0.8668933383704823,0.7879888268156424,0.5390789222243455,0.6401906274821287,0.9591715976331361
25,9,manhattan,weights_sqr4,2999,17725,865,2234,0.8699156277546909,0.7761387163561076,0.5730938276323333,0.6593382433769375,0.9534696073157611
26,9,manhattan,weights_sqr8,3112,17457,1133,2121,0.8634093103303531,0.7330977620730271,0.5946875597171795,0.656678624182317,0.9390532544378698
27,10,manhattan,weights_sqr,2816,17859,731,2417,0.8678587919237711,0.79391034677192,0.5381234473533346,0.6414578587699317,0.9606777837547068
28,10,manhattan,weights_sqr4,2963,17750,840,2270,0.8694538890987701,0.7791217459900079,0.5662144085610549,0.6558211598052236,0.9548144163528779
29,10,manhattan,weights_sqr8,3094,17489,1101,2139,0.8639969777106158,0.7375446960667461,0.5912478501815402,0.65634280865507,0.9407746100053792
30,11,manhattan,weights_sqr,2795,17880,710,2438,0.8678587919237711,0.797432239657632,0.5341104528950888,0.6397344930189975,0.9618074233458849
31,11,manhattan,weights_sqr4,2944,17776,814,2289,0.8697477227889014,0.7833954230973922,0.5625836040512134,0.6548770993215437,0.9562130177514793
32,11,manhattan,weights_sqr8,3082,17507,1083,2151,0.8642488351592998,0.7399759903961585,0.588954710491114,0.6558842306873803,0.9417428725121033
