,k,metric,weights,valeur
0,1,manhattan,uniform,0.5578480524489009
1,1,manhattan,distance,0.5578480524489009
2,1,manhattan,weights_sqr,0.5578480524489009
3,1,manhattan,weights_sqr4,0.5578480524489009
4,1,manhattan,weights_sqr8,0.5578480524489009
5,1,pond_PCA,uniform,0.561010899971062
6,1,pond_PCA,distance,0.561010899971062
7,1,pond_PCA,weights_sqr,0.561010899971062
8,1,pond_PCA,weights_sqr4,0.561010899971062
9,1,pond_PCA,weights_sqr8,0.561010899971062
10,2,manhattan,uniform,0.5105052526263132
11,2,manhattan,distance,0.5578480524489009
12,2,manhattan,weights_sqr,0.5578480524489009
13,2,manhattan,weights_sqr4,0.5578480524489009
14,2,manhattan,weights_sqr8,0.5578480524489009
15,2,pond_PCA,uniform,0.503370786516854
16,2,pond_PCA,distance,0.561010899971062
17,2,pond_PCA,weights_sqr,0.561010899971062
18,2,pond_PCA,weights_sqr4,0.561010899971062
19,2,pond_PCA,weights_sqr8,0.561010899971062
20,3,manhattan,uniform,0.5901468597021143
21,3,manhattan,distance,0.5893860561914673
22,3,manhattan,weights_sqr,0.5834956432598667
23,3,manhattan,weights_sqr4,0.5738261738261738
24,3,manhattan,weights_sqr8,0.5629600549612328
25,3,pond_PCA,uniform,0.591378770483248
26,3,pond_PCA,distance,0.5917665450755601
27,3,pond_PCA,weights_sqr,0.5871691895788281
28,3,pond_PCA,weights_sqr4,0.5792591105310712
29,3,pond_PCA,weights_sqr8,0.5712596096984034
30,4,manhattan,uniform,0.5464375826024269
31,4,manhattan,distance,0.5929711127333402
32,4,manhattan,weights_sqr,0.5905136702568351
33,4,manhattan,weights_sqr4,0.5771961858389125
34,4,manhattan,weights_sqr8,0.5660451810200257
35,4,pond_PCA,uniform,0.5509370494954349
36,4,pond_PCA,distance,0.5948203842940685
37,4,pond_PCA,weights_sqr,0.5929397063417682
38,4,pond_PCA,weights_sqr4,0.5864631043256997
39,4,pond_PCA,weights_sqr8,0.5730750124192746
40,5,manhattan,uniform,0.6004936151947634
41,5,manhattan,distance,0.6003217158176944
42,5,manhattan,weights_sqr,0.5982058047493404
43,5,manhattan,weights_sqr4,0.58124228712464
44,5,manhattan,weights_sqr8,0.5678816168437779
45,5,pond_PCA,uniform,0.6009501187648456
46,5,pond_PCA,distance,0.602495160249516
47,5,pond_PCA,weights_sqr,0.6007434944237918
48,5,pond_PCA,weights_sqr4,0.5938587512794268
49,5,pond_PCA,weights_sqr8,0.5745403677058354
50,6,manhattan,uniform,0.5689634794941497
51,6,manhattan,distance,0.601676698194325
52,6,manhattan,weights_sqr,0.6008107531470024
53,6,manhattan,weights_sqr4,0.5856079404466501
54,6,manhattan,weights_sqr8,0.5716847663644515
55,6,pond_PCA,uniform,0.5712249019840798
56,6,pond_PCA,distance,0.6047114761184352
57,6,pond_PCA,weights_sqr,0.6036074726218595
58,6,pond_PCA,weights_sqr4,0.5966369109404194
59,6,pond_PCA,weights_sqr8,0.5770426065162907
60,7,manhattan,uniform,0.6035386631716907
61,7,manhattan,distance,0.6042757417102966
62,7,manhattan,weights_sqr,0.6060344827586207
63,7,manhattan,weights_sqr4,0.5894736842105263
64,7,manhattan,weights_sqr8,0.5723132241310427
65,7,pond_PCA,uniform,0.6054233536247925
66,7,pond_PCA,distance,0.6084463557172786
67,7,pond_PCA,weights_sqr,0.6043944149799763
68,7,pond_PCA,weights_sqr4,0.5986195356619954
69,7,pond_PCA,weights_sqr8,0.5764279967819791
70,8,manhattan,uniform,0.5798022598870056
71,8,manhattan,distance,0.6085720533566586
72,8,manhattan,weights_sqr,0.6060803474484256
73,8,manhattan,weights_sqr4,0.592887029288703
74,8,manhattan,weights_sqr8,0.5726572657265727
75,8,pond_PCA,uniform,0.5793971042012817
76,8,pond_PCA,distance,0.6101919258769027
77,8,pond_PCA,weights_sqr,0.6095778335333261
78,8,pond_PCA,weights_sqr4,0.6009696458684654
79,8,pond_PCA,weights_sqr8,0.5786985819169265
80,9,manhattan,uniform,0.604645993108814
81,9,manhattan,distance,0.6073844106885464
82,9,manhattan,weights_sqr,0.6056830601092896
83,9,manhattan,weights_sqr4,0.5965873183062986
