,k,metric,weights,valeur
0,1,manhattan,uniform,0.5908300395256917
1,1,manhattan,distance,0.5908300395256917
2,1,manhattan,weights_sqr,0.5908300395256917
3,1,manhattan,weights_sqr4,0.5908300395256917
4,1,manhattan,weights_sqr8,0.5908300395256917
5,1,nan_euclidean,uniform,0.596933613510779
6,1,nan_euclidean,distance,0.596933613510779
7,1,nan_euclidean,weights_sqr,0.596933613510779
8,1,nan_euclidean,weights_sqr4,0.596933613510779
9,1,nan_euclidean,weights_sqr8,0.596933613510779
10,1,minkowski,uniform,0.596933613510779
11,1,minkowski,distance,0.596933613510779
12,1,minkowski,weights_sqr,0.596933613510779
13,1,minkowski,weights_sqr4,0.596933613510779
14,1,minkowski,weights_sqr8,0.596933613510779
15,1,chebyshev,uniform,0.5612432790749061
16,1,chebyshev,distance,0.5612432790749061
17,1,chebyshev,weights_sqr,0.5612432790749061
18,1,chebyshev,weights_sqr4,0.5612432790749061
19,1,chebyshev,weights_sqr8,0.5612432790749061
20,1,cosine,uniform,0.59637382304879
21,1,cosine,distance,0.59637382304879
22,1,cosine,weights_sqr,0.59637382304879
23,1,cosine,weights_sqr4,0.59637382304879
24,1,cosine,weights_sqr8,0.59637382304879
25,1,euclidean,uniform,0.596933613510779
26,1,euclidean,distance,0.596933613510779
27,1,euclidean,weights_sqr,0.596933613510779
28,1,euclidean,weights_sqr4,0.596933613510779
29,1,euclidean,weights_sqr8,0.596933613510779
30,2,manhattan,uniform,0.492240041386446
31,2,manhattan,distance,0.5908300395256917
32,2,manhattan,weights_sqr,0.5908300395256917
33,2,manhattan,weights_sqr4,0.5908300395256917
34,2,manhattan,weights_sqr8,0.5908300395256917
35,2,nan_euclidean,uniform,0.48850798597584727
36,2,nan_euclidean,distance,0.596933613510779
37,2,nan_euclidean,weights_sqr,0.596933613510779
38,2,nan_euclidean,weights_sqr4,0.596933613510779
39,2,nan_euclidean,weights_sqr8,0.596933613510779
40,2,minkowski,uniform,0.48850798597584727
41,2,minkowski,distance,0.596933613510779
42,2,minkowski,weights_sqr,0.596933613510779
43,2,minkowski,weights_sqr4,0.596933613510779
44,2,minkowski,weights_sqr8,0.596933613510779
45,2,chebyshev,uniform,0.5097483161999292
46,2,chebyshev,distance,0.5612432790749061
47,2,chebyshev,weights_sqr,0.5612432790749061
48,2,chebyshev,weights_sqr4,0.5612432790749061
49,2,chebyshev,weights_sqr8,0.5612432790749061
50,2,cosine,uniform,0.508551881413911
51,2,cosine,distance,0.59637382304879
52,2,cosine,weights_sqr,0.59637382304879
53,2,cosine,weights_sqr4,0.59637382304879
54,2,cosine,weights_sqr8,0.59637382304879
55,2,euclidean,uniform,0.48850798597584727
56,2,euclidean,distance,0.596933613510779
57,2,euclidean,weights_sqr,0.596933613510779
58,2,euclidean,weights_sqr4,0.596933613510779
59,2,euclidean,weights_sqr8,0.596933613510779
60,3,manhattan,uniform,0.5869756292449061
61,3,manhattan,distance,0.5890356142456983
62,3,manhattan,weights_sqr,0.6084366446626952
63,3,manhattan,weights_sqr4,0.6109992753039697
64,3,manhattan,weights_sqr8,0.6019463943841736
65,3,nan_euclidean,uniform,0.5717902064710071
66,3,nan_euclidean,distance,0.5770600807409167
67,3,nan_euclidean,weights_sqr,0.6063010872153004
68,3,nan_euclidean,weights_sqr4,0.6185173401209035
69,3,nan_euclidean,weights_sqr8,0.6137223974763407
70,3,minkowski,uniform,0.5717902064710071
71,3,minkowski,distance,0.5770600807409167
72,3,minkowski,weights_sqr,0.6063010872153004
73,3,minkowski,weights_sqr4,0.6185173401209035
74,3,minkowski,weights_sqr8,0.6137223974763407
75,3,chebyshev,uniform,0.5532994923857868
76,3,chebyshev,distance,0.5626098250439301
77,3,chebyshev,weights_sqr,0.5832693783576363
78,3,chebyshev,weights_sqr4,0.5883157334954038
79,3,chebyshev,weights_sqr8,0.5747726256150291
80,3,cosine,uniform,0.5747304739005662
81,3,cosine,distance,0.6041261191124951
82,3,cosine,weights_sqr,0.618987541397256
83,3,cosine,weights_sqr4,0.6147560304863676
84,3,cosine,weights_sqr8,0.603390360128115
85,3,euclidean,uniform,0.5717902064710071
86,3,euclidean,distance,0.5770600807409167
87,3,euclidean,weights_sqr,0.6063010872153004
88,3,euclidean,weights_sqr4,0.6185173401209035
89,3,euclidean,weights_sqr8,0.6137223974763407
90,4,manhattan,uniform,0.5558671268334772
91,4,manhattan,distance,0.6234172011182371
92,4,manhattan,weights_sqr,0.6231634244438974
93,4,manhattan,weights_sqr4,0.6207625396309243
94,4,manhattan,weights_sqr8,0.6057060426350377
95,4,nan_euclidean,uniform,0.543885497789939
96,4,nan_euclidean,distance,0.6191661980881998
97,4,nan_euclidean,weights_sqr,0.6222044088176352
98,4,nan_euclidean,weights_sqr4,0.6279274238669971
99,4,nan_euclidean,weights_sqr8,0.6174188440221694
100,4,minkowski,uniform,0.543885497789939
101,4,minkowski,distance,0.6191661980881998
102,4,minkowski,weights_sqr,0.6222044088176352
103,4,minkowski,weights_sqr4,0.6279274238669971
104,4,minkowski,weights_sqr8,0.6174188440221694
105,4,chebyshev,uniform,0.5364934549781832
106,4,chebyshev,distance,0.5841240453598704
107,4,chebyshev,weights_sqr,0.5887792848335388
108,4,chebyshev,weights_sqr4,0.5914313979149227
109,4,chebyshev,weights_sqr8,0.5786991991617395
110,4,cosine,uniform,0.548176818089224
111,4,cosine,distance,0.616631264259303
112,4,cosine,weights_sqr,0.6235405490691068
113,4,cosine,weights_sqr4,0.617852929610696
114,4,cosine,weights_sqr8,0.6044729433844229
115,4,euclidean,uniform,0.543885497789939
116,4,euclidean,distance,0.6191661980881998
117,4,euclidean,weights_sqr,0.6222044088176352
118,4,euclidean,weights_sqr4,0.6279274238669971
119,4,euclidean,weights_sqr8,0.6174188440221694
120,5,manhattan,uniform,0.5844549910526725
121,5,manhattan,distance,0.5892129194104735
122,5,manhattan,weights_sqr,0.6127892030848329
123,5,manhattan,weights_sqr4,0.6217995610826628
124,5,manhattan,weights_sqr8,0.605711543076554
125,5,nan_euclidean,uniform,0.557015315380707
126,5,nan_euclidean,distance,0.5720690428155122
127,5,nan_euclidean,weights_sqr,0.6072240068949307
128,5,nan_euclidean,weights_sqr4,0.6267487409065473
129,5,nan_euclidean,weights_sqr8,0.6182365523251208
130,5,minkowski,uniform,0.557015315380707
131,5,minkowski,distance,0.5720690428155122
132,5,minkowski,weights_sqr,0.6072240068949307
133,5,minkowski,weights_sqr4,0.6267487409065473
134,5,minkowski,weights_sqr8,0.6182365523251208
135,5,chebyshev,uniform,0.5259437296762335
136,5,chebyshev,distance,0.5581600411492394
137,5,chebyshev,weights_sqr,0.5922871324933181
138,5,chebyshev,weights_sqr4,0.5956405353728489
139,5,chebyshev,weights_sqr8,0.58039391896952
140,5,cosine,uniform,0.5520202731240321
141,5,cosine,distance,0.604200323101777
142,5,cosine,weights_sqr,0.6238648029692807
143,5,cosine,weights_sqr4,0.619171597633136
144,5,cosine,weights_sqr8,0.6050735984967115
145,5,euclidean,uniform,0.557015315380707
146,5,euclidean,distance,0.5720690428155122
147,5,euclidean,weights_sqr,0.6072240068949307
148,5,euclidean,weights_sqr4,0.6267487409065473
149,5,euclidean,weights_sqr8,0.6182365523251208
150,6,manhattan,uniform,0.5891827401073774
151,6,manhattan,distance,0.6231872316292635
152,6,manhattan,weights_sqr,0.6252240508391721
153,6,manhattan,weights_sqr4,0.6244705115672857
154,6,manhattan,weights_sqr8,0.6066677352139765
155,6,nan_euclidean,uniform,0.5596059113300492
156,6,nan_euclidean,distance,0.6152757020372845
157,6,nan_euclidean,weights_sqr,0.6213468869123252
158,6,nan_euclidean,weights_sqr4,0.6301765650080257
159,6,nan_euclidean,weights_sqr8,0.6186890703019735
160,6,minkowski,uniform,0.5596059113300492
161,6,minkowski,distance,0.6152757020372845
162,6,minkowski,weights_sqr,0.6213468869123252
163,6,minkowski,weights_sqr4,0.6301765650080257
164,6,minkowski,weights_sqr8,0.6186890703019735
165,6,chebyshev,uniform,0.5380805532193252
166,6,chebyshev,distance,0.5710814094775213
167,6,chebyshev,weights_sqr,0.593451881248569
168,6,chebyshev,weights_sqr4,0.6002138710662999
