,k,metric,weights,valeur
0,1,manhattan,uniform,0.5823836198570601
1,1,manhattan,distance,0.5823836198570601
2,1,manhattan,weights_sqr,0.5823836198570601
3,1,manhattan,weights_sqr4,0.5823836198570601
4,1,manhattan,weights_sqr8,0.5823836198570601
5,1,nan_euclidean,uniform,0.5728071021904854
6,1,nan_euclidean,distance,0.5728071021904854
7,1,nan_euclidean,weights_sqr,0.5728071021904854
8,1,nan_euclidean,weights_sqr4,0.5728071021904854
9,1,nan_euclidean,weights_sqr8,0.5728071021904854
10,1,minkowski,uniform,0.5728071021904854
11,1,minkowski,distance,0.5728071021904854
12,1,minkowski,weights_sqr,0.5728071021904854
13,1,minkowski,weights_sqr4,0.5728071021904854
14,1,minkowski,weights_sqr8,0.5728071021904854
15,1,chebyshev,uniform,0.5626445643793369
16,1,chebyshev,distance,0.5626445643793369
17,1,chebyshev,weights_sqr,0.5626445643793369
18,1,chebyshev,weights_sqr4,0.5626445643793369
19,1,chebyshev,weights_sqr8,0.5626445643793369
20,1,cosine,uniform,0.5734414205751786
21,1,cosine,distance,0.5734414205751786
22,1,cosine,weights_sqr,0.5734414205751786
23,1,cosine,weights_sqr4,0.5734414205751786
24,1,cosine,weights_sqr8,0.5734414205751786
25,1,euclidean,uniform,0.5728071021904854
26,1,euclidean,distance,0.5728071021904854
27,1,euclidean,weights_sqr,0.5728071021904854
28,1,euclidean,weights_sqr4,0.5728071021904854
29,1,euclidean,weights_sqr8,0.5728071021904854
30,2,manhattan,uniform,0.521272613849033
31,2,manhattan,distance,0.5823836198570601
32,2,manhattan,weights_sqr,0.5823836198570601
33,2,manhattan,weights_sqr4,0.5823836198570601
34,2,manhattan,weights_sqr8,0.5823836198570601
35,2,nan_euclidean,uniform,0.5099164275913682
36,2,nan_euclidean,distance,0.5728071021904854
37,2,nan_euclidean,weights_sqr,0.5728071021904854
38,2,nan_euclidean,weights_sqr4,0.5728071021904854
39,2,nan_euclidean,weights_sqr8,0.5728071021904854
40,2,minkowski,uniform,0.5099164275913682
41,2,minkowski,distance,0.5728071021904854
42,2,minkowski,weights_sqr,0.5728071021904854
43,2,minkowski,weights_sqr4,0.5728071021904854
44,2,minkowski,weights_sqr8,0.5728071021904854
45,2,chebyshev,uniform,0.5048131016377048
46,2,chebyshev,distance,0.5626445643793369
47,2,chebyshev,weights_sqr,0.5626445643793369
48,2,chebyshev,weights_sqr4,0.5626445643793369
49,2,chebyshev,weights_sqr8,0.5626445643793369
50,2,cosine,uniform,0.5100336532469151
51,2,cosine,distance,0.5734414205751786
52,2,cosine,weights_sqr,0.5734414205751786
53,2,cosine,weights_sqr4,0.5734414205751786
54,2,cosine,weights_sqr8,0.5734414205751786
55,2,euclidean,uniform,0.5099164275913682
56,2,euclidean,distance,0.5728071021904854
57,2,euclidean,weights_sqr,0.5728071021904854
58,2,euclidean,weights_sqr4,0.5728071021904854
59,2,euclidean,weights_sqr8,0.5728071021904854
60,3,manhattan,uniform,0.6056440695615953
61,3,manhattan,distance,0.608044901777362
62,3,manhattan,weights_sqr,0.6074640752610359
63,3,manhattan,weights_sqr4,0.6007088607594937
64,3,manhattan,weights_sqr8,0.5934000594589237
65,3,nan_euclidean,uniform,0.5983419689119172
66,3,nan_euclidean,distance,0.5996892801657172
