,k,metric,weights,valeur
0,1,manhattan,uniform,0.5827331031080415
1,1,manhattan,distance,0.5827331031080415
2,1,manhattan,weights_sqr,0.5827331031080415
3,1,manhattan,weights_sqr4,0.5827331031080415
4,1,manhattan,weights_sqr8,0.5827331031080415
5,1,nan_euclidean,uniform,0.5633336578716776
6,1,nan_euclidean,distance,0.5633336578716776
7,1,nan_euclidean,weights_sqr,0.5633336578716776
8,1,nan_euclidean,weights_sqr4,0.5633336578716776
9,1,nan_euclidean,weights_sqr8,0.5633336578716776
10,1,minkowski,uniform,0.5633336578716776
11,1,minkowski,distance,0.5633336578716776
12,1,minkowski,weights_sqr,0.5633336578716776
13,1,minkowski,weights_sqr4,0.5633336578716776
14,1,minkowski,weights_sqr8,0.5633336578716776
15,1,chebyshev,uniform,0.5350936802252209
16,1,chebyshev,distance,0.5350936802252209
17,1,chebyshev,weights_sqr,0.5350936802252209
18,1,chebyshev,weights_sqr4,0.5350936802252209
19,1,chebyshev,weights_sqr8,0.5350936802252209
20,1,cosine,uniform,0.5548137397194001
21,1,cosine,distance,0.5548137397194001
22,1,cosine,weights_sqr,0.5548137397194001
23,1,cosine,weights_sqr4,0.5548137397194001
24,1,cosine,weights_sqr8,0.5548137397194001
25,1,euclidean,uniform,0.5633336578716776
26,1,euclidean,distance,0.5633336578716776
27,1,euclidean,weights_sqr,0.5633336578716776
28,1,euclidean,weights_sqr4,0.5633336578716776
29,1,euclidean,weights_sqr8,0.5633336578716776
30,2,manhattan,uniform,0.5090862879654339
31,2,manhattan,distance,0.5827331031080415
32,2,manhattan,weights_sqr,0.5827331031080415
33,2,manhattan,weights_sqr4,0.5827331031080415
34,2,manhattan,weights_sqr8,0.5827331031080415
35,2,nan_euclidean,uniform,0.49501661129568103
36,2,nan_euclidean,distance,0.5633336578716776
37,2,nan_euclidean,weights_sqr,0.5633336578716776
38,2,nan_euclidean,weights_sqr4,0.5633336578716776
39,2,nan_euclidean,weights_sqr8,0.5633336578716776
40,2,minkowski,uniform,0.49501661129568103
41,2,minkowski,distance,0.5633336578716776
42,2,minkowski,weights_sqr,0.5633336578716776
43,2,minkowski,weights_sqr4,0.5633336578716776
44,2,minkowski,weights_sqr8,0.5633336578716776
45,2,chebyshev,uniform,0.4713899961424714
46,2,chebyshev,distance,0.5348768762876484
47,2,chebyshev,weights_sqr,0.5348768762876484
48,2,chebyshev,weights_sqr4,0.5348768762876484
49,2,chebyshev,weights_sqr8,0.5348768762876484
50,2,cosine,uniform,0.48456358785414816
51,2,cosine,distance,0.5548137397194001
52,2,cosine,weights_sqr,0.5548137397194001
53,2,cosine,weights_sqr4,0.5548137397194001
54,2,cosine,weights_sqr8,0.5548137397194001
55,2,euclidean,uniform,0.49501661129568103
56,2,euclidean,distance,0.5633336578716776
57,2,euclidean,weights_sqr,0.5633336578716776
58,2,euclidean,weights_sqr4,0.5633336578716776
59,2,euclidean,weights_sqr8,0.5633336578716776
60,3,manhattan,uniform,0.6043533930857875
61,3,manhattan,distance,0.605181789103316
62,3,manhattan,weights_sqr,0.6108228317272053
63,3,manhattan,weights_sqr4,0.6063518595904722
64,3,manhattan,weights_sqr8,0.5991630090844137
65,3,nan_euclidean,uniform,0.5862692921766898
66,3,nan_euclidean,distance,0.5876222883879201
67,3,nan_euclidean,weights_sqr,0.5900180141994278
68,3,nan_euclidean,weights_sqr4,0.5836202399582681
69,3,nan_euclidean,weights_sqr8,0.5747734907869286
70,3,minkowski,uniform,0.5862692921766898
71,3,minkowski,distance,0.5876222883879201
72,3,minkowski,weights_sqr,0.5900180141994278
73,3,minkowski,weights_sqr4,0.5836202399582681
74,3,minkowski,weights_sqr8,0.5747734907869286
75,3,chebyshev,uniform,0.5701482983036381
