,k,metric,weights,valeur
0,1,manhattan,weights_sqr,0.6306218224481814
1,1,manhattan,weights_sqr4,0.6306218224481814
2,1,manhattan,weights_sqr8,0.6306218224481814
3,2,manhattan,weights_sqr,0.6306218224481814
4,2,manhattan,weights_sqr4,0.6306218224481814
5,2,manhattan,weights_sqr8,0.6306218224481814
6,3,manhattan,weights_sqr,0.6548709847288047
7,3,manhattan,weights_sqr4,0.6523453715234537
8,3,manhattan,weights_sqr8,0.6438619572917721
9,4,manhattan,weights_sqr,0.6542154690302838
10,4,manhattan,weights_sqr4,0.6561001042752869
11,4,manhattan,weights_sqr8,0.6474071049407922
12,5,manhattan,weights_sqr,0.6531457856286118
13,5,manhattan,weights_sqr4,0.6577796736696172
14,5,manhattan,weights_sqr8,0.6517248502375542
15,6,manhattan,weights_sqr,0.6527077395308046
16,6,manhattan,weights_sqr4,0.660865828767859
17,6,manhattan,weights_sqr8,0.6523417127359967
18,7,manhattan,weights_sqr,0.6479155086158976
19,7,manhattan,weights_sqr4,0.6598072132567961
20,7,manhattan,weights_sqr8,0.6556485355648535
21,8,manhattan,weights_sqr,0.6505862646566164
22,8,manhattan,weights_sqr4,0.6615820440183046
23,8,manhattan,weights_sqr8,0.6569926393270242
24,9,manhattan,weights_sqr,0.6401906274821287
25,9,manhattan,weights_sqr4,0.6593382433769375
26,9,manhattan,weights_sqr8,0.656678624182317
27,10,manhattan,weights_sqr,0.6414578587699317
28,10,manhattan,weights_sqr4,0.6558211598052236
29,10,manhattan,weights_sqr8,0.65634280865507
30,11,manhattan,weights_sqr,0.6397344930189975
31,11,manhattan,weights_sqr4,0.6548770993215437
32,11,manhattan,weights_sqr8,0.6558842306873803
33,12,manhattan,weights_sqr,0.6375043167952112
34,12,manhattan,weights_sqr4,0.6548830965432375
35,12,manhattan,weights_sqr8,0.6547784303256808
36,13,manhattan,weights_sqr,0.637014787430684
37,13,manhattan,weights_sqr4,0.6519784172661871
38,13,manhattan,weights_sqr8,0.65610278372591
39,14,manhattan,weights_sqr,0.6289703315881326
40,14,manhattan,weights_sqr4,0.6528906955736224
41,14,manhattan,weights_sqr8,0.6565082090353042
42,15,manhattan,weights_sqr,0.631665107577175
43,15,manhattan,weights_sqr4,0.6500340213200272
44,15,manhattan,weights_sqr8,0.6551204819277108
45,16,manhattan,weights_sqr,0.6280023432923257
46,16,manhattan,weights_sqr4,0.6513688515278881
47,16,manhattan,weights_sqr8,0.6548119409419119
48,17,manhattan,weights_sqr,0.6275246594645374
49,17,manhattan,weights_sqr4,0.6504213163288545
50,17,manhattan,weights_sqr8,0.6555855369670804
51,18,manhattan,weights_sqr,0.6261505782393203
52,18,manhattan,weights_sqr4,0.6476713582789794
53,18,manhattan,weights_sqr8,0.6541914548404543
54,19,manhattan,weights_sqr,0.6248666587649638
55,19,manhattan,weights_sqr4,0.6469577174286696
56,19,manhattan,weights_sqr8,0.6550227815144283
57,20,manhattan,weights_sqr,0.6243474133839582
58,20,manhattan,weights_sqr4,0.6469237832874196
59,20,manhattan,weights_sqr8,0.6545099316183653
