,k,metric,weights,valeur
0,1,manhattan,uniform,0.6340821696012953
1,1,manhattan,distance,0.6340821696012953
2,1,manhattan,weights_sqr,0.6340821696012953
3,1,manhattan,weights_sqr4,0.6340821696012953
4,1,manhattan,weights_sqr8,0.6340821696012953
5,1,pond_PCA,uniform,0.5887521968365553
6,1,pond_PCA,distance,0.5887521968365553
7,1,pond_PCA,weights_sqr,0.5887521968365553
8,1,pond_PCA,weights_sqr4,0.5887521968365553
9,1,pond_PCA,weights_sqr8,0.5887521968365553
10,2,manhattan,uniform,0.7853498542274052
11,2,manhattan,distance,0.6340821696012953
12,2,manhattan,weights_sqr,0.6340821696012953
13,2,manhattan,weights_sqr4,0.6340821696012953
14,2,manhattan,weights_sqr8,0.6340821696012953
15,2,pond_PCA,uniform,0.7508986340762042
16,2,pond_PCA,distance,0.5887521968365553
17,2,pond_PCA,weights_sqr,0.5887521968365553
18,2,pond_PCA,weights_sqr4,0.5887521968365553
19,2,pond_PCA,weights_sqr8,0.5887521968365553
20,3,manhattan,uniform,0.70034924330617
21,3,manhattan,distance,0.7016728624535316
22,3,manhattan,weights_sqr,0.7036781609195403
23,3,manhattan,weights_sqr4,0.6915201424438014
24,3,manhattan,weights_sqr8,0.6675941780821918
25,3,pond_PCA,uniform,0.6654462242562929
26,3,pond_PCA,distance,0.6665907019143118
27,3,pond_PCA,weights_sqr,0.6617117117117117
28,3,pond_PCA,weights_sqr4,0.6389487289961223
29,3,pond_PCA,weights_sqr8,0.6163030053519967
30,4,manhattan,uniform,0.7841796875
31,4,manhattan,distance,0.7089848308051342
32,4,manhattan,weights_sqr,0.7093023255813954
33,4,manhattan,weights_sqr4,0.7040256175663312
34,4,manhattan,weights_sqr8,0.6841179058512978
35,4,pond_PCA,uniform,0.7564227642276423
36,4,pond_PCA,distance,0.6700344431687715
37,4,pond_PCA,weights_sqr,0.6675817890642873
38,4,pond_PCA,weights_sqr4,0.6526362428001772
39,4,pond_PCA,weights_sqr8,0.6272861046878284
40,5,manhattan,uniform,0.7367088607594937
41,5,manhattan,distance,0.7387909319899244
42,5,manhattan,weights_sqr,0.7401340282948623
43,5,manhattan,weights_sqr4,0.7279711884753901
44,5,manhattan,weights_sqr8,0.6959169862395669
45,5,pond_PCA,uniform,0.7086043021510755
46,5,pond_PCA,distance,0.7106965174129353
47,5,pond_PCA,weights_sqr,0.7011382901428918
48,5,pond_PCA,weights_sqr4,0.6714909257983
49,5,pond_PCA,weights_sqr8,0.6375106928999145
50,6,manhattan,uniform,0.7959770114942529
51,6,manhattan,distance,0.7419843473870235
52,6,manhattan,weights_sqr,0.7427427427427428
53,6,manhattan,weights_sqr4,0.7344509232264335
54,6,manhattan,weights_sqr8,0.7025979945305378
55,6,pond_PCA,uniform,0.7699842022116904
56,6,pond_PCA,distance,0.7086945751795888
57,6,pond_PCA,weights_sqr,0.7055800293685757
58,6,pond_PCA,weights_sqr4,0.6790957818690282
59,6,pond_PCA,weights_sqr8,0.6413912292071722
60,7,manhattan,uniform,0.7560777957860616
61,7,manhattan,distance,0.7599029911075182
62,7,manhattan,weights_sqr,0.761892247043364
63,7,manhattan,weights_sqr4,0.7469244288224957
64,7,manhattan,weights_sqr8,0.7087378640776699
65,7,pond_PCA,uniform,0.7271526677231906
66,7,pond_PCA,distance,0.7294888597640892
67,7,pond_PCA,weights_sqr,0.7201011378002529
68,7,pond_PCA,weights_sqr4,0.6895897557505336
69,7,pond_PCA,weights_sqr8,0.6463654223968566
70,8,manhattan,uniform,0.7987882653061225
71,8,manhattan,distance,0.75979602791197
72,8,manhattan,weights_sqr,0.7628783855549655
73,8,manhattan,weights_sqr4,0.7537522258967184
74,8,manhattan,weights_sqr8,0.7167331612297583
