,k,metric,weights,valeur
0,1,manhattan,uniform,0.532741398446171
1,1,manhattan,distance,0.532741398446171
2,1,manhattan,weights_sqr,0.532741398446171
3,1,manhattan,weights_sqr4,0.532741398446171
4,1,manhattan,weights_sqr8,0.532741398446171
5,1,nan_euclidean,uniform,0.5320105410013951
6,1,nan_euclidean,distance,0.5320105410013951
7,1,nan_euclidean,weights_sqr,0.5320105410013951
8,1,nan_euclidean,weights_sqr4,0.5320105410013951
9,1,nan_euclidean,weights_sqr8,0.5320105410013951
10,1,minkowski,uniform,0.5320105410013951
11,1,minkowski,distance,0.5320105410013951
12,1,minkowski,weights_sqr,0.5320105410013951
13,1,minkowski,weights_sqr4,0.5320105410013951
14,1,minkowski,weights_sqr8,0.5320105410013951
15,1,chebyshev,uniform,0.4792831541218638
16,1,chebyshev,distance,0.4792831541218638
17,1,chebyshev,weights_sqr,0.4792831541218638
18,1,chebyshev,weights_sqr4,0.4792831541218638
19,1,chebyshev,weights_sqr8,0.4792831541218638
20,1,cosine,uniform,0.5339640198511166
21,1,cosine,distance,0.5339640198511166
22,1,cosine,weights_sqr,0.5339640198511166
23,1,cosine,weights_sqr4,0.5339640198511166
24,1,cosine,weights_sqr8,0.5339640198511166
25,1,euclidean,uniform,0.5320105410013951
26,1,euclidean,distance,0.5320105410013951
27,1,euclidean,weights_sqr,0.5320105410013951
28,1,euclidean,weights_sqr4,0.5320105410013951
29,1,euclidean,weights_sqr8,0.5320105410013951
30,2,manhattan,uniform,0.7783271528636176
31,2,manhattan,distance,0.532741398446171
32,2,manhattan,weights_sqr,0.532741398446171
33,2,manhattan,weights_sqr4,0.532741398446171
34,2,manhattan,weights_sqr8,0.532741398446171
35,2,nan_euclidean,uniform,0.7840236686390533
36,2,nan_euclidean,distance,0.5320105410013951
37,2,nan_euclidean,weights_sqr,0.5320105410013951
38,2,nan_euclidean,weights_sqr4,0.5320105410013951
39,2,nan_euclidean,weights_sqr8,0.5320105410013951
40,2,minkowski,uniform,0.7840236686390533
41,2,minkowski,distance,0.5320105410013951
42,2,minkowski,weights_sqr,0.5320105410013951
43,2,minkowski,weights_sqr4,0.5320105410013951
44,2,minkowski,weights_sqr8,0.5320105410013951
45,2,chebyshev,uniform,0.6932758000719166
46,2,chebyshev,distance,0.4792831541218638
47,2,chebyshev,weights_sqr,0.4792831541218638
48,2,chebyshev,weights_sqr4,0.4792831541218638
49,2,chebyshev,weights_sqr8,0.4792831541218638
50,2,cosine,uniform,0.7691696464044497
51,2,cosine,distance,0.5339640198511166
52,2,cosine,weights_sqr,0.5339640198511166
53,2,cosine,weights_sqr4,0.5339640198511166
54,2,cosine,weights_sqr8,0.5339640198511166
55,2,euclidean,uniform,0.7840236686390533
56,2,euclidean,distance,0.5320105410013951
57,2,euclidean,weights_sqr,0.5320105410013951
58,2,euclidean,weights_sqr4,0.5320105410013951
59,2,euclidean,weights_sqr8,0.5320105410013951
60,3,manhattan,uniform,0.6083968047557125
61,3,manhattan,distance,0.6085825747724317
62,3,manhattan,weights_sqr,0.6130054033910938
63,3,manhattan,weights_sqr4,0.6019452449567724
64,3,manhattan,weights_sqr8,0.5743047261559461
65,3,nan_euclidean,uniform,0.6086166151608798
66,3,nan_euclidean,distance,0.6087272727272727
67,3,nan_euclidean,weights_sqr,0.6170135085797737
68,3,nan_euclidean,weights_sqr4,0.6116435924742634
69,3,nan_euclidean,weights_sqr8,0.5761944677284158
70,3,minkowski,uniform,0.6086166151608798
71,3,minkowski,distance,0.6087272727272727
72,3,minkowski,weights_sqr,0.6170135085797737
73,3,minkowski,weights_sqr4,0.6116435924742634
74,3,minkowski,weights_sqr8,0.5761944677284158
75,3,chebyshev,uniform,0.5647756138865369
76,3,chebyshev,distance,0.5659610499576629
77,3,chebyshev,weights_sqr,0.56655981103425
78,3,chebyshev,weights_sqr4,0.546132641478839
79,3,chebyshev,weights_sqr8,0.5162582832485745
80,3,cosine,uniform,0.6058981233243967
81,3,cosine,distance,0.6113794954374665
82,3,cosine,weights_sqr,0.6071927374301676
83,3,cosine,weights_sqr4,0.5779770802192327
84,3,cosine,weights_sqr8,0.5526693227091634
85,3,euclidean,uniform,0.6086166151608798
86,3,euclidean,distance,0.6087272727272727
87,3,euclidean,weights_sqr,0.6170135085797737
88,3,euclidean,weights_sqr4,0.6116435924742634
89,3,euclidean,weights_sqr8,0.5761944677284158
90,4,manhattan,uniform,0.7549357568160451
91,4,manhattan,distance,0.6406400616926933
92,4,manhattan,weights_sqr,0.6413274165541193
93,4,manhattan,weights_sqr4,0.6315391879131256
94,4,manhattan,weights_sqr8,0.5908295414770739
95,4,nan_euclidean,uniform,0.7395391146149182
96,4,nan_euclidean,distance,0.6366349561648946
97,4,nan_euclidean,weights_sqr,0.6369901285155523
98,4,nan_euclidean,weights_sqr4,0.6269609631521342
99,4,nan_euclidean,weights_sqr8,0.5894322845417237
100,4,minkowski,uniform,0.7395391146149182
101,4,minkowski,distance,0.6366349561648946
102,4,minkowski,weights_sqr,0.6369901285155523
103,4,minkowski,weights_sqr4,0.6269609631521342
104,4,minkowski,weights_sqr8,0.5894322845417237
105,4,chebyshev,uniform,0.6819966348850253
106,4,chebyshev,distance,0.5806507144086762
107,4,chebyshev,weights_sqr,0.5820869864191164
108,4,chebyshev,weights_sqr4,0.564936141980428
109,4,chebyshev,weights_sqr8,0.5300015666614445
110,4,cosine,uniform,0.7326674500587544
111,4,cosine,distance,0.6326227988878591
112,4,cosine,weights_sqr,0.6249773098565983
113,4,cosine,weights_sqr4,0.5927887901572112
114,4,cosine,weights_sqr8,0.5600515879413187
115,4,euclidean,uniform,0.7395391146149182
116,4,euclidean,distance,0.6366349561648946
117,4,euclidean,weights_sqr,0.6369901285155523
118,4,euclidean,weights_sqr4,0.6269609631521342
119,4,euclidean,weights_sqr8,0.5894322845417237
120,5,manhattan,uniform,0.6432902182700081
121,5,manhattan,distance,0.6436223974125733
122,5,manhattan,weights_sqr,0.6517332252179201
123,5,manhattan,weights_sqr4,0.6479342079498728
124,5,manhattan,weights_sqr8,0.6025663874532169
125,5,nan_euclidean,uniform,0.6315274789751614
126,5,nan_euclidean,distance,0.6316820050910515
127,5,nan_euclidean,weights_sqr,0.6444050433412135
128,5,nan_euclidean,weights_sqr4,0.6481978527607362
129,5,nan_euclidean,weights_sqr8,0.6008388675288361
130,5,minkowski,uniform,0.6315274789751614
131,5,minkowski,distance,0.6316820050910515
132,5,minkowski,weights_sqr,0.6444050433412135
133,5,minkowski,weights_sqr4,0.6481978527607362
134,5,minkowski,weights_sqr8,0.6008388675288361
135,5,chebyshev,uniform,0.59861339171684
136,5,chebyshev,distance,0.6007681053401609
137,5,chebyshev,weights_sqr,0.6067190067555231
138,5,chebyshev,weights_sqr4,0.589690003483107
139,5,chebyshev,weights_sqr8,0.5412065930548888
140,5,cosine,uniform,0.6199095022624435
141,5,cosine,distance,0.633625619519634
142,5,cosine,weights_sqr,0.6353683429207645
143,5,cosine,weights_sqr4,0.6020671834625323
144,5,cosine,weights_sqr8,0.5631194151096669
145,5,euclidean,uniform,0.6315274789751614
146,5,euclidean,distance,0.6316820050910515
147,5,euclidean,weights_sqr,0.6444050433412135
148,5,euclidean,weights_sqr4,0.6481978527607362
149,5,euclidean,weights_sqr8,0.6008388675288361
150,6,manhattan,uniform,0.7361874457622216
151,6,manhattan,distance,0.6692339716902581
152,6,manhattan,weights_sqr,0.668538157621127
153,6,manhattan,weights_sqr4,0.6648517846339987
154,6,manhattan,weights_sqr8,0.6080811741257475
155,6,nan_euclidean,uniform,0.7274725274725274
156,6,nan_euclidean,distance,0.6611636802899135
157,6,nan_euclidean,weights_sqr,0.6606
158,6,nan_euclidean,weights_sqr4,0.6580179477175185
159,6,nan_euclidean,weights_sqr8,0.6089276187088742
160,6,minkowski,uniform,0.7274725274725274
161,6,minkowski,distance,0.6611636802899135
162,6,minkowski,weights_sqr,0.6606
163,6,minkowski,weights_sqr4,0.6580179477175185
164,6,minkowski,weights_sqr8,0.6089276187088742
165,6,chebyshev,uniform,0.6928478543563069
166,6,chebyshev,distance,0.6162172078517704
167,6,chebyshev,weights_sqr,0.6208609271523179
168,6,chebyshev,weights_sqr4,0.5987676056338028
169,6,chebyshev,weights_sqr8,0.5476421188630491
170,6,cosine,uniform,0.7101063829787234
171,6,cosine,distance,0.6506769825918762
