,k,metric,weights,valeur
0,1,manhattan,uniform,0.5887521968365553
1,1,manhattan,distance,0.5887521968365553
2,1,manhattan,weights_sqr,0.5887521968365553
3,1,manhattan,weights_sqr4,0.5887521968365553
4,1,manhattan,weights_sqr8,0.5887521968365553
5,1,nan_euclidean,uniform,0.5785575048732944
6,1,nan_euclidean,distance,0.5785575048732944
7,1,nan_euclidean,weights_sqr,0.5785575048732944
8,1,nan_euclidean,weights_sqr4,0.5785575048732944
9,1,nan_euclidean,weights_sqr8,0.5785575048732944
10,1,minkowski,uniform,0.5785575048732944
11,1,minkowski,distance,0.5785575048732944
12,1,minkowski,weights_sqr,0.5785575048732944
13,1,minkowski,weights_sqr4,0.5785575048732944
14,1,minkowski,weights_sqr8,0.5785575048732944
15,1,chebyshev,uniform,0.5675675675675675
16,1,chebyshev,distance,0.5675675675675675
17,1,chebyshev,weights_sqr,0.5675675675675675
18,1,chebyshev,weights_sqr4,0.5675675675675675
19,1,chebyshev,weights_sqr8,0.5675675675675675
20,1,cosine,uniform,0.5792552154416065
21,1,cosine,distance,0.5792552154416065
22,1,cosine,weights_sqr,0.5792552154416065
23,1,cosine,weights_sqr4,0.5792552154416065
24,1,cosine,weights_sqr8,0.5792552154416065
25,1,euclidean,uniform,0.5785575048732944
26,1,euclidean,distance,0.5785575048732944
27,1,euclidean,weights_sqr,0.5785575048732944
28,1,euclidean,weights_sqr4,0.5785575048732944
29,1,euclidean,weights_sqr8,0.5785575048732944
30,2,manhattan,uniform,0.7508986340762042
31,2,manhattan,distance,0.5887521968365553
32,2,manhattan,weights_sqr,0.5887521968365553
33,2,manhattan,weights_sqr4,0.5887521968365553
34,2,manhattan,weights_sqr8,0.5887521968365553
35,2,nan_euclidean,uniform,0.7341954022988506
36,2,nan_euclidean,distance,0.5785575048732944
37,2,nan_euclidean,weights_sqr,0.5785575048732944
38,2,nan_euclidean,weights_sqr4,0.5785575048732944
39,2,nan_euclidean,weights_sqr8,0.5785575048732944
40,2,minkowski,uniform,0.7341954022988506
41,2,minkowski,distance,0.5785575048732944
42,2,minkowski,weights_sqr,0.5785575048732944
43,2,minkowski,weights_sqr4,0.5785575048732944
44,2,minkowski,weights_sqr8,0.5785575048732944
45,2,chebyshev,uniform,0.7299349240780911
46,2,chebyshev,distance,0.5675675675675675
47,2,chebyshev,weights_sqr,0.5675675675675675
48,2,chebyshev,weights_sqr4,0.5675675675675675
49,2,chebyshev,weights_sqr8,0.5675675675675675
50,2,cosine,uniform,0.7333333333333333
51,2,cosine,distance,0.5792552154416065
52,2,cosine,weights_sqr,0.5792552154416065
53,2,cosine,weights_sqr4,0.5792552154416065
54,2,cosine,weights_sqr8,0.5792552154416065
55,2,euclidean,uniform,0.7341954022988506
56,2,euclidean,distance,0.5785575048732944
57,2,euclidean,weights_sqr,0.5785575048732944
58,2,euclidean,weights_sqr4,0.5785575048732944
59,2,euclidean,weights_sqr8,0.5785575048732944
60,3,manhattan,uniform,0.6654462242562929
61,3,manhattan,distance,0.6665907019143118
62,3,manhattan,weights_sqr,0.6617117117117117
