,k,metric,weights,valeur
0,1,manhattan,uniform,0.6024071807425541
1,1,manhattan,distance,0.6024071807425541
2,1,manhattan,weights_sqr,0.6024071807425541
3,1,manhattan,weights_sqr4,0.6024071807425541
4,1,manhattan,weights_sqr8,0.6024071807425541
5,1,nan_euclidean,uniform,0.574235807860262
6,1,nan_euclidean,distance,0.574235807860262
7,1,nan_euclidean,weights_sqr,0.574235807860262
8,1,nan_euclidean,weights_sqr4,0.574235807860262
9,1,nan_euclidean,weights_sqr8,0.574235807860262
10,1,minkowski,uniform,0.574235807860262
11,1,minkowski,distance,0.574235807860262
12,1,minkowski,weights_sqr,0.574235807860262
13,1,minkowski,weights_sqr4,0.574235807860262
14,1,minkowski,weights_sqr8,0.574235807860262
15,1,chebyshev,uniform,0.5438042620363063
16,1,chebyshev,distance,0.5438042620363063
17,1,chebyshev,weights_sqr,0.5438042620363063
18,1,chebyshev,weights_sqr4,0.5438042620363063
19,1,chebyshev,weights_sqr8,0.5438042620363063
20,1,cosine,uniform,0.5619364954919639
21,1,cosine,distance,0.5619364954919639
22,1,cosine,weights_sqr,0.5619364954919639
23,1,cosine,weights_sqr4,0.5619364954919639
24,1,cosine,weights_sqr8,0.5619364954919639
25,1,euclidean,uniform,0.574235807860262
26,1,euclidean,distance,0.574235807860262
27,1,euclidean,weights_sqr,0.574235807860262
28,1,euclidean,weights_sqr4,0.574235807860262
29,1,euclidean,weights_sqr8,0.574235807860262
30,2,manhattan,uniform,0.7598634294385432
31,2,manhattan,distance,0.6024071807425541
32,2,manhattan,weights_sqr,0.6024071807425541
33,2,manhattan,weights_sqr4,0.6024071807425541
34,2,manhattan,weights_sqr8,0.6024071807425541
35,2,nan_euclidean,uniform,0.7470111839568068
36,2,nan_euclidean,distance,0.574235807860262
37,2,nan_euclidean,weights_sqr,0.574235807860262
38,2,nan_euclidean,weights_sqr4,0.574235807860262
39,2,nan_euclidean,weights_sqr8,0.574235807860262
40,2,minkowski,uniform,0.7470111839568068
41,2,minkowski,distance,0.574235807860262
42,2,minkowski,weights_sqr,0.574235807860262
43,2,minkowski,weights_sqr4,0.574235807860262
44,2,minkowski,weights_sqr8,0.574235807860262
45,2,chebyshev,uniform,0.7205188679245284
46,2,chebyshev,distance,0.5495967741935484
47,2,chebyshev,weights_sqr,0.5495967741935484
48,2,chebyshev,weights_sqr4,0.5495967741935484
49,2,chebyshev,weights_sqr8,0.5495967741935484
50,2,cosine,uniform,0.72289613343442
51,2,cosine,distance,0.5619364954919639
52,2,cosine,weights_sqr,0.5619364954919639
53,2,cosine,weights_sqr4,0.5619364954919639
54,2,cosine,weights_sqr8,0.5619364954919639
55,2,euclidean,uniform,0.7470111839568068
56,2,euclidean,distance,0.574235807860262
57,2,euclidean,weights_sqr,0.574235807860262
58,2,euclidean,weights_sqr4,0.574235807860262
59,2,euclidean,weights_sqr8,0.574235807860262
60,3,manhattan,uniform,0.684223242329065
61,3,manhattan,distance,0.6845151953690304
62,3,manhattan,weights_sqr,0.6850356294536817
63,3,manhattan,weights_sqr4,0.6688176999308596
64,3,manhattan,weights_sqr8,0.6430762489044698
65,3,nan_euclidean,uniform,0.6617011052378664
66,3,nan_euclidean,distance,0.6624310716854471
67,3,nan_euclidean,weights_sqr,0.6622264509990485
68,3,nan_euclidean,weights_sqr4,0.6426930147058824
69,3,nan_euclidean,weights_sqr8,0.6150326797385621
70,3,minkowski,uniform,0.6617011052378664
71,3,minkowski,distance,0.6624310716854471
72,3,minkowski,weights_sqr,0.6622264509990485
73,3,minkowski,weights_sqr4,0.6426930147058824
74,3,minkowski,weights_sqr8,0.6150326797385621
75,3,chebyshev,uniform,0.6454106280193237
76,3,chebyshev,distance,0.6458937198067632
77,3,chebyshev,weights_sqr,0.6411483253588517
78,3,chebyshev,weights_sqr4,0.6248269497000462
79,3,chebyshev,weights_sqr8,0.588697359807986
80,3,cosine,uniform,0.6427583025830258
81,3,cosine,distance,0.642987665600731
82,3,cosine,weights_sqr,0.6293675364882795
83,3,cosine,weights_sqr4,0.5996228786926462
84,3,cosine,weights_sqr8,0.5780299959464937
85,3,euclidean,uniform,0.6617011052378664
86,3,euclidean,distance,0.6624310716854471
87,3,euclidean,weights_sqr,0.6622264509990485
88,3,euclidean,weights_sqr4,0.6426930147058824
89,3,euclidean,weights_sqr8,0.6150326797385621
90,4,manhattan,uniform,0.7777015437392796
91,4,manhattan,distance,0.6932814021421616
92,4,manhattan,weights_sqr,0.6926060606060606
93,4,manhattan,weights_sqr4,0.6854171590640511
94,4,manhattan,weights_sqr8,0.6566696508504923
95,4,nan_euclidean,uniform,0.7577724632729758
96,4,nan_euclidean,distance,0.6697954271961493
97,4,nan_euclidean,weights_sqr,0.67003367003367
98,4,nan_euclidean,weights_sqr4,0.6626391850272447
99,4,nan_euclidean,weights_sqr8,0.6312961719274681
100,4,minkowski,uniform,0.7577724632729758
101,4,minkowski,distance,0.6697954271961493
102,4,minkowski,weights_sqr,0.67003367003367
103,4,minkowski,weights_sqr4,0.6626391850272447
104,4,minkowski,weights_sqr8,0.6312961719274681
105,4,chebyshev,uniform,0.74283741801864
106,4,chebyshev,distance,0.6422569027611045
107,4,chebyshev,weights_sqr,0.6428571428571429
108,4,chebyshev,weights_sqr4,0.6324806383478057
109,4,chebyshev,weights_sqr8,0.6004459308807135
110,4,cosine,uniform,0.7391449565798264
111,4,cosine,distance,0.6492158671586716
112,4,cosine,weights_sqr,0.6404697380307136
113,4,cosine,weights_sqr4,0.6177105831533477
114,4,cosine,weights_sqr8,0.5877138734281592
115,4,euclidean,uniform,0.7577724632729758
116,4,euclidean,distance,0.6697954271961493
117,4,euclidean,weights_sqr,0.67003367003367
118,4,euclidean,weights_sqr4,0.6626391850272447
119,4,euclidean,weights_sqr8,0.6312961719274681
120,5,manhattan,uniform,0.7260021097046413
121,5,manhattan,distance,0.7273205364186169
122,5,manhattan,weights_sqr,0.7256317689530686
123,5,manhattan,weights_sqr4,0.7104804580532735
124,5,manhattan,weights_sqr8,0.6715765247410816
125,5,nan_euclidean,uniform,0.7050811943425878
126,5,nan_euclidean,distance,0.7060669456066946
127,5,nan_euclidean,weights_sqr,0.704210798243348
128,5,nan_euclidean,weights_sqr4,0.6877332669818362
129,5,nan_euclidean,weights_sqr8,0.64247990815155
130,5,minkowski,uniform,0.7050811943425878
131,5,minkowski,distance,0.7060669456066946
132,5,minkowski,weights_sqr,0.704210798243348
133,5,minkowski,weights_sqr4,0.6877332669818362
134,5,minkowski,weights_sqr8,0.64247990815155
135,5,chebyshev,uniform,0.6844975331082835
136,5,chebyshev,distance,0.6848390446521287
137,5,chebyshev,weights_sqr,0.6808675445391169
138,5,chebyshev,weights_sqr4,0.6590570719602977
139,5,chebyshev,weights_sqr8,0.6177615014877547
140,5,cosine,uniform,0.6788211788211789
141,5,cosine,distance,0.6786417322834646
142,5,cosine,weights_sqr,0.6658773383850344
143,5,cosine,weights_sqr4,0.6347748151467623
144,5,cosine,weights_sqr8,0.595691277975319
145,5,euclidean,uniform,0.7050811943425878
146,5,euclidean,distance,0.7060669456066946
147,5,euclidean,weights_sqr,0.704210798243348
148,5,euclidean,weights_sqr4,0.6877332669818362
149,5,euclidean,weights_sqr8,0.64247990815155
150,6,manhattan,uniform,0.7851239669421488
151,6,manhattan,distance,0.7285564853556485
152,6,manhattan,weights_sqr,0.7290205248116394
153,6,manhattan,weights_sqr4,0.7198189134808853
154,6,manhattan,weights_sqr8,0.6809901914992994
155,6,nan_euclidean,uniform,0.7708822542770882
156,6,nan_euclidean,distance,0.7081589958158996
157,6,nan_euclidean,weights_sqr,0.7074634655532359
158,6,nan_euclidean,weights_sqr4,0.6991849210392257
159,6,nan_euclidean,weights_sqr8,0.6580629883968743
160,6,minkowski,uniform,0.7708822542770882
161,6,minkowski,distance,0.7081589958158996
162,6,minkowski,weights_sqr,0.7074634655532359
163,6,minkowski,weights_sqr4,0.6991849210392257
164,6,minkowski,weights_sqr8,0.6580629883968743
165,6,chebyshev,uniform,0.7510858670230538
166,6,chebyshev,distance,0.6831991690470007
167,6,chebyshev,weights_sqr,0.6836655449132798
168,6,chebyshev,weights_sqr4,0.6702020202020202
169,6,chebyshev,weights_sqr8,0.626820103334899
170,6,cosine,uniform,0.7352380952380952
171,6,cosine,distance,0.6794270190170413
172,6,cosine,weights_sqr,0.6683562635771181
173,6,cosine,weights_sqr4,0.6390720946099613
174,6,cosine,weights_sqr8,0.5983986514959966
175,6,euclidean,uniform,0.7708822542770882
176,6,euclidean,distance,0.7081589958158996
177,6,euclidean,weights_sqr,0.7074634655532359
178,6,euclidean,weights_sqr4,0.6991849210392257
179,6,euclidean,weights_sqr8,0.6580629883968743
180,7,manhattan,uniform,0.7464403066812705
181,7,manhattan,distance,0.748974569319114
182,7,manhattan,weights_sqr,0.7483801295896328
183,7,manhattan,weights_sqr4,0.7297367062467733
184,7,manhattan,weights_sqr8,0.688212927756654
185,7,nan_euclidean,uniform,0.7224043715846995
186,7,nan_euclidean,distance,0.7233752048061168
187,7,nan_euclidean,weights_sqr,0.7238403451995685
188,7,nan_euclidean,weights_sqr4,0.7067941100490829
189,7,nan_euclidean,weights_sqr8,0.6635625596943648
190,7,minkowski,uniform,0.7224043715846995
191,7,minkowski,distance,0.7233752048061168
192,7,minkowski,weights_sqr,0.7238403451995685
193,7,minkowski,weights_sqr4,0.7067941100490829
194,7,minkowski,weights_sqr8,0.6635625596943648
195,7,chebyshev,uniform,0.7123700054734537
196,7,chebyshev,distance,0.7131910235358512
197,7,chebyshev,weights_sqr,0.7113038763892654
198,7,chebyshev,weights_sqr4,0.686431900569653
199,7,chebyshev,weights_sqr8,0.6383029721955896
200,7,cosine,uniform,0.7010602534264287
201,7,cosine,distance,0.7003073770491803
202,7,cosine,weights_sqr,0.6875155125341276
203,7,cosine,weights_sqr4,0.646909594095941
204,7,cosine,weights_sqr8,0.6010570824524313
205,7,euclidean,uniform,0.7224043715846995
206,7,euclidean,distance,0.7233752048061168
207,7,euclidean,weights_sqr,0.7238403451995685
208,7,euclidean,weights_sqr4,0.7067941100490829
209,7,euclidean,weights_sqr8,0.6635625596943648
210,8,manhattan,uniform,0.7947871989442429
211,8,manhattan,distance,0.7495204165524801
212,8,manhattan,weights_sqr,0.7498639085465433
213,8,manhattan,weights_sqr4,0.7398586757393353
214,8,manhattan,weights_sqr8,0.6967351874244256
215,8,nan_euclidean,uniform,0.7703583061889251
216,8,nan_euclidean,distance,0.7250204192757963
217,8,nan_euclidean,weights_sqr,0.7255965292841648
218,8,nan_euclidean,weights_sqr4,0.7176656151419558
219,8,nan_euclidean,weights_sqr8,0.6708615682478218
220,8,minkowski,uniform,0.7703583061889251
221,8,minkowski,distance,0.7250204192757963
222,8,minkowski,weights_sqr,0.7255965292841648
223,8,minkowski,weights_sqr4,0.7176656151419558
224,8,minkowski,weights_sqr8,0.6708615682478218
225,8,chebyshev,uniform,0.7547232350016573
226,8,chebyshev,distance,0.7113543091655267
227,8,chebyshev,weights_sqr,0.7114754098360656
228,8,chebyshev,weights_sqr4,0.7002652519893899
229,8,chebyshev,weights_sqr8,0.6456921587608906
230,8,cosine,uniform,0.7426081543728602
231,8,cosine,distance,0.7049729451172378
232,8,cosine,weights_sqr,0.6941502773575391
233,8,cosine,weights_sqr4,0.6524888992755317
234,8,cosine,weights_sqr8,0.6022510087067318
235,8,euclidean,uniform,0.7703583061889251
236,8,euclidean,distance,0.7250204192757963
237,8,euclidean,weights_sqr,0.7255965292841648
238,8,euclidean,weights_sqr4,0.7176656151419558
239,8,euclidean,weights_sqr8,0.6708615682478218
240,9,manhattan,uniform,0.760715299460687
241,9,manhattan,distance,0.7624575311438279
242,9,manhattan,weights_sqr,0.764821029082774
243,9,manhattan,weights_sqr4,0.7533440342429106
244,9,manhattan,weights_sqr8,0.7027886497064579
245,9,nan_euclidean,uniform,0.7323628219484882
246,9,nan_euclidean,distance,0.7336500838457238
247,9,nan_euclidean,weights_sqr,0.7329813837176994
248,9,nan_euclidean,weights_sqr4,0.7224740069314849
249,9,nan_euclidean,weights_sqr8,0.6759598923942284
250,9,minkowski,uniform,0.7323628219484882
251,9,minkowski,distance,0.7336500838457238
252,9,minkowski,weights_sqr,0.7329813837176994
253,9,minkowski,weights_sqr4,0.7224740069314849
254,9,minkowski,weights_sqr8,0.6759598923942284
255,9,chebyshev,uniform,0.7215796897038081
256,9,chebyshev,distance,0.7218617771509168
257,9,chebyshev,weights_sqr,0.7191608391608392
258,9,chebyshev,weights_sqr4,0.7056775575790037
259,9,chebyshev,weights_sqr8,0.64925190090753
260,9,cosine,uniform,0.7099498548429665
261,9,cosine,distance,0.7110296044013623
262,9,cosine,weights_sqr,0.703020993343574
263,9,cosine,weights_sqr4,0.6572703782006107
264,9,cosine,weights_sqr8,0.6052968816744981
265,9,euclidean,uniform,0.7323628219484882
266,9,euclidean,distance,0.7336500838457238
267,9,euclidean,weights_sqr,0.7329813837176994
268,9,euclidean,weights_sqr4,0.7224740069314849
269,9,euclidean,weights_sqr8,0.6759598923942284
270,10,manhattan,uniform,0.7957059206245933
271,10,manhattan,distance,0.7632986208837602
272,10,manhattan,weights_sqr,0.76597533632287
273,10,manhattan,weights_sqr4,0.7575101488497971
274,10,manhattan,weights_sqr8,0.7090458488228005
275,10,nan_euclidean,uniform,0.7697283311772316
276,10,nan_euclidean,distance,0.7394228075091062
277,10,nan_euclidean,weights_sqr,0.7395309882747069
278,10,nan_euclidean,weights_sqr4,0.7314764737696052
279,10,nan_euclidean,weights_sqr8,0.6797932562146197
280,10,minkowski,uniform,0.7697283311772316
281,10,minkowski,distance,0.7394228075091062
282,10,minkowski,weights_sqr,0.7395309882747069
283,10,minkowski,weights_sqr4,0.7314764737696052
284,10,minkowski,weights_sqr8,0.6797932562146197
285,10,chebyshev,uniform,0.7589139679424273
286,10,chebyshev,distance,0.7223005356639414
287,10,chebyshev,weights_sqr,0.7225824640541303
288,10,chebyshev,weights_sqr4,0.7126436781609196
289,10,chebyshev,weights_sqr8,0.6535996055226825
290,10,cosine,uniform,0.7425954198473282
291,10,cosine,distance,0.7127100840336135
292,10,cosine,weights_sqr,0.703076923076923
293,10,cosine,weights_sqr4,0.6623376623376623
294,10,cosine,weights_sqr8,0.6065854180029934
295,10,euclidean,uniform,0.7697283311772316
296,10,euclidean,distance,0.7394228075091062
297,10,euclidean,weights_sqr,0.7395309882747069
298,10,euclidean,weights_sqr4,0.7314764737696052
299,10,euclidean,weights_sqr8,0.6797932562146197
300,11,manhattan,uniform,0.7686936281640966
301,11,manhattan,distance,0.7705677867902665
302,11,manhattan,weights_sqr,0.7708333333333334
303,11,manhattan,weights_sqr4,0.7628696604600219
304,11,manhattan,weights_sqr8,0.715071232191952
305,11,nan_euclidean,uniform,0.7429627523457493
306,11,nan_euclidean,distance,0.7441661923733637
307,11,nan_euclidean,weights_sqr,0.7450537026568683
308,11,nan_euclidean,weights_sqr4,0.732841126606508
309,11,nan_euclidean,weights_sqr8,0.6857427220701667
310,11,minkowski,uniform,0.7429627523457493
311,11,minkowski,distance,0.7441661923733637
312,11,minkowski,weights_sqr,0.7450537026568683
313,11,minkowski,weights_sqr4,0.732841126606508
314,11,minkowski,weights_sqr8,0.6857427220701667
315,11,chebyshev,uniform,0.7320765495572693
316,11,chebyshev,distance,0.7318881916714204
317,11,chebyshev,weights_sqr,0.7276087574637475
318,11,chebyshev,weights_sqr4,0.7126468178093417
319,11,chebyshev,weights_sqr8,0.6579012651947408
320,11,cosine,uniform,0.7156914893617021
321,11,cosine,distance,0.7174200370076659
322,11,cosine,weights_sqr,0.7150967741935483
323,11,cosine,weights_sqr4,0.6676149834044571
324,11,cosine,weights_sqr8,0.6074566102421256
325,11,euclidean,uniform,0.7429627523457493
326,11,euclidean,distance,0.7441661923733637
327,11,euclidean,weights_sqr,0.7450537026568683
328,11,euclidean,weights_sqr4,0.732841126606508
329,11,euclidean,weights_sqr8,0.6857427220701667
330,12,manhattan,uniform,0.7977124183006536
331,12,manhattan,distance,0.77832799300903
332,12,manhattan,weights_sqr,0.778387749205432
333,12,manhattan,weights_sqr4,0.7668881506090809
334,12,manhattan,weights_sqr8,0.7185222417692888
335,12,nan_euclidean,uniform,0.7724952137843012
336,12,nan_euclidean,distance,0.74427804464538
337,12,nan_euclidean,weights_sqr,0.7445008460236887
338,12,nan_euclidean,weights_sqr4,0.7375925418151905
339,12,nan_euclidean,weights_sqr8,0.68993993993994
340,12,minkowski,uniform,0.7724952137843012
341,12,minkowski,distance,0.74427804464538
342,12,minkowski,weights_sqr,0.7445008460236887
343,12,minkowski,weights_sqr4,0.7375925418151905
344,12,minkowski,weights_sqr8,0.68993993993994
345,12,chebyshev,uniform,0.7610042386697098
346,12,chebyshev,distance,0.7299311926605505
347,12,chebyshev,weights_sqr,0.7296137339055794
348,12,chebyshev,weights_sqr4,0.7203791469194313
349,12,chebyshev,weights_sqr8,0.6619119119119119
350,12,cosine,uniform,0.7468544038346315
351,12,cosine,distance,0.7217827004219409
352,12,cosine,weights_sqr,0.7157320872274143
353,12,cosine,weights_sqr4,0.6697729988052569
354,12,cosine,weights_sqr8,0.6084440634376339
355,12,euclidean,uniform,0.7724952137843012
356,12,euclidean,distance,0.74427804464538
357,12,euclidean,weights_sqr,0.7445008460236887
358,12,euclidean,weights_sqr4,0.7375925418151905
359,12,euclidean,weights_sqr8,0.68993993993994
360,13,manhattan,uniform,0.7720998531571219
361,13,manhattan,distance,0.7742029833284586
362,13,manhattan,weights_sqr,0.7746316093614563
363,13,manhattan,weights_sqr4,0.7676486937187327
364,13,manhattan,weights_sqr8,0.7201011378002529
365,13,nan_euclidean,uniform,0.7480564353584797
366,13,nan_euclidean,distance,0.748778384593274
367,13,nan_euclidean,weights_sqr,0.7522883295194508
368,13,nan_euclidean,weights_sqr4,0.7398891966759003
369,13,nan_euclidean,weights_sqr8,0.6932592779601111
370,13,minkowski,uniform,0.7480564353584797
371,13,minkowski,distance,0.748778384593274
372,13,minkowski,weights_sqr,0.7522883295194508
373,13,minkowski,weights_sqr4,0.7398891966759003
374,13,minkowski,weights_sqr8,0.6932592779601111
375,13,chebyshev,uniform,0.7352597781669585
376,13,chebyshev,distance,0.7357226107226107
377,13,chebyshev,weights_sqr,0.7331987308912604
378,13,chebyshev,weights_sqr4,0.7243895593600899
379,13,chebyshev,weights_sqr8,0.6649899396378269
380,13,cosine,uniform,0.7276906435911303
381,13,cosine,distance,0.7284182305630027
382,13,cosine,weights_sqr,0.7184313725490196
383,13,cosine,weights_sqr4,0.6738609112709832
384,13,cosine,weights_sqr8,0.609976349172221
385,13,euclidean,uniform,0.7480564353584797
386,13,euclidean,distance,0.748778384593274
387,13,euclidean,weights_sqr,0.7522883295194508
388,13,euclidean,weights_sqr4,0.7398891966759003
389,13,euclidean,weights_sqr8,0.6932592779601111
390,14,manhattan,uniform,0.7981113643764246
391,14,manhattan,distance,0.7768959435626103
392,14,manhattan,weights_sqr,0.7782621331008428
393,14,manhattan,weights_sqr4,0.7715250422059651
394,14,manhattan,weights_sqr8,0.7221657346212507
395,14,nan_euclidean,uniform,0.774286630330234
396,14,nan_euclidean,distance,0.75
397,14,nan_euclidean,weights_sqr,0.7520803443328551
398,14,nan_euclidean,weights_sqr4,0.7453277545327754
399,14,nan_euclidean,weights_sqr8,0.6966320587490504
400,14,minkowski,uniform,0.774286630330234
401,14,minkowski,distance,0.75
402,14,minkowski,weights_sqr,0.7520803443328551
403,14,minkowski,weights_sqr4,0.7453277545327754
404,14,minkowski,weights_sqr8,0.6966320587490504
405,14,chebyshev,uniform,0.7646098596147568
406,14,chebyshev,distance,0.7377336448598131
407,14,chebyshev,weights_sqr,0.7386231038506418
408,14,chebyshev,weights_sqr4,0.7290486976217441
409,14,chebyshev,weights_sqr8,0.6664152840623428
410,14,cosine,uniform,0.7513448894202033
411,14,cosine,distance,0.7321189391909992
412,14,cosine,weights_sqr,0.7230244158571804
413,14,cosine,weights_sqr4,0.677115987460815
414,14,cosine,weights_sqr8,0.6102277610657499
415,14,euclidean,uniform,0.774286630330234
416,14,euclidean,distance,0.75
417,14,euclidean,weights_sqr,0.7520803443328551
418,14,euclidean,weights_sqr4,0.7453277545327754
419,14,euclidean,weights_sqr8,0.6966320587490504
420,15,manhattan,uniform,0.7777777777777778
421,15,manhattan,distance,0.7797866034380557
422,15,manhattan,weights_sqr,0.7782646801051709
423,15,manhattan,weights_sqr4,0.7699635752311572
424,15,manhattan,weights_sqr8,0.7262727040163725
425,15,nan_euclidean,uniform,0.7546565774155995
426,15,nan_euclidean,distance,0.7554458321231484
427,15,nan_euclidean,weights_sqr,0.7579525737420474
428,15,nan_euclidean,weights_sqr4,0.7485907553551296
429,15,nan_euclidean,weights_sqr8,0.698441093789931
430,15,minkowski,uniform,0.7546565774155995
431,15,minkowski,distance,0.7554458321231484
432,15,minkowski,weights_sqr,0.7579525737420474
433,15,minkowski,weights_sqr4,0.7485907553551296
434,15,minkowski,weights_sqr8,0.698441093789931
435,15,chebyshev,uniform,0.7399940705603321
436,15,chebyshev,distance,0.740521327014218
437,15,chebyshev,weights_sqr,0.738913362701909
438,15,chebyshev,weights_sqr4,0.7310207563264146
439,15,chebyshev,weights_sqr8,0.668691470513794
440,15,cosine,uniform,0.7317997293640054
441,15,cosine,distance,0.7334943639291466
442,15,cosine,weights_sqr,0.7259767687434002
