,k,metric,weights,valeur
0,2,l1,uniform,0.8029224428624954
1,2,l1,distance,0.6456456456456456
2,2,l2,uniform,0.7824023366192041
3,2,l2,distance,0.6326899879372738
4,2,manhattan,uniform,0.8029224428624954
5,2,manhattan,distance,0.6456456456456456
6,2,nan_euclidean,uniform,0.7824023366192041
7,2,nan_euclidean,distance,0.6326899879372738
8,2,minkowski,uniform,0.7824023366192041
9,2,minkowski,distance,0.6326899879372738
10,2,chebyshev,uniform,0.7493240633449209
11,2,chebyshev,distance,0.5970428987921699
12,2,cityblock,uniform,0.8029224428624954
13,2,cityblock,distance,0.6456456456456456
14,2,cosine,uniform,0.7787900874635568
15,2,cosine,distance,0.6228193302586725
16,2,euclidean,uniform,0.7824023366192041
17,2,euclidean,distance,0.6326899879372738
18,3,l1,uniform,0.7256509161041466
19,3,l1,distance,0.7279711884753901
20,3,l2,uniform,0.7059518186112423
21,3,l2,distance,0.7084019769357496
22,3,manhattan,uniform,0.7256509161041466
23,3,manhattan,distance,0.7279711884753901
24,3,nan_euclidean,uniform,0.7059518186112423
25,3,nan_euclidean,distance,0.7084019769357496
26,3,minkowski,uniform,0.7059518186112423
27,3,minkowski,distance,0.7084019769357496
28,3,chebyshev,uniform,0.6722972972972973
29,3,chebyshev,distance,0.6737349397590362
30,3,cityblock,uniform,0.7256509161041466
31,3,cityblock,distance,0.7279711884753901
32,3,cosine,uniform,0.7017379051197745
33,3,cosine,distance,0.702634011090573
34,3,euclidean,uniform,0.7059518186112423
35,3,euclidean,distance,0.7084019769357496
36,4,l1,uniform,0.8042364195421934
37,4,l1,distance,0.7307417123777725
38,4,l2,uniform,0.7885580461692874
39,4,l2,distance,0.7120962037255364
40,4,manhattan,uniform,0.8042364195421934
41,4,manhattan,distance,0.7307417123777725
42,4,nan_euclidean,uniform,0.7885580461692874
43,4,nan_euclidean,distance,0.7120962037255364
44,4,minkowski,uniform,0.7885580461692874
45,4,minkowski,distance,0.7120962037255364
46,4,chebyshev,uniform,0.7640677966101694
47,4,chebyshev,distance,0.6798743657888379
48,4,cityblock,uniform,0.8042364195421934
49,4,cityblock,distance,0.7307417123777725
50,4,cosine,uniform,0.7901844532279315
51,4,cosine,distance,0.7078256794751641
52,4,euclidean,uniform,0.7885580461692874
53,4,euclidean,distance,0.7120962037255364
54,5,l1,uniform,0.7550052687038988
55,5,l1,distance,0.760858189429618
