,k,metric,weights,valeur
0,1,manhattan,weights_sqr,0.6456456456456456
1,1,manhattan,weights_sqr4,0.6456456456456456
2,1,manhattan,weights_sqr8,0.6456456456456456
3,2,manhattan,weights_sqr,0.6456456456456456
4,2,manhattan,weights_sqr4,0.6456456456456456
5,2,manhattan,weights_sqr8,0.6456456456456456
6,3,manhattan,weights_sqr,0.7294697325199437
7,3,manhattan,weights_sqr4,0.7138314785373608
8,3,manhattan,weights_sqr8,0.6843803786574871
9,4,manhattan,weights_sqr,0.7304429783223374
10,4,manhattan,weights_sqr4,0.7220564608675695
11,4,manhattan,weights_sqr8,0.6949375410913873
12,5,manhattan,weights_sqr,0.760538344337227
13,5,manhattan,weights_sqr4,0.7442084942084942
14,5,manhattan,weights_sqr8,0.7091481231737469
15,6,manhattan,weights_sqr,0.7654924145024428
16,6,manhattan,weights_sqr4,0.7546614327772326
17,6,manhattan,weights_sqr8,0.7181901699586587
18,7,manhattan,weights_sqr,0.7745879851143009
19,7,manhattan,weights_sqr4,0.7615
20,7,manhattan,weights_sqr8,0.7242893459671828
21,8,manhattan,weights_sqr,0.7826437399247717
22,8,manhattan,weights_sqr4,0.7695817490494297
23,8,manhattan,weights_sqr8,0.7304185176525602
24,9,manhattan,weights_sqr,0.7879888268156424
25,9,manhattan,weights_sqr4,0.7761387163561076
26,9,manhattan,weights_sqr8,0.7330977620730271
27,10,manhattan,weights_sqr,0.79391034677192
28,10,manhattan,weights_sqr4,0.7791217459900079
29,10,manhattan,weights_sqr8,0.7375446960667461
30,11,manhattan,weights_sqr,0.797432239657632
31,11,manhattan,weights_sqr4,0.7833954230973922
32,11,manhattan,weights_sqr8,0.7399759903961585
33,12,manhattan,weights_sqr,0.801679212507238
34,12,manhattan,weights_sqr4,0.7898003237992445
35,12,manhattan,weights_sqr8,0.7420135527589545
36,13,manhattan,weights_sqr,0.8054338299737073
37,13,manhattan,weights_sqr4,0.7917007917007917
38,13,manhattan,weights_sqr8,0.7460433406379352
39,14,manhattan,weights_sqr,0.8039857227840571
40,14,manhattan,weights_sqr4,0.7979574937896771
41,14,manhattan,weights_sqr8,0.7486539402838962
42,15,manhattan,weights_sqr,0.813799337149744
43,15,manhattan,weights_sqr4,0.799442119944212
44,15,manhattan,weights_sqr8,0.7494462220034457
45,16,manhattan,weights_sqr,0.8116293155663235
46,16,manhattan,weights_sqr4,0.8030812324929972
47,16,manhattan,weights_sqr8,0.7508650519031141
48,17,manhattan,weights_sqr,0.813889734998477
49,17,manhattan,weights_sqr4,0.8047337278106509
50,17,manhattan,weights_sqr8,0.7532242063492064
51,18,manhattan,weights_sqr,0.8185745140388769
52,18,manhattan,weights_sqr4,0.80718767826583
53,18,manhattan,weights_sqr8,0.7537387836490529
54,19,manhattan,weights_sqr,0.8227215980024969
55,19,manhattan,weights_sqr4,0.8079564968517459
56,19,manhattan,weights_sqr8,0.7575909661229611
57,20,manhattan,weights_sqr,0.8234741784037559
58,20,manhattan,weights_sqr4,0.8100028743891923
59,20,manhattan,weights_sqr8,0.757537688442211
