,k,metric,weights,valeur
0,1,manhattan,uniform,0.5987005541754252
1,1,manhattan,distance,0.5987005541754252
2,1,manhattan,weights_sqr,0.5987005541754252
3,1,manhattan,weights_sqr4,0.5987005541754252
4,1,manhattan,weights_sqr8,0.5987005541754252
5,1,pond_PCA,uniform,0.5761513472195682
6,1,pond_PCA,distance,0.5761513472195682
7,1,pond_PCA,weights_sqr,0.5761513472195682
8,1,pond_PCA,weights_sqr4,0.5761513472195682
9,1,pond_PCA,weights_sqr8,0.5761513472195682
10,2,manhattan,uniform,0.41180966940569463
11,2,manhattan,distance,0.5987005541754252
12,2,manhattan,weights_sqr,0.5987005541754252
13,2,manhattan,weights_sqr4,0.5987005541754252
14,2,manhattan,weights_sqr8,0.5987005541754252
15,2,pond_PCA,uniform,0.39919740110835084
16,2,pond_PCA,distance,0.5761513472195682
17,2,pond_PCA,weights_sqr,0.5761513472195682
18,2,pond_PCA,weights_sqr4,0.5761513472195682
19,2,pond_PCA,weights_sqr8,0.5761513472195682
20,3,manhattan,uniform,0.5748136824001528
21,3,manhattan,distance,0.5771068220905791
22,3,manhattan,weights_sqr,0.5849417160328684
23,3,manhattan,weights_sqr4,0.5937320848461686
24,3,manhattan,weights_sqr8,0.5960252245365947
25,3,pond_PCA,uniform,0.555704184979935
26,3,pond_PCA,distance,0.5589527995413721
27,3,pond_PCA,weights_sqr,0.5614370342060003
28,3,pond_PCA,weights_sqr4,0.5667876934836614
29,3,pond_PCA,weights_sqr8,0.5721383527613224
30,4,manhattan,uniform,0.46034779285304794
31,4,manhattan,distance,0.5805465316262183
32,4,manhattan,weights_sqr,0.5828396713166444
33,4,manhattan,weights_sqr4,0.5881903305943054
34,4,manhattan,weights_sqr8,0.5943053697687751
35,4,pond_PCA,uniform,0.44448690999426715
36,4,pond_PCA,distance,0.5576151347219568
37,4,pond_PCA,weights_sqr,0.5576151347219568
38,4,pond_PCA,weights_sqr4,0.5629657939996178
39,4,pond_PCA,weights_sqr8,0.5702274030193006
40,5,manhattan,uniform,0.5560863749283393
41,5,manhattan,distance,0.5604815593349894
42,5,manhattan,weights_sqr,0.5698452130708962
43,5,manhattan,weights_sqr4,0.5793999617810052
44,5,manhattan,weights_sqr8,0.5895279954137206
45,5,pond_PCA,uniform,0.5413720619147716
46,5,pond_PCA,distance,0.5459583412956239
47,5,pond_PCA,weights_sqr,0.5532199503153067
48,5,pond_PCA,weights_sqr4,0.5585706095929677
49,5,pond_PCA,weights_sqr8,0.5696541180966941
50,6,manhattan,uniform,0.47639977068603095
51,6,manhattan,distance,0.5616281291802026
52,6,manhattan,weights_sqr,0.5671698834320658
53,6,manhattan,weights_sqr4,0.5776801070131855
54,6,manhattan,weights_sqr8,0.5891458054653163
55,6,pond_PCA,uniform,0.465698452130709
56,6,pond_PCA,distance,0.5467227211924326
57,6,pond_PCA,weights_sqr,0.5509268106248806
58,6,pond_PCA,weights_sqr4,0.5568507548251481
59,6,pond_PCA,weights_sqr8,0.5673609784062679
60,7,manhattan,uniform,0.5348748327918976
61,7,manhattan,distance,0.5388878272501433
62,7,manhattan,weights_sqr,0.5539843302121155
63,7,manhattan,weights_sqr4,0.568507548251481
64,7,manhattan,weights_sqr8,0.5858971909038793
65,7,pond_PCA,uniform,0.5260844639785973
66,7,pond_PCA,distance,0.5318173132046627
67,7,pond_PCA,weights_sqr,0.5442384865278043
68,7,pond_PCA,weights_sqr4,0.555704184979935
69,7,pond_PCA,weights_sqr8,0.5658322186126505
70,8,manhattan,uniform,0.4786929103764571
71,8,manhattan,distance,0.5409898719663673
72,8,manhattan,weights_sqr,0.5490158608828588
73,8,manhattan,weights_sqr4,0.5662144085610549
74,8,manhattan,weights_sqr8,0.583604051213453
75,8,pond_PCA,uniform,0.47124020638257214
76,8,pond_PCA,distance,0.535257022740302
77,8,pond_PCA,weights_sqr,0.5427097267341869
78,8,pond_PCA,weights_sqr4,0.5541754251863176
79,8,pond_PCA,weights_sqr8,0.566405503535257
80,9,manhattan,uniform,0.5283776036690235
81,9,manhattan,distance,0.5318173132046627
82,9,manhattan,weights_sqr,0.5455761513472196
83,9,manhattan,weights_sqr4,0.5618192241544048
84,9,manhattan,weights_sqr8,0.580355436652016
85,9,pond_PCA,uniform,0.5186317599847124
86,9,pond_PCA,distance,0.5239824192623734
87,9,pond_PCA,weights_sqr,0.536403592585515
88,9,pond_PCA,weights_sqr4,0.5526466653927001
89,9,pond_PCA,weights_sqr8,0.5650678387158418
90,10,manhattan,uniform,0.4760175807376266
91,10,manhattan,distance,0.5356392126887063
92,10,manhattan,weights_sqr,0.5451939613988153
93,10,manhattan,weights_sqr4,0.5627746990254157
94,10,manhattan,weights_sqr8,0.5809287215746226
95,10,pond_PCA,uniform,0.47544429581502007
96,10,pond_PCA,distance,0.5251289891075864
97,10,pond_PCA,weights_sqr,0.5348748327918976
98,10,pond_PCA,weights_sqr4,0.5518822854958915
99,10,pond_PCA,weights_sqr8,0.5639212688706287
100,11,manhattan,uniform,0.5186317599847124
101,11,manhattan,distance,0.5234091343397669
102,11,manhattan,weights_sqr,0.5373590674565258
103,11,manhattan,weights_sqr4,0.557806229696159
104,11,manhattan,weights_sqr8,0.5757691572711637
105,11,pond_PCA,uniform,0.5174851901394993
106,11,pond_PCA,distance,0.5213070896235429
107,11,pond_PCA,weights_sqr,0.5321995031530671
108,11,pond_PCA,weights_sqr4,0.5492069558570609
109,11,pond_PCA,weights_sqr8,0.5639212688706287
110,12,manhattan,uniform,0.4771641505828397
111,12,manhattan,distance,0.522453659468756
112,12,manhattan,weights_sqr,0.5308618383336519
113,12,manhattan,weights_sqr4,0.5528377603669024
114,12,manhattan,weights_sqr8,0.5750047773743551
115,12,pond_PCA,uniform,0.477546340531244
116,12,pond_PCA,distance,0.5195872348557233
117,12,pond_PCA,weights_sqr,0.5291419835658322
118,12,pond_PCA,weights_sqr4,0.5492069558570609
119,12,pond_PCA,weights_sqr8,0.5625836040512134
120,13,manhattan,uniform,0.511752340913434
121,13,manhattan,distance,0.5157653353716797
122,13,manhattan,weights_sqr,0.5274221287980126
123,13,manhattan,weights_sqr4,0.5513090005732849
124,13,manhattan,weights_sqr8,0.5730938276323333
125,13,pond_PCA,uniform,0.507548251480986
126,13,pond_PCA,distance,0.5107968660424231
127,13,pond_PCA,weights_sqr,0.525702274030193
128,13,pond_PCA,weights_sqr4,0.5444295815020065
129,13,pond_PCA,weights_sqr8,0.5625836040512134
130,14,manhattan,uniform,0.4733422510987961
131,14,manhattan,distance,0.5119434358876361
132,14,manhattan,weights_sqr,0.5216892795719472
133,14,manhattan,weights_sqr4,0.5457672463214217
134,14,manhattan,weights_sqr8,0.5711828778903115
135,14,pond_PCA,uniform,0.4767819606344353
136,14,pond_PCA,distance,0.5127078157844449
137,14,pond_PCA,weights_sqr,0.5237913242881712
138,14,pond_PCA,weights_sqr4,0.5442384865278043
139,14,pond_PCA,weights_sqr8,0.5604815593349894
140,15,manhattan,uniform,0.5044907318937512
141,15,manhattan,distance,0.5077393464551883
142,15,manhattan,weights_sqr,0.5211159946493408
143,15,manhattan,weights_sqr4,0.545002866424613
144,15,manhattan,weights_sqr8,0.5704184979935027
145,15,pond_PCA,uniform,0.5014332123065164
146,15,pond_PCA,distance,0.5056373017389643
147,15,pond_PCA,weights_sqr,0.5190139499331168
148,15,pond_PCA,weights_sqr4,0.5427097267341869
149,15,pond_PCA,weights_sqr8,0.5614370342060003
150,16,manhattan,uniform,0.4744888209440092
151,16,manhattan,distance,0.5077393464551883
152,16,manhattan,weights_sqr,0.5180584750621059
153,16,manhattan,weights_sqr4,0.5434741066309956
154,16,manhattan,weights_sqr8,0.568507548251481
155,16,pond_PCA,uniform,0.47372444104720046
156,16,pond_PCA,distance,0.5079304414293904
157,16,pond_PCA,weights_sqr,0.5161475253200841
158,16,pond_PCA,weights_sqr4,0.5394611121727498
159,16,pond_PCA,weights_sqr8,0.5608637492833939
160,17,manhattan,uniform,0.5023886871775273
161,17,manhattan,distance,0.5058283967131665
162,17,manhattan,weights_sqr,0.5184406650105102
163,17,manhattan,weights_sqr4,0.5406076820179629
164,17,manhattan,weights_sqr8,0.5667876934836614
165,17,pond_PCA,uniform,0.49952226256449456
166,17,pond_PCA,distance,0.5035352570227403
167,17,pond_PCA,weights_sqr,0.5163386202942862
168,17,pond_PCA,weights_sqr4,0.5369768775081215
169,17,pond_PCA,weights_sqr8,0.5614370342060003
170,18,manhattan,uniform,0.4691381616663482
171,18,manhattan,distance,0.5058283967131665
172,18,manhattan,weights_sqr,0.5151920504490732
173,18,manhattan,weights_sqr4,0.5415631568889738
174,18,manhattan,weights_sqr8,0.5656411236384483
175,18,pond_PCA,uniform,0.4714313013567743
176,18,pond_PCA,distance,0.5067838715841774
177,18,pond_PCA,weights_sqr,0.512898910758647
178,18,pond_PCA,weights_sqr4,0.5354481177145041
179,18,pond_PCA,weights_sqr8,0.5600993693865851
180,19,manhattan,uniform,0.4953181731320466
181,19,manhattan,distance,0.498948977641888
182,19,manhattan,weights_sqr,0.5098413911714121
183,19,manhattan,weights_sqr4,0.5383145423275368
184,19,manhattan,weights_sqr8,0.5650678387158418
185,19,pond_PCA,uniform,0.4945537932352379
186,19,pond_PCA,distance,0.5018154022549207
187,19,pond_PCA,weights_sqr,0.5106057710682209
188,19,pond_PCA,weights_sqr4,0.5341104528950888
189,19,pond_PCA,weights_sqr8,0.5600993693865851
190,20,manhattan,uniform,0.46990254156315686
191,20,manhattan,distance,0.5006688324097076
192,20,manhattan,weights_sqr,0.5088859163004013
193,20,manhattan,weights_sqr4,0.5344926428434932
194,20,manhattan,weights_sqr8,0.565258933690044
195,20,pond_PCA,uniform,0.47028473151156125
196,20,pond_PCA,distance,0.500095547487101
197,20,pond_PCA,weights_sqr,0.5071660615325817
198,20,pond_PCA,weights_sqr4,0.5350659277660997
199,20,pond_PCA,weights_sqr8,0.5587617045671699
