,k,metric,weights,valeur
0,1,manhattan,uniform,0.8729218421555514
1,1,manhattan,distance,0.8729218421555514
2,1,manhattan,weights_sqr,0.8729218421555514
3,1,manhattan,weights_sqr4,0.8729218421555514
4,1,manhattan,weights_sqr8,0.8729218421555514
5,1,nan_euclidean,uniform,0.8759793617427861
6,1,nan_euclidean,distance,0.8759793617427861
7,1,nan_euclidean,weights_sqr,0.8759793617427861
8,1,nan_euclidean,weights_sqr4,0.8759793617427861
9,1,nan_euclidean,weights_sqr8,0.8759793617427861
10,1,minkowski,uniform,0.8759793617427861
11,1,minkowski,distance,0.8759793617427861
12,1,minkowski,weights_sqr,0.8759793617427861
13,1,minkowski,weights_sqr4,0.8759793617427861
14,1,minkowski,weights_sqr8,0.8759793617427861
15,1,chebyshev,uniform,0.8614561437034206
16,1,chebyshev,distance,0.8614561437034206
17,1,chebyshev,weights_sqr,0.8614561437034206
18,1,chebyshev,weights_sqr4,0.8614561437034206
19,1,chebyshev,weights_sqr8,0.8614561437034206
20,1,cosine,uniform,0.8748327918975731
21,1,cosine,distance,0.8748327918975731
22,1,cosine,weights_sqr,0.8748327918975731
23,1,cosine,weights_sqr4,0.8748327918975731
24,1,cosine,weights_sqr8,0.8748327918975731
25,1,euclidean,uniform,0.8759793617427861
26,1,euclidean,distance,0.8759793617427861
27,1,euclidean,weights_sqr,0.8759793617427861
28,1,euclidean,weights_sqr4,0.8759793617427861
29,1,euclidean,weights_sqr8,0.8759793617427861
30,2,manhattan,uniform,0.6932925664055035
31,2,manhattan,distance,0.8729218421555514
32,2,manhattan,weights_sqr,0.8729218421555514
33,2,manhattan,weights_sqr4,0.8729218421555514
34,2,manhattan,weights_sqr8,0.8729218421555514
35,2,nan_euclidean,uniform,0.68947066692146
36,2,nan_euclidean,distance,0.8759793617427861
37,2,nan_euclidean,weights_sqr,0.8759793617427861
38,2,nan_euclidean,weights_sqr4,0.8759793617427861
39,2,nan_euclidean,weights_sqr8,0.8759793617427861
40,2,minkowski,uniform,0.68947066692146
41,2,minkowski,distance,0.8759793617427861
42,2,minkowski,weights_sqr,0.8759793617427861
43,2,minkowski,weights_sqr4,0.8759793617427861
44,2,minkowski,weights_sqr8,0.8759793617427861
45,2,chebyshev,uniform,0.6982610357347602
46,2,chebyshev,distance,0.8614561437034206
47,2,chebyshev,weights_sqr,0.8614561437034206
48,2,chebyshev,weights_sqr4,0.8614561437034206
49,2,chebyshev,weights_sqr8,0.8614561437034206
50,2,cosine,uniform,0.7020829352188037
51,2,cosine,distance,0.8748327918975731
52,2,cosine,weights_sqr,0.8748327918975731
53,2,cosine,weights_sqr4,0.8748327918975731
54,2,cosine,weights_sqr8,0.8748327918975731
55,2,euclidean,uniform,0.68947066692146
56,2,euclidean,distance,0.8759793617427861
57,2,euclidean,weights_sqr,0.8759793617427861
58,2,euclidean,weights_sqr4,0.8759793617427861
59,2,euclidean,weights_sqr8,0.8759793617427861
60,3,manhattan,uniform,0.9287215746225874
61,3,manhattan,distance,0.9285304796483852
62,3,manhattan,weights_sqr,0.931396904261418
63,3,manhattan,weights_sqr4,0.9193579208866807
64,3,manhattan,weights_sqr8,0.8987196636728454
65,3,nan_euclidean,uniform,0.9338811389260463
66,3,nan_euclidean,distance,0.9338811389260463
67,3,nan_euclidean,weights_sqr,0.9350277087712593
68,3,nan_euclidean,weights_sqr4,0.9258551500095548
69,3,nan_euclidean,weights_sqr8,0.9025415631568889
70,3,minkowski,uniform,0.9338811389260463
71,3,minkowski,distance,0.9338811389260463
72,3,minkowski,weights_sqr,0.9350277087712593
73,3,minkowski,weights_sqr4,0.9258551500095548
74,3,minkowski,weights_sqr8,0.9025415631568889
75,3,chebyshev,uniform,0.9237531052933308
76,3,chebyshev,distance,0.9243263902159373
77,3,chebyshev,weights_sqr,0.9233709153449264
78,3,chebyshev,weights_sqr4,0.9088476973055608
79,3,chebyshev,weights_sqr8,0.8884005350659278
80,3,cosine,uniform,0.9338811389260463
81,3,cosine,distance,0.9338811389260463
82,3,cosine,weights_sqr,0.9233709153449264
83,3,cosine,weights_sqr4,0.9044525128989107
84,3,cosine,weights_sqr8,0.8916491496273647
85,3,euclidean,uniform,0.9338811389260463
86,3,euclidean,distance,0.9338811389260463
87,3,euclidean,weights_sqr,0.9350277087712593
88,3,euclidean,weights_sqr4,0.9258551500095548
89,3,euclidean,weights_sqr8,0.9025415631568889
90,4,manhattan,uniform,0.8557232944773553
91,4,manhattan,distance,0.9396139881521116
92,4,manhattan,weights_sqr,0.9392317982037073
93,4,manhattan,weights_sqr4,0.9317790942098223
94,4,manhattan,weights_sqr8,0.9098031721765718
95,4,nan_euclidean,uniform,0.8545767246321422
96,4,nan_euclidean,distance,0.9436269826103574
97,4,nan_euclidean,weights_sqr,0.9434358876361552
98,4,nan_euclidean,weights_sqr4,0.9352188037454615
99,4,nan_euclidean,weights_sqr8,0.9149627364800306
100,4,minkowski,uniform,0.8545767246321422
101,4,minkowski,distance,0.9436269826103574
102,4,minkowski,weights_sqr,0.9434358876361552
103,4,minkowski,weights_sqr4,0.9352188037454615
104,4,minkowski,weights_sqr8,0.9149627364800306
105,4,chebyshev,uniform,0.8503726351996942
106,4,chebyshev,distance,0.9279571947257788
107,4,chebyshev,weights_sqr,0.9268106248805656
108,4,chebyshev,weights_sqr4,0.9172558761704567
109,4,chebyshev,weights_sqr8,0.8952799541372062
110,4,cosine,uniform,0.8626027135486337
111,4,cosine,distance,0.9436269826103574
112,4,cosine,weights_sqr,0.936747563539079
113,4,cosine,weights_sqr4,0.9159182113510415
114,4,cosine,weights_sqr8,0.8943244792661953
115,4,euclidean,uniform,0.8545767246321422
116,4,euclidean,distance,0.9436269826103574
117,4,euclidean,weights_sqr,0.9434358876361552
118,4,euclidean,weights_sqr4,0.9352188037454615
119,4,euclidean,weights_sqr8,0.9149627364800306
120,5,manhattan,uniform,0.9472577871201987
121,5,manhattan,distance,0.9470666921459966
122,5,manhattan,weights_sqr,0.9474488820944009
123,5,manhattan,weights_sqr4,0.9413338429199312
124,5,manhattan,weights_sqr8,0.9140072616090197
125,5,nan_euclidean,uniform,0.9480221670170075
126,5,nan_euclidean,distance,0.9484043569654118
127,5,nan_euclidean,weights_sqr,0.9514618765526467
128,5,nan_euclidean,weights_sqr4,0.9451557424039748
129,5,nan_euclidean,weights_sqr8,0.9184024460156698
130,5,minkowski,uniform,0.9480221670170075
131,5,minkowski,distance,0.9484043569654118
132,5,minkowski,weights_sqr,0.9514618765526467
133,5,minkowski,weights_sqr4,0.9451557424039748
134,5,minkowski,weights_sqr8,0.9184024460156698
135,5,chebyshev,uniform,0.9382763233326964
136,5,chebyshev,distance,0.9394228931779094
137,5,chebyshev,weights_sqr,0.9390407032295051
138,5,chebyshev,weights_sqr4,0.9281482896999809
139,5,chebyshev,weights_sqr8,0.9000573284922606
140,5,cosine,uniform,0.9493598318364227
141,5,cosine,distance,0.9524173514236576
142,5,cosine,weights_sqr,0.942289317790942
143,5,cosine,weights_sqr4,0.919740110835085
144,5,cosine,weights_sqr8,0.8975730938276323
145,5,euclidean,uniform,0.9480221670170075
146,5,euclidean,distance,0.9484043569654118
147,5,euclidean,weights_sqr,0.9514618765526467
148,5,euclidean,weights_sqr4,0.9451557424039748
149,5,euclidean,weights_sqr8,0.9184024460156698
150,6,manhattan,uniform,0.9008217083890694
151,6,manhattan,distance,0.953946111217275
152,6,manhattan,weights_sqr,0.9535639212688706
153,6,manhattan,weights_sqr4,0.9440091725587617
154,6,manhattan,weights_sqr8,0.9163004012994458
155,6,nan_euclidean,uniform,0.9046436078731129
156,6,nan_euclidean,distance,0.9547104911140837
157,6,nan_euclidean,weights_sqr,0.9554748710108925
158,6,nan_euclidean,weights_sqr4,0.9472577871201987
159,6,nan_euclidean,weights_sqr8,0.9227976304223199
160,6,minkowski,uniform,0.9046436078731129
161,6,minkowski,distance,0.9547104911140837
162,6,minkowski,weights_sqr,0.9554748710108925
163,6,minkowski,weights_sqr4,0.9472577871201987
164,6,minkowski,weights_sqr8,0.9227976304223199
165,6,chebyshev,uniform,0.8912669596789604
166,6,chebyshev,distance,0.9447735524555704
167,6,chebyshev,weights_sqr,0.9453468373781769
168,6,chebyshev,weights_sqr4,0.9327345690808332
169,6,chebyshev,weights_sqr8,0.9021593732084846
170,6,cosine,uniform,0.9050257978215173
171,6,cosine,distance,0.9552837760366902
172,6,cosine,weights_sqr,0.9501242117332314
173,6,cosine,weights_sqr4,0.9235620103191287
174,6,cosine,weights_sqr8,0.8983374737244411
175,6,euclidean,uniform,0.9046436078731129
176,6,euclidean,distance,0.9547104911140837
177,6,euclidean,weights_sqr,0.9554748710108925
178,6,euclidean,weights_sqr4,0.9472577871201987
179,6,euclidean,weights_sqr8,0.9227976304223199
180,7,manhattan,uniform,0.9547104911140837
181,7,manhattan,distance,0.9552837760366902
182,7,manhattan,weights_sqr,0.9575769157271163
183,7,manhattan,weights_sqr4,0.948595451939614
184,7,manhattan,weights_sqr8,0.9195490158608829
185,7,nan_euclidean,uniform,0.9524173514236576
186,7,nan_euclidean,distance,0.9529906363462641
187,7,nan_euclidean,weights_sqr,0.9585323905981272
188,7,nan_euclidean,weights_sqr4,0.951844066501051
189,7,nan_euclidean,weights_sqr8,0.9231798203707242
190,7,minkowski,uniform,0.9524173514236576
191,7,minkowski,distance,0.9529906363462641
192,7,minkowski,weights_sqr,0.9585323905981272
193,7,minkowski,weights_sqr4,0.951844066501051
194,7,minkowski,weights_sqr8,0.9231798203707242
195,7,chebyshev,uniform,0.9491687368622205
196,7,chebyshev,distance,0.9503153067074336
197,7,chebyshev,weights_sqr,0.9520351614752532
198,7,chebyshev,weights_sqr4,0.9377030384100898
199,7,chebyshev,weights_sqr8,0.905790177718326
200,7,cosine,uniform,0.9545193961398816
201,7,cosine,distance,0.9581502006497229
202,7,cosine,weights_sqr,0.9506974966558379
