,k,metric,weights,valeur
0,1,manhattan,uniform,0.5761513472195682
1,1,manhattan,distance,0.5761513472195682
2,1,manhattan,weights_sqr,0.5761513472195682
3,1,manhattan,weights_sqr4,0.5761513472195682
4,1,manhattan,weights_sqr8,0.5761513472195682
5,1,nan_euclidean,uniform,0.5671698834320658
6,1,nan_euclidean,distance,0.5671698834320658
7,1,nan_euclidean,weights_sqr,0.5671698834320658
8,1,nan_euclidean,weights_sqr4,0.5671698834320658
9,1,nan_euclidean,weights_sqr8,0.5671698834320658
10,1,minkowski,uniform,0.5671698834320658
11,1,minkowski,distance,0.5671698834320658
12,1,minkowski,weights_sqr,0.5671698834320658
13,1,minkowski,weights_sqr4,0.5671698834320658
14,1,minkowski,weights_sqr8,0.5671698834320658
15,1,chebyshev,uniform,0.557806229696159
16,1,chebyshev,distance,0.557806229696159
17,1,chebyshev,weights_sqr,0.557806229696159
18,1,chebyshev,weights_sqr4,0.557806229696159
19,1,chebyshev,weights_sqr8,0.557806229696159
20,1,cosine,uniform,0.5677431683546723
21,1,cosine,distance,0.5677431683546723
22,1,cosine,weights_sqr,0.5677431683546723
23,1,cosine,weights_sqr4,0.5677431683546723
24,1,cosine,weights_sqr8,0.5677431683546723
25,1,euclidean,uniform,0.5671698834320658
26,1,euclidean,distance,0.5671698834320658
27,1,euclidean,weights_sqr,0.5671698834320658
28,1,euclidean,weights_sqr4,0.5671698834320658
29,1,euclidean,weights_sqr8,0.5671698834320658
30,2,manhattan,uniform,0.39919740110835084
31,2,manhattan,distance,0.5761513472195682
32,2,manhattan,weights_sqr,0.5761513472195682
33,2,manhattan,weights_sqr4,0.5761513472195682
34,2,manhattan,weights_sqr8,0.5761513472195682
35,2,nan_euclidean,uniform,0.3905981272692528
36,2,nan_euclidean,distance,0.5671698834320658
37,2,nan_euclidean,weights_sqr,0.5671698834320658
38,2,nan_euclidean,weights_sqr4,0.5671698834320658
39,2,nan_euclidean,weights_sqr8,0.5671698834320658
40,2,minkowski,uniform,0.3905981272692528
41,2,minkowski,distance,0.5671698834320658
42,2,minkowski,weights_sqr,0.5671698834320658
43,2,minkowski,weights_sqr4,0.5671698834320658
44,2,minkowski,weights_sqr8,0.5671698834320658
45,2,chebyshev,uniform,0.3858207529141984
46,2,chebyshev,distance,0.557806229696159
47,2,chebyshev,weights_sqr,0.557806229696159
48,2,chebyshev,weights_sqr4,0.557806229696159
49,2,chebyshev,weights_sqr8,0.557806229696159
50,2,cosine,uniform,0.3909803172176572
51,2,cosine,distance,0.5677431683546723
52,2,cosine,weights_sqr,0.5677431683546723
53,2,cosine,weights_sqr4,0.5677431683546723
54,2,cosine,weights_sqr8,0.5677431683546723
55,2,euclidean,uniform,0.3905981272692528
56,2,euclidean,distance,0.5671698834320658
57,2,euclidean,weights_sqr,0.5671698834320658
58,2,euclidean,weights_sqr4,0.5671698834320658
59,2,euclidean,weights_sqr8,0.5671698834320658
60,3,manhattan,uniform,0.555704184979935
61,3,manhattan,distance,0.5589527995413721
62,3,manhattan,weights_sqr,0.5614370342060003
63,3,manhattan,weights_sqr4,0.5667876934836614
64,3,manhattan,weights_sqr8,0.5721383527613224
65,3,nan_euclidean,uniform,0.5516911905216892
66,3,nan_euclidean,distance,0.5532199503153067
67,3,nan_euclidean,weights_sqr,0.5564685648767438
68,3,nan_euclidean,weights_sqr4,0.5612459392317982
69,3,nan_euclidean,weights_sqr8,0.5665965985094592
70,3,minkowski,uniform,0.5516911905216892
71,3,minkowski,distance,0.5532199503153067
72,3,minkowski,weights_sqr,0.5564685648767438
73,3,minkowski,weights_sqr4,0.5612459392317982
74,3,minkowski,weights_sqr8,0.5665965985094592
75,3,chebyshev,uniform,0.5381234473533346
76,3,chebyshev,distance,0.5409898719663673
77,3,chebyshev,weights_sqr,0.5444295815020065
78,3,chebyshev,weights_sqr4,0.5480603860118479
79,3,chebyshev,weights_sqr8,0.553602140263711
80,3,cosine,uniform,0.5505446206764762
81,3,cosine,distance,0.5555130900057329
82,3,cosine,weights_sqr,0.5558952799541372
83,3,cosine,weights_sqr4,0.5616281291802026
84,3,cosine,weights_sqr8,0.5644945537932352
85,3,euclidean,uniform,0.5516911905216892
86,3,euclidean,distance,0.5532199503153067
87,3,euclidean,weights_sqr,0.5564685648767438
88,3,euclidean,weights_sqr4,0.5612459392317982
89,3,euclidean,weights_sqr8,0.5665965985094592
90,4,manhattan,uniform,0.44448690999426715
91,4,manhattan,distance,0.5576151347219568
92,4,manhattan,weights_sqr,0.5576151347219568
93,4,manhattan,weights_sqr4,0.5629657939996178
94,4,manhattan,weights_sqr8,0.5702274030193006
95,4,nan_euclidean,uniform,0.4452512898910759
96,4,nan_euclidean,distance,0.5549398050831263
97,4,nan_euclidean,weights_sqr,0.5585706095929677
98,4,nan_euclidean,weights_sqr4,0.555704184979935
99,4,nan_euclidean,weights_sqr8,0.565258933690044
100,4,minkowski,uniform,0.4452512898910759
101,4,minkowski,distance,0.5549398050831263
102,4,minkowski,weights_sqr,0.5585706095929677
103,4,minkowski,weights_sqr4,0.555704184979935
104,4,minkowski,weights_sqr8,0.565258933690044
105,4,chebyshev,uniform,0.4343588763615517
