,k,metric,weights,valeur
0,1,manhattan,uniform,0.5643034588190331
1,1,manhattan,distance,0.5643034588190331
2,1,manhattan,weights_sqr,0.5643034588190331
3,1,manhattan,weights_sqr4,0.5643034588190331
4,1,manhattan,weights_sqr8,0.5643034588190331
5,1,nan_euclidean,uniform,0.5528377603669024
6,1,nan_euclidean,distance,0.5528377603669024
7,1,nan_euclidean,weights_sqr,0.5528377603669024
8,1,nan_euclidean,weights_sqr4,0.5528377603669024
9,1,nan_euclidean,weights_sqr8,0.5528377603669024
10,1,minkowski,uniform,0.5528377603669024
11,1,minkowski,distance,0.5528377603669024
12,1,minkowski,weights_sqr,0.5528377603669024
13,1,minkowski,weights_sqr4,0.5528377603669024
14,1,minkowski,weights_sqr8,0.5528377603669024
15,1,chebyshev,uniform,0.5266577489012039
16,1,chebyshev,distance,0.5266577489012039
17,1,chebyshev,weights_sqr,0.5266577489012039
18,1,chebyshev,weights_sqr4,0.5266577489012039
19,1,chebyshev,weights_sqr8,0.5266577489012039
20,1,cosine,uniform,0.5478692910376457
21,1,cosine,distance,0.5478692910376457
22,1,cosine,weights_sqr,0.5478692910376457
23,1,cosine,weights_sqr4,0.5478692910376457
24,1,cosine,weights_sqr8,0.5478692910376457
25,1,euclidean,uniform,0.5528377603669024
26,1,euclidean,distance,0.5528377603669024
27,1,euclidean,weights_sqr,0.5528377603669024
28,1,euclidean,weights_sqr4,0.5528377603669024
29,1,euclidean,weights_sqr8,0.5528377603669024
30,2,manhattan,uniform,0.3827632333269635
31,2,manhattan,distance,0.5643034588190331
32,2,manhattan,weights_sqr,0.5643034588190331
33,2,manhattan,weights_sqr4,0.5643034588190331
34,2,manhattan,weights_sqr8,0.5643034588190331
35,2,nan_euclidean,uniform,0.3701509650296197
36,2,nan_euclidean,distance,0.5528377603669024
37,2,nan_euclidean,weights_sqr,0.5528377603669024
38,2,nan_euclidean,weights_sqr4,0.5528377603669024
39,2,nan_euclidean,weights_sqr8,0.5528377603669024
40,2,minkowski,uniform,0.3701509650296197
41,2,minkowski,distance,0.5528377603669024
42,2,minkowski,weights_sqr,0.5528377603669024
43,2,minkowski,weights_sqr4,0.5528377603669024
44,2,minkowski,weights_sqr8,0.5528377603669024
45,2,chebyshev,uniform,0.35027708771259314
46,2,chebyshev,distance,0.5209248996751386
