,k,metric,weights,valeur
0,2,l1,uniform,0.4095165297152685
1,2,l1,distance,0.6162812918020256
2,2,l2,uniform,0.4095165297152685
3,2,l2,distance,0.6013758838142557
4,2,manhattan,uniform,0.4095165297152685
5,2,manhattan,distance,0.6162812918020256
6,2,nan_euclidean,uniform,0.4095165297152685
7,2,nan_euclidean,distance,0.6013758838142557
8,2,minkowski,uniform,0.4095165297152685
9,2,minkowski,distance,0.6013758838142557
10,2,chebyshev,uniform,0.37072424995222625
11,2,chebyshev,distance,0.5478692910376457
12,2,cityblock,uniform,0.4095165297152685
13,2,cityblock,distance,0.6162812918020256
14,2,cosine,uniform,0.4083699598700554
15,2,cosine,distance,0.5935409898719664
16,2,euclidean,uniform,0.4095165297152685
17,2,euclidean,distance,0.6013758838142557
18,3,l1,uniform,0.5751958723485572
19,3,l1,distance,0.5793999617810052
20,3,l2,uniform,0.5711828778903115
21,3,l2,distance,0.5751958723485572
22,3,manhattan,uniform,0.5751958723485572
23,3,manhattan,distance,0.5793999617810052
24,3,nan_euclidean,uniform,0.5711828778903115
25,3,nan_euclidean,distance,0.5751958723485572
26,3,minkowski,uniform,0.5711828778903115
27,3,minkowski,distance,0.5751958723485572
28,3,chebyshev,uniform,0.5323905981272693
29,3,chebyshev,distance,0.5343015478692911
30,3,cityblock,uniform,0.5751958723485572
31,3,cityblock,distance,0.5793999617810052
32,3,cosine,uniform,0.5709917829161093
33,3,cosine,distance,0.5811198165488247
34,3,euclidean,uniform,0.5711828778903115
35,3,euclidean,distance,0.5751958723485572
36,4,l1,uniform,0.44983756927192814
37,4,l1,distance,0.5855150009554748
38,4,l2,uniform,0.4504108541945347
39,4,l2,distance,0.5771068220905791
40,4,manhattan,uniform,0.44983756927192814
41,4,manhattan,distance,0.5855150009554748
42,4,nan_euclidean,uniform,0.4504108541945347
43,4,nan_euclidean,distance,0.5771068220905791
44,4,minkowski,uniform,0.4504108541945347
45,4,minkowski,distance,0.5771068220905791
46,4,chebyshev,uniform,0.4307280718517103
47,4,chebyshev,distance,0.5377412574049303
48,4,cityblock,uniform,0.44983756927192814
49,4,cityblock,distance,0.5855150009554748
50,4,cosine,uniform,0.45843684311102617
51,4,cosine,distance,0.5772979170647812
52,4,euclidean,uniform,0.4504108541945347
53,4,euclidean,distance,0.5771068220905791
54,5,l1,uniform,0.5476781960634435
55,5,l1,distance,0.555704184979935
56,5,l2,uniform,0.5497802407796675
57,5,l2,distance,0.5526466653927001
58,5,manhattan,uniform,0.5476781960634435
59,5,manhattan,distance,0.555704184979935
60,5,nan_euclidean,uniform,0.5497802407796675
61,5,nan_euclidean,distance,0.5526466653927001
62,5,minkowski,uniform,0.5497802407796675
63,5,minkowski,distance,0.5526466653927001
64,5,chebyshev,uniform,0.5276132237722148
65,5,chebyshev,distance,0.5287597936174279
66,5,cityblock,uniform,0.5476781960634435
67,5,cityblock,distance,0.555704184979935
68,5,cosine,uniform,0.5509268106248806
69,5,cosine,distance,0.5650678387158418
70,5,euclidean,uniform,0.5497802407796675
71,5,euclidean,distance,0.5526466653927001
72,6,l1,uniform,0.45939231798203706
73,6,l1,distance,0.561054844257596
74,6,l2,uniform,0.46474297725969804
75,6,l2,distance,0.550353525702274
76,6,manhattan,uniform,0.45939231798203706
77,6,manhattan,distance,0.561054844257596
78,6,nan_euclidean,uniform,0.46474297725969804
79,6,nan_euclidean,distance,0.550353525702274
80,6,minkowski,uniform,0.46474297725969804
81,6,minkowski,distance,0.550353525702274
82,6,chebyshev,uniform,0.4456334798394802
83,6,chebyshev,distance,0.5255111790559909
84,6,cityblock,uniform,0.45939231798203706
85,6,cityblock,distance,0.561054844257596
86,6,cosine,uniform,0.4687559717179438
87,6,cosine,distance,0.5623925090770113
88,6,euclidean,uniform,0.46474297725969804
89,6,euclidean,distance,0.550353525702274
90,7,l1,uniform,0.529906363462641
91,7,l1,distance,0.5396522071469521
92,7,l2,uniform,0.5314351232562584
93,7,l2,distance,0.5367857825339194
94,7,manhattan,uniform,0.529906363462641
95,7,manhattan,distance,0.5396522071469521
96,7,nan_euclidean,uniform,0.5314351232562584
97,7,nan_euclidean,distance,0.5367857825339194
98,7,minkowski,uniform,0.5314351232562584
99,7,minkowski,distance,0.5367857825339194
100,7,chebyshev,uniform,0.5127078157844449
101,7,chebyshev,distance,0.515000955474871
102,7,cityblock,uniform,0.529906363462641
103,7,cityblock,distance,0.5396522071469521
104,7,cosine,uniform,0.5390789222243455
105,7,cosine,distance,0.5528377603669024
106,7,euclidean,uniform,0.5314351232562584
107,7,euclidean,distance,0.5367857825339194
108,8,l1,uniform,0.46130326772405883
109,8,l1,distance,0.5446206764762087
110,8,l2,uniform,0.47162239633097647
111,8,l2,distance,0.5413720619147716
112,8,manhattan,uniform,0.46130326772405883
113,8,manhattan,distance,0.5446206764762087
114,8,nan_euclidean,uniform,0.47162239633097647
115,8,nan_euclidean,distance,0.5413720619147716
116,8,minkowski,uniform,0.47162239633097647
117,8,minkowski,distance,0.5413720619147716
118,8,chebyshev,uniform,0.4511752340913434
119,8,chebyshev,distance,0.5163386202942862
120,8,cityblock,uniform,0.46130326772405883
121,8,cityblock,distance,0.5446206764762087
122,8,cosine,uniform,0.47391553602140263
123,8,cosine,distance,0.5511179055990827
124,8,euclidean,uniform,0.47162239633097647
125,8,euclidean,distance,0.5413720619147716
126,9,l1,uniform,0.5153831454232753
127,9,l1,distance,0.5251289891075864
128,9,l2,uniform,0.5249378941333843
129,9,l2,distance,0.531052933307854
130,9,manhattan,uniform,0.5153831454232753
131,9,manhattan,distance,0.5251289891075864
132,9,nan_euclidean,uniform,0.5249378941333843
133,9,nan_euclidean,distance,0.531052933307854
134,9,minkowski,uniform,0.5249378941333843
135,9,minkowski,distance,0.531052933307854
136,9,chebyshev,uniform,0.5027708771259316
137,9,chebyshev,distance,0.5052551117905599
138,9,cityblock,uniform,0.5153831454232753
139,9,cityblock,distance,0.5251289891075864
140,9,cosine,uniform,0.5285686986432256
141,9,cosine,distance,0.545002866424613
142,9,euclidean,uniform,0.5249378941333843
143,9,euclidean,distance,0.531052933307854
144,10,l1,uniform,0.46225874259506977
145,10,l1,distance,0.5291419835658322
146,10,l2,uniform,0.47391553602140263
147,10,l2,distance,0.5308618383336519
148,10,manhattan,uniform,0.46225874259506977
149,10,manhattan,distance,0.5291419835658322
150,10,nan_euclidean,uniform,0.47391553602140263
151,10,nan_euclidean,distance,0.5308618383336519
152,10,minkowski,uniform,0.47391553602140263
153,10,minkowski,distance,0.5308618383336519
154,10,chebyshev,uniform,0.4517485190139499
155,10,chebyshev,distance,0.5069749665583795
156,10,cityblock,uniform,0.46225874259506977
157,10,cityblock,distance,0.5291419835658322
158,10,cosine,uniform,0.47773743550544623
159,10,cosine,distance,0.5421364418115804
160,10,euclidean,uniform,0.47391553602140263
161,10,euclidean,distance,0.5308618383336519
162,11,l1,uniform,0.5071660615325817
163,11,l1,distance,0.5169119052168928
164,11,l2,uniform,0.5148098605006688
165,11,l2,distance,0.520351614752532
166,11,manhattan,uniform,0.5071660615325817
167,11,manhattan,distance,0.5169119052168928
168,11,nan_euclidean,uniform,0.5148098605006688
169,11,nan_euclidean,distance,0.520351614752532
170,11,minkowski,uniform,0.5148098605006688
171,11,minkowski,distance,0.520351614752532
172,11,chebyshev,uniform,0.4979935027708771
173,11,chebyshev,distance,0.5006688324097076
174,11,cityblock,uniform,0.5071660615325817
175,11,cityblock,distance,0.5169119052168928
176,11,cosine,uniform,0.5237913242881712
177,11,cosine,distance,0.5400343970953564
178,11,euclidean,uniform,0.5148098605006688
179,11,euclidean,distance,0.520351614752532
180,12,l1,uniform,0.46474297725969804
181,12,l1,distance,0.5174851901394993
182,12,l2,uniform,0.47028473151156125
183,12,l2,distance,0.5211159946493408
184,12,manhattan,uniform,0.46474297725969804
185,12,manhattan,distance,0.5174851901394993
186,12,nan_euclidean,uniform,0.47028473151156125
187,12,nan_euclidean,distance,0.5211159946493408
188,12,minkowski,uniform,0.47028473151156125
189,12,minkowski,distance,0.5211159946493408
190,12,chebyshev,uniform,0.4555704184979935
191,12,chebyshev,distance,0.5006688324097076
192,12,cityblock,uniform,0.46474297725969804
