,k,metric,weights,valeur
0,1,manhattan,weights_sqr,0.6162812918020256
1,1,manhattan,weights_sqr4,0.6162812918020256
2,1,manhattan,weights_sqr8,0.6162812918020256
3,2,manhattan,weights_sqr,0.6162812918020256
4,2,manhattan,weights_sqr4,0.6162812918020256
5,2,manhattan,weights_sqr8,0.6162812918020256
6,3,manhattan,weights_sqr,0.5941142747945729
7,3,manhattan,weights_sqr4,0.600611503917447
8,3,manhattan,weights_sqr8,0.6078731129371298
9,4,manhattan,weights_sqr,0.5923944200267532
10,4,manhattan,weights_sqr4,0.6011847888400536
11,4,manhattan,weights_sqr8,0.605962163195108
12,5,manhattan,weights_sqr,0.5723294477355245
13,5,manhattan,weights_sqr4,0.5893369004395185
14,5,manhattan,weights_sqr8,0.6029046436078731
15,6,manhattan,weights_sqr,0.5688897381998853
16,6,manhattan,weights_sqr4,0.587808140645901
17,6,manhattan,weights_sqr8,0.5975539843302121
18,7,manhattan,weights_sqr,0.5568507548251481
19,7,manhattan,weights_sqr4,0.5820752914198356
20,7,manhattan,weights_sqr8,0.5988916491496273
21,8,manhattan,weights_sqr,0.5566596598509459
22,8,manhattan,weights_sqr4,0.5801643416778138
23,8,manhattan,weights_sqr8,0.5969806994076056
24,9,manhattan,weights_sqr,0.5390789222243455
25,9,manhattan,weights_sqr4,0.5730938276323333
26,9,manhattan,weights_sqr8,0.5946875597171795
27,10,manhattan,weights_sqr,0.5381234473533346
28,10,manhattan,weights_sqr4,0.5662144085610549
29,10,manhattan,weights_sqr8,0.5912478501815402
30,11,manhattan,weights_sqr,0.5341104528950888
31,11,manhattan,weights_sqr4,0.5625836040512134
32,11,manhattan,weights_sqr8,0.588954710491114
33,12,manhattan,weights_sqr,0.5291419835658322
34,12,manhattan,weights_sqr4,0.5593349894897764
35,12,manhattan,weights_sqr8,0.5858971909038793
36,13,manhattan,weights_sqr,0.5268488438754061
37,13,manhattan,weights_sqr4,0.5541754251863176
38,13,manhattan,weights_sqr8,0.5855150009554748
39,14,manhattan,weights_sqr,0.5165297152684885
40,14,manhattan,weights_sqr4,0.552455570418498
41,14,manhattan,weights_sqr8,0.5845595260844639
42,15,manhattan,weights_sqr,0.5161475253200841
43,15,manhattan,weights_sqr4,0.5476781960634435
44,15,manhattan,weights_sqr8,0.5818841964456335
45,16,manhattan,weights_sqr,0.5121345308618384
46,16,manhattan,weights_sqr4,0.5478692910376457
47,16,manhattan,weights_sqr8,0.5805465316262183
48,17,manhattan,weights_sqr,0.5106057710682209
49,17,manhattan,weights_sqr4,0.5457672463214217
50,17,manhattan,weights_sqr8,0.580355436652016
51,18,manhattan,weights_sqr,0.5069749665583795
52,18,manhattan,weights_sqr4,0.540798776992165
53,18,manhattan,weights_sqr8,0.5778712019873877
54,19,manhattan,weights_sqr,0.5037263519969425
55,19,manhattan,weights_sqr4,0.5394611121727498
56,19,manhattan,weights_sqr8,0.5769157271163768
57,20,manhattan,weights_sqr,0.5027708771259316
58,20,manhattan,weights_sqr4,0.538505637301739
59,20,manhattan,weights_sqr8,0.5761513472195682
