,k,metric,weights,valeur
0,1,manhattan,uniform,0.879182356105433
1,1,manhattan,distance,0.879182356105433
2,1,manhattan,weights_sqr,0.879182356105433
3,1,manhattan,weights_sqr4,0.879182356105433
4,1,manhattan,weights_sqr8,0.879182356105433
5,1,pond_PCA,uniform,0.8802582033351264
6,1,pond_PCA,distance,0.8802582033351264
7,1,pond_PCA,weights_sqr,0.8802582033351264
8,1,pond_PCA,weights_sqr4,0.8802582033351264
9,1,pond_PCA,weights_sqr8,0.8802582033351264
10,2,manhattan,uniform,0.9611619150080688
11,2,manhattan,distance,0.879182356105433
12,2,manhattan,weights_sqr,0.879182356105433
13,2,manhattan,weights_sqr4,0.879182356105433
14,2,manhattan,weights_sqr8,0.879182356105433
15,2,pond_PCA,uniform,0.9590640129101667
16,2,pond_PCA,distance,0.8802582033351264
17,2,pond_PCA,weights_sqr,0.8802582033351264
18,2,pond_PCA,weights_sqr4,0.8802582033351264
19,2,pond_PCA,weights_sqr8,0.8802582033351264
20,3,manhattan,uniform,0.9174287251210328
21,3,manhattan,distance,0.9168908015061861
22,3,manhattan,weights_sqr,0.9098440021516945
23,3,manhattan,weights_sqr4,0.8975255513717052
24,3,manhattan,weights_sqr8,0.8876815492200107
25,3,pond_PCA,uniform,0.9185045723507262
26,3,pond_PCA,distance,0.9180742334588489
27,3,pond_PCA,weights_sqr,0.9124798278644433
28,3,pond_PCA,weights_sqr4,0.9008606777837547
29,3,pond_PCA,weights_sqr8,0.8916083916083916
30,4,manhattan,uniform,0.9561054330285099
31,4,manhattan,distance,0.9186121570736956
32,4,manhattan,weights_sqr,0.9154384077461001
33,4,manhattan,weights_sqr4,0.9042495965572889
34,4,manhattan,weights_sqr8,0.8905325443786982
35,4,pond_PCA,uniform,0.957073695535234
36,4,pond_PCA,distance,0.9195804195804196
37,4,pond_PCA,weights_sqr,0.9180742334588489
38,4,pond_PCA,weights_sqr4,0.907961269499731
39,4,pond_PCA,weights_sqr8,0.8952124798278644
40,5,manhattan,uniform,0.9307154384077461
41,5,manhattan,distance,0.9304464766003228
42,5,manhattan,weights_sqr,0.9242603550295858
43,5,manhattan,weights_sqr4,0.9104357181280258
44,5,manhattan,weights_sqr8,0.893652501344809
