,k,metric,weights,valeur
0,1,manhattan,uniform,0.7435180204410974
1,1,manhattan,distance,0.7435180204410974
2,1,manhattan,weights_sqr,0.7435180204410974
3,1,manhattan,weights_sqr4,0.7435180204410974
4,1,manhattan,weights_sqr8,0.7435180204410974
5,1,nan_euclidean,uniform,0.7457235072619688
6,1,nan_euclidean,distance,0.7457235072619688
7,1,nan_euclidean,weights_sqr,0.7457235072619688
8,1,nan_euclidean,weights_sqr4,0.7457235072619688
9,1,nan_euclidean,weights_sqr8,0.7457235072619688
10,1,minkowski,uniform,0.7457235072619688
11,1,minkowski,distance,0.7457235072619688
12,1,minkowski,weights_sqr,0.7457235072619688
13,1,minkowski,weights_sqr4,0.7457235072619688
14,1,minkowski,weights_sqr8,0.7457235072619688
15,1,chebyshev,uniform,0.7093060785368478
16,1,chebyshev,distance,0.7093060785368478
17,1,chebyshev,weights_sqr,0.7093060785368478
18,1,chebyshev,weights_sqr4,0.7093060785368478
19,1,chebyshev,weights_sqr8,0.7093060785368478
20,1,cosine,uniform,0.7486820871436256
21,1,cosine,distance,0.7486820871436256
22,1,cosine,weights_sqr,0.7486820871436256
23,1,cosine,weights_sqr4,0.7486820871436256
24,1,cosine,weights_sqr8,0.7486820871436256
25,1,euclidean,uniform,0.7457235072619688
26,1,euclidean,distance,0.7457235072619688
27,1,euclidean,weights_sqr,0.7457235072619688
28,1,euclidean,weights_sqr4,0.7457235072619688
29,1,euclidean,weights_sqr8,0.7457235072619688
30,2,manhattan,uniform,0.9239913932221625
31,2,manhattan,distance,0.7435180204410974
32,2,manhattan,weights_sqr,0.7435180204410974
33,2,manhattan,weights_sqr4,0.7435180204410974
34,2,manhattan,weights_sqr8,0.7435180204410974
35,2,nan_euclidean,uniform,0.9280796126949973
36,2,nan_euclidean,distance,0.7457235072619688
37,2,nan_euclidean,weights_sqr,0.7457235072619688
38,2,nan_euclidean,weights_sqr4,0.7457235072619688
39,2,nan_euclidean,weights_sqr8,0.7457235072619688
40,2,minkowski,uniform,0.9280796126949973
41,2,minkowski,distance,0.7457235072619688
42,2,minkowski,weights_sqr,0.7457235072619688
43,2,minkowski,weights_sqr4,0.7457235072619688
44,2,minkowski,weights_sqr8,0.7457235072619688
45,2,chebyshev,uniform,0.8989779451317913
46,2,chebyshev,distance,0.7093060785368478
47,2,chebyshev,weights_sqr,0.7093060785368478
48,2,chebyshev,weights_sqr4,0.7093060785368478
49,2,chebyshev,weights_sqr8,0.7093060785368478
50,2,cosine,uniform,0.9239913932221625
51,2,cosine,distance,0.7486820871436256
52,2,cosine,weights_sqr,0.7486820871436256
53,2,cosine,weights_sqr4,0.7486820871436256
54,2,cosine,weights_sqr8,0.7486820871436256
55,2,euclidean,uniform,0.9280796126949973
56,2,euclidean,distance,0.7457235072619688
57,2,euclidean,weights_sqr,0.7457235072619688
58,2,euclidean,weights_sqr4,0.7457235072619688
59,2,euclidean,weights_sqr8,0.7457235072619688
60,3,manhattan,uniform,0.7596019365250134
61,3,manhattan,distance,0.7597633136094675
62,3,manhattan,weights_sqr,0.7654653039268424
63,3,manhattan,weights_sqr4,0.7701452393760087
64,3,manhattan,weights_sqr8,0.7603012372243142
65,3,nan_euclidean,uniform,0.7477676169983862
66,3,nan_euclidean,distance,0.7480365788058095
67,3,nan_euclidean,weights_sqr,0.757235072619688
68,3,nan_euclidean,weights_sqr4,0.7671866594943518
69,3,nan_euclidean,weights_sqr8,0.7618074233458849
70,3,minkowski,uniform,0.7477676169983862
71,3,minkowski,distance,0.7480365788058095
72,3,minkowski,weights_sqr,0.757235072619688
73,3,minkowski,weights_sqr4,0.7671866594943518
74,3,minkowski,weights_sqr8,0.7618074233458849
75,3,chebyshev,uniform,0.7121570736955353
76,3,chebyshev,distance,0.713663259817106
77,3,chebyshev,weights_sqr,0.7232920925228618
78,3,chebyshev,weights_sqr4,0.7275954814416353
79,3,chebyshev,weights_sqr8,0.7214093598708984
80,3,cosine,uniform,0.7456697149004842
81,3,cosine,distance,0.7565357719203873
82,3,cosine,weights_sqr,0.7651425497579344
83,3,cosine,weights_sqr4,0.7595481441635288
84,3,cosine,weights_sqr8,0.7545454545454545
85,3,euclidean,uniform,0.7477676169983862
86,3,euclidean,distance,0.7480365788058095
87,3,euclidean,weights_sqr,0.757235072619688
88,3,euclidean,weights_sqr4,0.7671866594943518
89,3,euclidean,weights_sqr8,0.7618074233458849
90,4,manhattan,uniform,0.8747713824636901
91,4,manhattan,distance,0.7752555137170521
92,4,manhattan,weights_sqr,0.7752555137170521
93,4,manhattan,weights_sqr4,0.7748789671866595
94,4,manhattan,weights_sqr8,0.7640667025282409
95,4,nan_euclidean,uniform,0.8669714900484131
96,4,nan_euclidean,distance,0.7669714900484131
97,4,nan_euclidean,weights_sqr,0.7675094136632599
98,4,nan_euclidean,weights_sqr4,0.7714362560516407
99,4,nan_euclidean,weights_sqr8,0.7649811726734803
100,4,minkowski,uniform,0.8669714900484131
101,4,minkowski,distance,0.7669714900484131
102,4,minkowski,weights_sqr,0.7675094136632599
103,4,minkowski,weights_sqr4,0.7714362560516407
104,4,minkowski,weights_sqr8,0.7649811726734803
105,4,chebyshev,uniform,0.8396449704142012
106,4,chebyshev,distance,0.7285637439483593
107,4,chebyshev,weights_sqr,0.7307154384077461
108,4,chebyshev,weights_sqr4,0.7324367939752555
109,4,chebyshev,weights_sqr8,0.7258203335126412
110,4,cosine,uniform,0.8593329747175901
111,4,cosine,distance,0.7642818719741796
112,4,cosine,weights_sqr,0.7693383539537386
113,4,cosine,weights_sqr4,0.766003227541689
114,4,cosine,weights_sqr8,0.7565357719203873
115,4,euclidean,uniform,0.8669714900484131
116,4,euclidean,distance,0.7669714900484131
117,4,euclidean,weights_sqr,0.7675094136632599
118,4,euclidean,weights_sqr4,0.7714362560516407
119,4,euclidean,weights_sqr8,0.7649811726734803
120,5,manhattan,uniform,0.7636901559978483
121,5,manhattan,distance,0.763905325443787
122,5,manhattan,weights_sqr,0.77073695535234
123,5,manhattan,weights_sqr4,0.779827864443249
124,5,manhattan,weights_sqr8,0.765519096288327
125,5,nan_euclidean,uniform,0.7529316837009145
126,5,nan_euclidean,distance,0.7535233996772458
127,5,nan_euclidean,weights_sqr,0.7623453469607315
128,5,nan_euclidean,weights_sqr4,0.7741796664873588
129,5,nan_euclidean,weights_sqr8,0.7667563206024745
130,5,minkowski,uniform,0.7529316837009145
131,5,minkowski,distance,0.7535233996772458
132,5,minkowski,weights_sqr,0.7623453469607315
133,5,minkowski,weights_sqr4,0.7741796664873588
134,5,minkowski,weights_sqr8,0.7667563206024745
135,5,chebyshev,uniform,0.7254437869822485
136,5,chebyshev,distance,0.7272189349112426
137,5,chebyshev,weights_sqr,0.7335664335664336
138,5,chebyshev,weights_sqr4,0.7385691231845078
139,5,chebyshev,weights_sqr8,0.7288864981172674
140,5,cosine,uniform,0.7460462614308768
141,5,cosine,distance,0.7572888649811726
142,5,cosine,weights_sqr,0.7710059171597633
143,5,cosine,weights_sqr4,0.7675632060247445
144,5,cosine,weights_sqr8,0.7573426573426574
145,5,euclidean,uniform,0.7529316837009145
146,5,euclidean,distance,0.7535233996772458
147,5,euclidean,weights_sqr,0.7623453469607315
148,5,euclidean,weights_sqr4,0.7741796664873588
149,5,euclidean,weights_sqr8,0.7667563206024745
150,6,manhattan,uniform,0.8500268961807423
151,6,manhattan,distance,0.7783216783216783
152,6,manhattan,weights_sqr,0.777729962345347
153,6,manhattan,weights_sqr4,0.7784830554061323
154,6,manhattan,weights_sqr8,0.7677245831091984
155,6,nan_euclidean,uniform,0.841635287789134
156,6,nan_euclidean,distance,0.7695535233996772
157,6,nan_euclidean,weights_sqr,0.770898332436794
158,6,nan_euclidean,weights_sqr4,0.7734803657880581
159,6,nan_euclidean,weights_sqr8,0.7681549220010758
160,6,minkowski,uniform,0.841635287789134
161,6,minkowski,distance,0.7695535233996772
162,6,minkowski,weights_sqr,0.770898332436794
163,6,minkowski,weights_sqr4,0.7734803657880581
164,6,minkowski,weights_sqr8,0.7681549220010758
165,6,chebyshev,uniform,0.8171059709521248
166,6,chebyshev,distance,0.7399139322216245
167,6,chebyshev,weights_sqr,0.7417428725121032
168,6,chebyshev,weights_sqr4,0.7399139322216245
169,6,chebyshev,weights_sqr8,0.7296933835395374
170,6,cosine,uniform,0.8328133405056481
171,6,cosine,distance,0.765196342119419
172,6,cosine,weights_sqr,0.77154384077461
173,6,cosine,weights_sqr4,0.7674018289402905
174,6,cosine,weights_sqr8,0.7571274878967187
175,6,euclidean,uniform,0.841635287789134
176,6,euclidean,distance,0.7695535233996772
177,6,euclidean,weights_sqr,0.770898332436794
178,6,euclidean,weights_sqr4,0.7734803657880581
179,6,euclidean,weights_sqr8,0.7681549220010758
180,7,manhattan,uniform,0.7669714900484131
181,7,manhattan,distance,0.7678859601936525
182,7,manhattan,weights_sqr,0.7749327595481441
183,7,manhattan,weights_sqr4,0.7812264658418504
184,7,manhattan,weights_sqr8,0.7684776761699839
185,7,nan_euclidean,uniform,0.7558364712210867
186,7,nan_euclidean,distance,0.7568585260892953
187,7,nan_euclidean,weights_sqr,0.7675094136632599
188,7,nan_euclidean,weights_sqr4,0.7763851533082302
189,7,nan_euclidean,weights_sqr8,0.7677783754706832
190,7,minkowski,uniform,0.7558364712210867
191,7,minkowski,distance,0.7568585260892953
