,k,metric,weights,valeur
0,1,manhattan,uniform,0.8867132867132868
1,1,manhattan,distance,0.8867132867132868
2,1,manhattan,weights_sqr,0.8867132867132868
3,1,manhattan,weights_sqr4,0.8867132867132868
4,1,manhattan,weights_sqr8,0.8867132867132868
5,1,nan_euclidean,uniform,0.8837009144701452
6,1,nan_euclidean,distance,0.8837009144701452
7,1,nan_euclidean,weights_sqr,0.8837009144701452
8,1,nan_euclidean,weights_sqr4,0.8837009144701452
9,1,nan_euclidean,weights_sqr8,0.8837009144701452
10,1,minkowski,uniform,0.8837009144701452
11,1,minkowski,distance,0.8837009144701452
12,1,minkowski,weights_sqr,0.8837009144701452
13,1,minkowski,weights_sqr4,0.8837009144701452
14,1,minkowski,weights_sqr8,0.8837009144701452
15,1,chebyshev,uniform,0.8803657880580957
16,1,chebyshev,distance,0.8803657880580957
17,1,chebyshev,weights_sqr,0.8803657880580957
18,1,chebyshev,weights_sqr4,0.8803657880580957
19,1,chebyshev,weights_sqr8,0.8803657880580957
20,1,cosine,uniform,0.8839160839160839
21,1,cosine,distance,0.8839160839160839
22,1,cosine,weights_sqr,0.8839160839160839
23,1,cosine,weights_sqr4,0.8839160839160839
24,1,cosine,weights_sqr8,0.8839160839160839
25,1,euclidean,uniform,0.8837009144701452
26,1,euclidean,distance,0.8837009144701452
27,1,euclidean,weights_sqr,0.8837009144701452
28,1,euclidean,weights_sqr4,0.8837009144701452
29,1,euclidean,weights_sqr8,0.8837009144701452
30,2,manhattan,uniform,0.9627218934911242
31,2,manhattan,distance,0.8867132867132868
32,2,manhattan,weights_sqr,0.8867132867132868
33,2,manhattan,weights_sqr4,0.8867132867132868
34,2,manhattan,weights_sqr8,0.8867132867132868
35,2,nan_euclidean,uniform,0.9601936525013448
36,2,nan_euclidean,distance,0.8837009144701452
37,2,nan_euclidean,weights_sqr,0.8837009144701452
38,2,nan_euclidean,weights_sqr4,0.8837009144701452
39,2,nan_euclidean,weights_sqr8,0.8837009144701452
40,2,minkowski,uniform,0.9601936525013448
41,2,minkowski,distance,0.8837009144701452
42,2,minkowski,weights_sqr,0.8837009144701452
43,2,minkowski,weights_sqr4,0.8837009144701452
44,2,minkowski,weights_sqr8,0.8837009144701452
45,2,chebyshev,uniform,0.9598171059709522
46,2,chebyshev,distance,0.8803657880580957
47,2,chebyshev,weights_sqr,0.8803657880580957
48,2,chebyshev,weights_sqr4,0.8803657880580957
49,2,chebyshev,weights_sqr8,0.8803657880580957
50,2,cosine,uniform,0.9599784830554061
51,2,cosine,distance,0.8839160839160839
52,2,cosine,weights_sqr,0.8839160839160839
53,2,cosine,weights_sqr4,0.8839160839160839
54,2,cosine,weights_sqr8,0.8839160839160839
55,2,euclidean,uniform,0.9601936525013448
56,2,euclidean,distance,0.8837009144701452
57,2,euclidean,weights_sqr,0.8837009144701452
58,2,euclidean,weights_sqr4,0.8837009144701452
59,2,euclidean,weights_sqr8,0.8837009144701452
60,3,manhattan,uniform,0.9213555675094136
61,3,manhattan,distance,0.921301775147929
62,3,manhattan,weights_sqr,0.9192038730500269
63,3,manhattan,weights_sqr4,0.9098440021516945
64,3,manhattan,weights_sqr8,0.8997310381925766
65,3,nan_euclidean,uniform,0.9176976869284562
66,3,nan_euclidean,distance,0.9178590640129102
67,3,nan_euclidean,weights_sqr,0.9151694459386767
68,3,nan_euclidean,weights_sqr4,0.9057557826788596
69,3,nan_euclidean,weights_sqr8,0.8960193652501345
70,3,minkowski,uniform,0.9176976869284562
71,3,minkowski,distance,0.9178590640129102
72,3,minkowski,weights_sqr,0.9151694459386767
73,3,minkowski,weights_sqr4,0.9057557826788596
74,3,minkowski,weights_sqr8,0.8960193652501345
75,3,chebyshev,uniform,0.9186659494351802
76,3,chebyshev,distance,0.9180204410973641
77,3,chebyshev,weights_sqr,0.9132867132867133
78,3,chebyshev,weights_sqr4,0.9024744486282947
79,3,chebyshev,weights_sqr8,0.8923076923076924
80,3,cosine,uniform,0.9180742334588489
81,3,cosine,distance,0.9142011834319527
82,3,cosine,weights_sqr,0.9059171597633137
83,3,cosine,weights_sqr4,0.8947821409359871
84,3,cosine,weights_sqr8,0.8889187735341582
85,3,euclidean,uniform,0.9176976869284562
86,3,euclidean,distance,0.9178590640129102
87,3,euclidean,weights_sqr,0.9151694459386767
88,3,euclidean,weights_sqr4,0.9057557826788596
89,3,euclidean,weights_sqr8,0.8960193652501345
90,4,manhattan,uniform,0.9597095212479828
91,4,manhattan,distance,0.9227003765465304
92,4,manhattan,weights_sqr,0.9218396987627757
93,4,manhattan,weights_sqr4,0.9156535771920388
94,4,manhattan,weights_sqr8,0.9046261430876815
95,4,nan_euclidean,uniform,0.9576654115115654
96,4,nan_euclidean,distance,0.9201183431952663
97,4,nan_euclidean,weights_sqr,0.9192576654115115
98,4,nan_euclidean,weights_sqr4,0.9117805271651426
99,4,nan_euclidean,weights_sqr8,0.8991393222162453
100,4,minkowski,uniform,0.9576654115115654
101,4,minkowski,distance,0.9201183431952663
102,4,minkowski,weights_sqr,0.9192576654115115
103,4,minkowski,weights_sqr4,0.9117805271651426
104,4,minkowski,weights_sqr8,0.8991393222162453
105,4,chebyshev,uniform,0.9587412587412587
106,4,chebyshev,distance,0.9202797202797203
107,4,chebyshev,weights_sqr,0.9179128563743948
108,4,chebyshev,weights_sqr4,0.9087143625605164
109,4,chebyshev,weights_sqr8,0.8958041958041958
110,4,cosine,uniform,0.956428187197418
111,4,cosine,distance,0.9187735341581496
112,4,cosine,weights_sqr,0.9116191500806885
113,4,cosine,weights_sqr4,0.89919311457773
114,4,cosine,weights_sqr8,0.8903711672942443
115,4,euclidean,uniform,0.9576654115115654
116,4,euclidean,distance,0.9201183431952663
117,4,euclidean,weights_sqr,0.9192576654115115
118,4,euclidean,weights_sqr4,0.9117805271651426
119,4,euclidean,weights_sqr8,0.8991393222162453
120,5,manhattan,uniform,0.9373318988703604
121,5,manhattan,distance,0.9374394835933297
122,5,manhattan,weights_sqr,0.9336202259279183
123,5,manhattan,weights_sqr4,0.9230769230769231
124,5,manhattan,weights_sqr8,0.9088219472834858
125,5,nan_euclidean,uniform,0.9341043571812803
126,5,nan_euclidean,distance,0.9341043571812803
127,5,nan_euclidean,weights_sqr,0.9306078536847767
128,5,nan_euclidean,weights_sqr4,0.9192576654115115
129,5,nan_euclidean,weights_sqr8,0.9039268423883808
130,5,minkowski,uniform,0.9341043571812803
131,5,minkowski,distance,0.9341043571812803
132,5,minkowski,weights_sqr,0.9306078536847767
133,5,minkowski,weights_sqr4,0.9192576654115115
134,5,minkowski,weights_sqr8,0.9039268423883808
135,5,chebyshev,uniform,0.9349650349650349
136,5,chebyshev,distance,0.9344271113501883
137,5,chebyshev,weights_sqr,0.927810650887574
138,5,chebyshev,weights_sqr4,0.9145239376008607
139,5,chebyshev,weights_sqr8,0.8989241527703066
140,5,cosine,uniform,0.9349650349650349
141,5,cosine,distance,0.9310919849381388
142,5,cosine,weights_sqr,0.9190424959655729
143,5,cosine,weights_sqr4,0.9029047875201721
144,5,cosine,weights_sqr8,0.891070467993545
145,5,euclidean,uniform,0.9341043571812803
146,5,euclidean,distance,0.9341043571812803
147,5,euclidean,weights_sqr,0.9306078536847767
148,5,euclidean,weights_sqr4,0.9192576654115115
149,5,euclidean,weights_sqr8,0.9039268423883808
150,6,manhattan,uniform,0.9608391608391609
151,6,manhattan,distance,0.936740182894029
152,6,manhattan,weights_sqr,0.935287789133943
153,6,manhattan,weights_sqr4,0.9259279182356105
154,6,manhattan,weights_sqr8,0.9107046799354491
155,6,nan_euclidean,uniform,0.9580957504034427
156,6,nan_euclidean,distance,0.934642280796127
157,6,nan_euclidean,weights_sqr,0.9334588488434642
158,6,nan_euclidean,weights_sqr4,0.9233458848843464
159,6,nan_euclidean,weights_sqr8,0.9061323292092522
160,6,minkowski,uniform,0.9580957504034427
161,6,minkowski,distance,0.934642280796127
162,6,minkowski,weights_sqr,0.9334588488434642
163,6,minkowski,weights_sqr4,0.9233458848843464
164,6,minkowski,weights_sqr8,0.9061323292092522
165,6,chebyshev,uniform,0.958848843464228
166,6,chebyshev,distance,0.9356643356643357
167,6,chebyshev,weights_sqr,0.9322754168908015
168,6,chebyshev,weights_sqr4,0.9186659494351802
169,6,chebyshev,weights_sqr8,0.9009144701452394
170,6,cosine,uniform,0.9580957504034427
171,6,cosine,distance,0.9338891877353416
172,6,cosine,weights_sqr,0.922915545992469
173,6,cosine,weights_sqr4,0.9052716514254976
174,6,cosine,weights_sqr8,0.8916621839698763
175,6,euclidean,uniform,0.9580957504034427
176,6,euclidean,distance,0.934642280796127
177,6,euclidean,weights_sqr,0.9334588488434642
178,6,euclidean,weights_sqr4,0.9233458848843464
179,6,euclidean,weights_sqr8,0.9061323292092522
180,7,manhattan,uniform,0.9444324905863367
181,7,manhattan,distance,0.9444862829478214
182,7,manhattan,weights_sqr,0.9404518558364712
183,7,manhattan,weights_sqr4,0.929585798816568
184,7,manhattan,weights_sqr8,0.9128563743948359
185,7,nan_euclidean,uniform,0.942764927380312
186,7,nan_euclidean,distance,0.9423883808499193
187,7,nan_euclidean,weights_sqr,0.9383539537385691
188,7,nan_euclidean,weights_sqr4,0.926519634211942
189,7,nan_euclidean,weights_sqr8,0.9080150618612157
190,7,minkowski,uniform,0.942764927380312
191,7,minkowski,distance,0.9423883808499193
192,7,minkowski,weights_sqr,0.9383539537385691
193,7,minkowski,weights_sqr4,0.926519634211942
194,7,minkowski,weights_sqr8,0.9080150618612157
195,7,chebyshev,uniform,0.9431414739107047
196,7,chebyshev,distance,0.9425497579343733
197,7,chebyshev,weights_sqr,0.9366325981710597
198,7,chebyshev,weights_sqr4,0.922108660570199
199,7,chebyshev,weights_sqr8,0.9024744486282947
200,7,cosine,uniform,0.941151156535772
201,7,cosine,distance,0.9372781065088758
202,7,cosine,weights_sqr,0.9263582571274879
203,7,cosine,weights_sqr4,0.9069392146315223
204,7,cosine,weights_sqr8,0.8918235610543302
205,7,euclidean,uniform,0.942764927380312
206,7,euclidean,distance,0.9423883808499193
207,7,euclidean,weights_sqr,0.9383539537385691
208,7,euclidean,weights_sqr4,0.926519634211942
209,7,euclidean,weights_sqr8,0.9080150618612157
210,8,manhattan,uniform,0.9614846691769768
211,8,manhattan,distance,0.9443249058633674
212,8,manhattan,weights_sqr,0.942926304464766
213,8,manhattan,weights_sqr4,0.9323292092522861
214,8,manhattan,weights_sqr8,0.9136094674556213
215,8,nan_euclidean,uniform,0.9592253899946208
216,8,nan_euclidean,distance,0.9433566433566434
217,8,nan_euclidean,weights_sqr,0.9410435718128026
218,8,nan_euclidean,weights_sqr4,0.9296395911780527
219,8,nan_euclidean,weights_sqr8,0.9095212479827864
220,8,minkowski,uniform,0.9592253899946208
221,8,minkowski,distance,0.9433566433566434
222,8,minkowski,weights_sqr,0.9410435718128026
223,8,minkowski,weights_sqr4,0.9296395911780527
224,8,minkowski,weights_sqr8,0.9095212479827864
225,8,chebyshev,uniform,0.9590640129101667
226,8,chebyshev,distance,0.9419042495965573
227,8,chebyshev,weights_sqr,0.9388918773534158
228,8,chebyshev,weights_sqr4,0.9253899946207639
229,8,chebyshev,weights_sqr8,0.9033889187735341
230,8,cosine,uniform,0.9590102205486821
231,8,cosine,distance,0.9400215169445939
232,8,cosine,weights_sqr,0.9280258203335127
233,8,cosine,weights_sqr4,0.9080688542227003
234,8,cosine,weights_sqr8,0.8919849381387843
235,8,euclidean,uniform,0.9592253899946208
236,8,euclidean,distance,0.9433566433566434
237,8,euclidean,weights_sqr,0.9410435718128026
238,8,euclidean,weights_sqr4,0.9296395911780527
239,8,euclidean,weights_sqr8,0.9095212479827864
240,9,manhattan,uniform,0.9481979558902636
241,9,manhattan,distance,0.9478214093598709
242,9,manhattan,weights_sqr,0.9451855836471221
243,9,manhattan,weights_sqr4,0.9350726196880043
244,9,manhattan,weights_sqr8,0.9157073695535234
245,9,nan_euclidean,uniform,0.9463152232383002
246,9,nan_euclidean,distance,0.9458310919849381
247,9,nan_euclidean,weights_sqr,0.9426573426573427
248,9,nan_euclidean,weights_sqr4,0.9313071543840774
249,9,nan_euclidean,weights_sqr8,0.9102205486820871
250,9,minkowski,uniform,0.9463152232383002
251,9,minkowski,distance,0.9458310919849381
252,9,minkowski,weights_sqr,0.9426573426573427
253,9,minkowski,weights_sqr4,0.9313071543840774
254,9,minkowski,weights_sqr8,0.9102205486820871
255,9,chebyshev,uniform,0.9459386767079074
256,9,chebyshev,distance,0.9455083378160302
257,9,chebyshev,weights_sqr,0.9404518558364712
258,9,chebyshev,weights_sqr4,0.9275954814416353
259,9,chebyshev,weights_sqr8,0.9048951048951049
260,9,cosine,uniform,0.9465841850457235
261,9,cosine,distance,0.942603550295858
262,9,cosine,weights_sqr,0.9308230231307154
263,9,cosine,weights_sqr4,0.9090909090909091
264,9,cosine,weights_sqr8,0.892200107584723
265,9,euclidean,uniform,0.9463152232383002
266,9,euclidean,distance,0.9458310919849381
267,9,euclidean,weights_sqr,0.9426573426573427
268,9,euclidean,weights_sqr4,0.9313071543840774
269,9,euclidean,weights_sqr8,0.9102205486820871
270,10,manhattan,uniform,0.9616998386229155
271,10,manhattan,distance,0.9484669176976869
272,10,manhattan,weights_sqr,0.9464766003227542
273,10,manhattan,weights_sqr4,0.9367939752555137
274,10,manhattan,weights_sqr8,0.9167294244217321
275,10,nan_euclidean,uniform,0.9608929532006455
276,10,nan_euclidean,distance,0.9470683162990855
277,10,nan_euclidean,weights_sqr,0.9445400753093061
278,10,nan_euclidean,weights_sqr4,0.9337816030123722
279,10,nan_euclidean,weights_sqr8,0.9112963959117806
280,10,minkowski,uniform,0.9608929532006455
281,10,minkowski,distance,0.9470683162990855
282,10,minkowski,weights_sqr,0.9445400753093061
283,10,minkowski,weights_sqr4,0.9337816030123722
284,10,minkowski,weights_sqr8,0.9112963959117806
285,10,chebyshev,uniform,0.9586336740182894
286,10,chebyshev,distance,0.9455083378160302
287,10,chebyshev,weights_sqr,0.9429800968262507
288,10,chebyshev,weights_sqr4,0.9289940828402367
289,10,chebyshev,weights_sqr8,0.9055406132329209
290,10,cosine,uniform,0.9606239913932222
291,10,cosine,distance,0.9446476600322754
292,10,cosine,weights_sqr,0.9324905863367402
293,10,cosine,weights_sqr4,0.9105433028509952
294,10,cosine,weights_sqr8,0.8924690693921463
295,10,euclidean,uniform,0.9608929532006455
296,10,euclidean,distance,0.9470683162990855
297,10,euclidean,weights_sqr,0.9445400753093061
298,10,euclidean,weights_sqr4,0.9337816030123722
299,10,euclidean,weights_sqr8,0.9112963959117806
300,11,manhattan,uniform,0.9509413663259817
301,11,manhattan,distance,0.9508875739644971
302,11,manhattan,weights_sqr,0.9491662183969877
303,11,manhattan,weights_sqr4,0.9385153308230232
