,k,metric,weights,valeur
0,1,manhattan,uniform,0.8951586874663797
1,1,manhattan,distance,0.8951586874663797
2,1,manhattan,weights_sqr,0.8951586874663797
3,1,manhattan,weights_sqr4,0.8951586874663797
4,1,manhattan,weights_sqr8,0.8951586874663797
5,1,nan_euclidean,uniform,0.8846153846153846
6,1,nan_euclidean,distance,0.8846153846153846
7,1,nan_euclidean,weights_sqr,0.8846153846153846
8,1,nan_euclidean,weights_sqr4,0.8846153846153846
9,1,nan_euclidean,weights_sqr8,0.8846153846153846
10,1,minkowski,uniform,0.8846153846153846
11,1,minkowski,distance,0.8846153846153846
12,1,minkowski,weights_sqr,0.8846153846153846
13,1,minkowski,weights_sqr4,0.8846153846153846
14,1,minkowski,weights_sqr8,0.8846153846153846
15,1,chebyshev,uniform,0.8756320602474449
16,1,chebyshev,distance,0.8756320602474449
17,1,chebyshev,weights_sqr,0.8756320602474449
18,1,chebyshev,weights_sqr4,0.8756320602474449
19,1,chebyshev,weights_sqr8,0.8756320602474449
20,1,cosine,uniform,0.8797740720817644
21,1,cosine,distance,0.8797740720817644
22,1,cosine,weights_sqr,0.8797740720817644
23,1,cosine,weights_sqr4,0.8797740720817644
24,1,cosine,weights_sqr8,0.8797740720817644
25,1,euclidean,uniform,0.8846153846153846
26,1,euclidean,distance,0.8846153846153846
27,1,euclidean,weights_sqr,0.8846153846153846
28,1,euclidean,weights_sqr4,0.8846153846153846
29,1,euclidean,weights_sqr8,0.8846153846153846
30,2,manhattan,uniform,0.9659494351802044
31,2,manhattan,distance,0.8951586874663797
32,2,manhattan,weights_sqr,0.8951586874663797
33,2,manhattan,weights_sqr4,0.8951586874663797
34,2,manhattan,weights_sqr8,0.8951586874663797
35,2,nan_euclidean,uniform,0.9647122108660571
36,2,nan_euclidean,distance,0.8846153846153846
37,2,nan_euclidean,weights_sqr,0.8846153846153846
38,2,nan_euclidean,weights_sqr4,0.8846153846153846
39,2,nan_euclidean,weights_sqr8,0.8846153846153846
40,2,minkowski,uniform,0.9647122108660571
41,2,minkowski,distance,0.8846153846153846
42,2,minkowski,weights_sqr,0.8846153846153846
43,2,minkowski,weights_sqr4,0.8846153846153846
44,2,minkowski,weights_sqr8,0.8846153846153846
45,2,chebyshev,uniform,0.9617536309844003
46,2,chebyshev,distance,0.879827864443249
47,2,chebyshev,weights_sqr,0.879827864443249
48,2,chebyshev,weights_sqr4,0.879827864443249
49,2,chebyshev,weights_sqr8,0.879827864443249
50,2,cosine,uniform,0.9606777837547068
51,2,cosine,distance,0.8797740720817644
52,2,cosine,weights_sqr,0.8797740720817644
53,2,cosine,weights_sqr4,0.8797740720817644
54,2,cosine,weights_sqr8,0.8797740720817644
55,2,euclidean,uniform,0.9647122108660571
56,2,euclidean,distance,0.8846153846153846
57,2,euclidean,weights_sqr,0.8846153846153846
58,2,euclidean,weights_sqr4,0.8846153846153846
59,2,euclidean,weights_sqr8,0.8846153846153846
60,3,manhattan,uniform,0.9296933835395373
61,3,manhattan,distance,0.9296395911780527
62,3,manhattan,weights_sqr,0.9286713286713286
