,k,metric,weights,valeur
0,2,l1,uniform,0.971705217859064
1,2,l1,distance,0.9047875201721356
2,2,l2,uniform,0.9679397525551372
3,2,l2,distance,0.9017213555675094
4,2,manhattan,uniform,0.971705217859064
5,2,manhattan,distance,0.9047875201721356
6,2,nan_euclidean,uniform,0.9679397525551372
7,2,nan_euclidean,distance,0.9017213555675094
8,2,minkowski,uniform,0.9679397525551372
9,2,minkowski,distance,0.9017213555675094
10,2,chebyshev,uniform,0.9650887573964497
11,2,chebyshev,distance,0.8959117805271651
12,2,cityblock,uniform,0.971705217859064
13,2,cityblock,distance,0.9047875201721356
14,2,cosine,uniform,0.9673480365788059
15,2,cosine,distance,0.8988165680473372
16,2,euclidean,uniform,0.9679397525551372
17,2,euclidean,distance,0.9017213555675094
18,3,l1,uniform,0.9387842926304465
19,3,l1,distance,0.9390532544378698
20,3,l2,uniform,0.9330285099515869
21,3,l2,distance,0.9333512641204949
22,3,manhattan,uniform,0.9387842926304465
23,3,manhattan,distance,0.9390532544378698
24,3,nan_euclidean,uniform,0.9330285099515869
25,3,nan_euclidean,distance,0.9333512641204949
26,3,minkowski,uniform,0.9330285099515869
27,3,minkowski,distance,0.9333512641204949
28,3,chebyshev,uniform,0.9269499731038192
29,3,chebyshev,distance,0.9271651425497579
30,3,cityblock,uniform,0.9387842926304465
31,3,cityblock,distance,0.9390532544378698
32,3,cosine,uniform,0.9316837009144702
33,3,cosine,distance,0.9307692307692308
34,3,euclidean,uniform,0.9330285099515869
35,3,euclidean,distance,0.9333512641204949
36,4,l1,uniform,0.9691769768692846
37,4,l1,distance,0.9392684238838085
38,4,l2,uniform,0.9660032275416891
39,4,l2,distance,0.934319526627219
40,4,manhattan,uniform,0.9691769768692846
41,4,manhattan,distance,0.9392684238838085
42,4,nan_euclidean,uniform,0.9660032275416891
43,4,nan_euclidean,distance,0.934319526627219
44,4,minkowski,uniform,0.9660032275416891
45,4,minkowski,distance,0.934319526627219
46,4,chebyshev,uniform,0.9625605164066703
47,4,chebyshev,distance,0.9287251210328133
48,4,cityblock,uniform,0.9691769768692846
49,4,cityblock,distance,0.9392684238838085
50,4,cosine,uniform,0.9657342657342657
51,4,cosine,distance,0.9329209252286176
52,4,euclidean,uniform,0.9660032275416891
53,4,euclidean,distance,0.934319526627219
54,5,l1,uniform,0.9499731038192577
55,5,l1,distance,0.9508337816030124
56,5,l2,uniform,0.944217321140398
57,5,l2,distance,0.9444324905863367
58,5,manhattan,uniform,0.9499731038192577
59,5,manhattan,distance,0.9508337816030124
60,5,nan_euclidean,uniform,0.944217321140398
61,5,nan_euclidean,distance,0.9444324905863367
62,5,minkowski,uniform,0.944217321140398
63,5,minkowski,distance,0.9444324905863367
64,5,chebyshev,uniform,0.9405056481979559
65,5,chebyshev,distance,0.9405594405594405
66,5,cityblock,uniform,0.9499731038192577
67,5,cityblock,distance,0.9508337816030124
68,5,cosine,uniform,0.9428187197417967
69,5,cosine,distance,0.942442173211404
70,5,euclidean,uniform,0.944217321140398
71,5,euclidean,distance,0.9444324905863367
72,6,l1,uniform,0.9701990317374932
73,6,l1,distance,0.9516406670252824
74,6,l2,uniform,0.9666487358795051
75,6,l2,distance,0.9456697149004841
