,k,metric,weights,valeur
0,1,manhattan,weights_sqr,0.9047875201721356
1,1,manhattan,weights_sqr4,0.9047875201721356
2,1,manhattan,weights_sqr8,0.9047875201721356
3,2,manhattan,weights_sqr,0.9047875201721356
4,2,manhattan,weights_sqr4,0.9047875201721356
5,2,manhattan,weights_sqr8,0.9047875201721356
6,3,manhattan,weights_sqr,0.9379774072081765
7,3,manhattan,weights_sqr4,0.9322216245293168
8,3,manhattan,weights_sqr8,0.9210866057019903
9,4,manhattan,weights_sqr,0.9384615384615385
10,4,manhattan,weights_sqr4,0.9348574502420657
11,4,manhattan,weights_sqr8,0.9251210328133405
12,5,manhattan,weights_sqr,0.949273803119957
13,5,manhattan,weights_sqr4,0.9429800968262507
14,5,manhattan,weights_sqr8,0.930392684238838
15,6,manhattan,weights_sqr,0.9509413663259817
16,6,manhattan,weights_sqr4,0.9462076385153309
17,6,manhattan,weights_sqr8,0.9339967724583109
18,7,manhattan,weights_sqr,0.9543840774610005
19,7,manhattan,weights_sqr4,0.9486820871436256
20,7,manhattan,weights_sqr8,0.9358257127487897
21,8,manhattan,weights_sqr,0.9564819795589027
22,8,manhattan,weights_sqr4,0.9511027434104358
23,8,manhattan,weights_sqr8,0.9379774072081765
24,9,manhattan,weights_sqr,0.9591715976331361
25,9,manhattan,weights_sqr4,0.9534696073157611
26,9,manhattan,weights_sqr8,0.9390532544378698
27,10,manhattan,weights_sqr,0.9606777837547068
28,10,manhattan,weights_sqr4,0.9548144163528779
29,10,manhattan,weights_sqr8,0.9407746100053792
30,11,manhattan,weights_sqr,0.9618074233458849
31,11,manhattan,weights_sqr4,0.9562130177514793
32,11,manhattan,weights_sqr8,0.9417428725121033
33,12,manhattan,weights_sqr,0.9631522323830016
34,12,manhattan,weights_sqr4,0.9580957504034427
35,12,manhattan,weights_sqr8,0.9426573426573427
36,13,manhattan,weights_sqr,0.9641742872512103
37,13,manhattan,weights_sqr4,0.9589564281871974
38,13,manhattan,weights_sqr8,0.9438945669714901
39,14,manhattan,weights_sqr,0.964550833781603
40,14,manhattan,weights_sqr4,0.9606239913932222
41,14,manhattan,weights_sqr8,0.9447552447552447
42,15,manhattan,weights_sqr,0.9667563206024744
43,15,manhattan,weights_sqr4,0.9613232920925229
44,15,manhattan,weights_sqr8,0.9452393760086067
45,16,manhattan,weights_sqr,0.9665411511565358
46,16,manhattan,weights_sqr4,0.9621839698762775
47,16,manhattan,weights_sqr8,0.9457772996234535
48,17,manhattan,weights_sqr,0.9671328671328672
49,17,manhattan,weights_sqr4,0.9627218934911242
50,17,manhattan,weights_sqr8,0.9464766003227542
51,18,manhattan,weights_sqr,0.9683700914470145
52,18,manhattan,weights_sqr4,0.9636363636363636
53,18,manhattan,weights_sqr8,0.9468531468531468
54,19,manhattan,weights_sqr,0.9694459386767079
55,19,manhattan,weights_sqr4,0.9639053254437869
56,19,manhattan,weights_sqr8,0.9480365788058096
57,20,manhattan,weights_sqr,0.9696611081226466
58,20,manhattan,weights_sqr4,0.9644432490586337
59,20,manhattan,weights_sqr8,0.9480903711672942
